Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500870,CASTROLIND,CASTROL INDIA LTD.,07 Aug 2007,Interim Dividend - Rs. - 4.5000,08 Aug 2007,-,-,01 Aug 2007,07 Aug 2007,-
500870,CASTROLIND,CASTROL INDIA LTD.,07 Apr 2008,Final Dividend - Rs. - 9.5000,-,09 Apr 2008,29 Apr 2008,02 Apr 2008,08 Apr 2008,-
500870,CASTROLIND,CASTROL INDIA LTD.,08 Aug 2008,Interim Dividend - Rs. - 6.0000,11 Aug 2008,-,-,04 Aug 2008,08 Aug 2008,-
500870,CASTROLIND,CASTROL INDIA LTD.,06 Apr 2009,Final Dividend - Rs. - 9.0000,-,09 Apr 2009,30 Apr 2009,30 Mar 2009,08 Apr 2009,-
500870,CASTROLIND,CASTROL INDIA LTD.,31 Jul 2009,Interim Dividend - Rs. - 10.0000,03 Aug 2009,-,-,27 Jul 2009,31 Jul 2009,-
500870,CASTROLIND,CASTROL INDIA LTD.,22 Feb 2010,Final Dividend - Rs. - 15.0000,-,24 Feb 2010,26 Feb 2010,17 Feb 2010,23 Feb 2010,-
500870,CASTROLIND,CASTROL INDIA LTD.,09 Apr 2010,Bonus issue 1:1,12 Apr 2010,-,-,05 Apr 2010,09 Apr 2010,-
500870,CASTROLIND,CASTROL INDIA LTD.,20 Jul 2010,Interim Dividend - Rs. - 7.0000,21 Jul 2010,-,-,14 Jul 2010,20 Jul 2010,-
500870,CASTROLIND,CASTROL INDIA LTD.,13 Jun 2011,Final Dividend - Rs. - 8.0000,-,15 Jun 2011,27 Jun 2011,08 Jun 2011,14 Jun 2011,-
500870,CASTROLIND,CASTROL INDIA LTD.,22 Aug 2011,Interim Dividend - Rs. - 7.0000,23 Aug 2011,-,-,12 Aug 2011,22 Aug 2011,-
500870,CASTROLIND,CASTROL INDIA LTD.,30 Mar 2012,Final Dividend - Rs. - 8.0000,-,04 Apr 2012,16 Apr 2012,27 Mar 2012,03 Apr 2012,-
500870,CASTROLIND,CASTROL INDIA LTD.,20 Jul 2012,Interim Dividend - Rs. - 7.0000,23 Jul 2012,-,-,16 Jul 2012,20 Jul 2012,-
500870,CASTROLIND,CASTROL INDIA LTD.,04 Sep 2012,Bonus issue 1:1,05 Sep 2012,-,-,29 Aug 2012,04 Sep 2012,-
500870,CASTROLIND,CASTROL INDIA LTD.,12 Apr 2013,Final Dividend - Rs. - 3.5000,-,16 Apr 2013,26 Apr 2013,08 Apr 2013,15 Apr 2013,-
500870,CASTROLIND,CASTROL INDIA LTD.,06 Aug 2013,Interim Dividend - Rs. - 3.5000,07 Aug 2013,-,-,31 Jul 2013,06 Aug 2013,22 Aug 2013
500870,CASTROLIND,CASTROL INDIA LTD.,28 Feb 2014,Reduction of Capital ,03 Mar 2014,-,-,21 Feb 2014,28 Feb 2014,-
500870,CASTROLIND,CASTROL INDIA LTD.,02 May 2014,Final Dividend - Rs. - 3.5000,-,06 May 2014,13 May 2014,28 Apr 2014,05 May 2014,-
500870,CASTROLIND,CASTROL INDIA LTD.,04 Aug 2014,Interim Dividend - Rs. - 3.5000,05 Aug 2014,-,-,28 Jul 2014,04 Aug 2014,21 Aug 2014
500870,CASTROLIND,CASTROL INDIA LTD.,06 May 2015,Final Dividend - Rs. - 4.0000,-,08 May 2015,14 May 2015,29 Apr 2015,07 May 2015,-
500870,CASTROLIND,CASTROL INDIA LTD.,06 Aug 2015,Interim Dividend - Rs. - 4.0000,08 Aug 2015,-,-,03 Aug 2015,06 Aug 2015,-
500870,CASTROLIND,CASTROL INDIA LTD.,27 Apr 2016,Final Dividend - Rs. - 5.0000,-,29 Apr 2016,05 May 2016,22 Apr 2016,28 Apr 2016,-
500870,CASTROLIND,CASTROL INDIA LTD.,05 Aug 2016,Interim Dividend - Rs. - 4.5000,08 Aug 2016,-,-,01 Aug 2016,05 Aug 2016,-
500870,CASTROLIND,CASTROL INDIA LTD.,07 Mar 2017,Special Dividend - Rs. - 2.0000,08 Mar 2017,-,-,01 Mar 2017,07 Mar 2017,-
500870,CASTROLIND,CASTROL INDIA LTD.,22 May 2017,Dividend - Rs. - 4.5000,-,24 May 2017,31 May 2017,17 May 2017,23 May 2017,-
500870,CASTROLIND,CASTROL INDIA LTD.,05 Sep 2017,Interim Dividend - Rs. - 4.5000,06 Sep 2017,-,-,30 Aug 2017,05 Sep 2017,-
500870,CASTROLIND,CASTROL INDIA LTD.,21 Dec 2017,Bonus issue 1:1,23 Dec 2017,-,-,18 Dec 2017,21 Dec 2017,-
500870,CASTROLIND,CASTROL INDIA LTD.,25 Apr 2018,Final Dividend - Rs. - 2.5000,-,27 Apr 2018,03 May 2018,20 Apr 2018,25 Apr 2018,-
500870,CASTROLIND,CASTROL INDIA LTD.,09 Aug 2018,Interim Dividend - Rs. - 2.2500,10 Aug 2018,-,-,03 Aug 2018,09 Aug 2018,-
500870,CASTROLIND,CASTROL INDIA LTD.,09 May 2019,Final Dividend - Rs. - 2.7500,-,11 May 2019,15 May 2019,06 May 2019,09 May 2019,-
500870,CASTROLIND,CASTROL INDIA LTD.,08 Aug 2019,Interim Dividend - Rs. - 2.5000,09 Aug 2019,-,-,02 Aug 2019,08 Aug 2019,-
500870,CASTROLIND,CASTROL INDIA LTD.,26 Jun 2020,Interim Dividend - Rs. - 3.0000,29 Jun 2020,-,-,22 Jun 2020,26 Jun 2020,-
500870,CASTROLIND,CASTROL INDIA LTD.,05 Nov 2020,Interim Dividend - Rs. - 2.5000,06 Nov 2020,-,-,29 Oct 2020,05 Nov 2020,-
