Predicted_LowerBandInNext1Months,Actual_LowerBandInNext1Months,Predicted_UpperBandInNext1Months,Actual_UpperBandInNext1Months,Date,Close Price
0.9846086034351316,0.9450980392156864,1.2237805573692373,1.3333333333333337,2020-12-31,5.1
0.9879929450175567,0.9659318637274548,1.243370758854895,1.3627254509018034,2020-12-30,4.99
0.973048138831627,0.98,1.2269603186134947,1.36,2020-12-29,5.0
0.9700464560056232,1.0,1.22513365676459,1.3627254509018034,2020-12-28,4.99
0.9891939572849402,1.0,1.1992238264471564,1.3737373737373737,2020-12-24,4.95
0.9632856612413974,1.0,1.1923595358682688,1.3737373737373737,2020-12-23,4.95
0.9553627924176284,0.9519230769230768,1.136345331144215,1.3076923076923077,2020-12-22,5.2
0.9746346568454516,0.9744094488188976,1.1546247918200083,1.3385826771653542,2020-12-21,5.08
0.9144935270550854,0.9357277882797732,1.1378013184810365,1.285444234404537,2020-12-18,5.29
0.8726556412012904,0.8902877697841728,1.101263839322293,1.223021582733813,2020-12-17,5.56
0.8607913984422088,0.8870967741935484,1.0779338493339157,1.2186379928315412,2020-12-16,5.58
0.8693262888961586,0.8608695652173913,1.070648281687276,1.182608695652174,2020-12-15,5.75
0.8582735211271452,0.868421052631579,1.089410331871158,1.1929824561403508,2020-12-14,5.7
0.8355344396450997,0.8263772954924875,1.0503534900816462,1.0818030050083474,2020-12-11,5.99
0.8440161729073338,0.8291457286432161,1.0532305995605902,1.085427135678392,2020-12-10,5.97
0.8552261070094894,0.8291457286432161,1.0580949033845388,1.085427135678392,2020-12-09,5.97
0.892285825816899,0.868421052631579,1.120103946583151,1.0842105263157893,2020-12-08,5.7
0.9551101264383148,0.9065934065934066,1.1569740487182103,1.0970695970695972,2020-12-07,5.46
0.9816361146543604,0.9519230769230768,1.1815847911087054,1.1519230769230768,2020-12-04,5.2
0.982706525322444,0.9880239520958084,1.2334840131496727,1.1956087824351298,2020-12-03,5.01
0.9844276959003948,1.0,1.2415407806204115,1.217479674796748,2020-12-02,4.92
0.9907499758475268,1.0,1.254830537009738,1.2427385892116185,2020-12-01,4.82
0.994989097120613,1.0,1.2315748796003152,1.2479166666666668,2020-11-27,4.8
0.94422507374234,0.9523809523809524,1.1555763365467455,1.1884920634920637,2020-11-25,5.04
0.9157189412448552,0.9467455621301776,1.1380386935680504,1.1814595660749507,2020-11-24,5.07
0.972873453808593,0.9937888198757764,1.1836321716092708,1.2401656314699794,2020-11-23,4.83
0.9872894427131244,1.0,1.2408524467520927,1.3021739130434784,2020-11-20,4.6
0.9991801414361866,1.0,1.3199284544116314,1.3521444695259597,2020-11-19,4.43
1.0,1.0,1.379962425165295,1.3833718244803694,2020-11-18,4.33
0.9842637887779748,1.0,1.4360049647699735,1.450363196125908,2020-11-17,4.13
0.9987953928447236,1.0,1.4724482762091056,1.5763157894736843,2020-11-13,3.8
0.995267886007188,1.0,1.4699348868316733,1.5973333333333335,2020-11-12,3.75
0.9955223131998746,0.992063492063492,1.4553471386023618,1.5793650793650793,2020-11-10,3.78
0.9881528164577308,1.0,1.5074840728778591,1.649171270718232,2020-11-09,3.62
0.9854709704095634,1.0,1.5362564540642798,1.5072463768115942,2020-11-06,3.45
0.986218666530111,1.0,1.509057263972449,1.52046783625731,2020-11-04,3.42
0.9531458291301618,0.9553072625698324,1.4406470527447557,1.416201117318436,2020-11-03,3.58
0.951381329081898,0.95,1.4468853710067549,1.4083333333333334,2020-11-02,3.6
0.9326028224518954,0.921832884097035,1.3933195817481268,1.3665768194070085,2020-10-30,3.71
0.8736525226409362,0.8769230769230769,1.3434964238069629,1.3,2020-10-29,3.9
0.8182907516410426,0.8028169014084507,1.1887236704643784,1.1901408450704227,2020-10-26,4.26
0.8582817448739947,0.8162291169451074,1.1869546528768258,1.097852028639618,2020-10-23,4.19
0.8834425595538413,0.8486352357320098,1.2694811558604002,1.1414392059553349,2020-10-22,4.03
0.8726513921163493,0.8423645320197045,1.2368442886656086,1.1330049261083743,2020-10-21,4.06
0.9040650330125982,0.8814432989690721,1.3195310193217564,1.1417525773195876,2020-10-20,3.88
0.9240587592189078,0.8791773778920308,1.3190682232408748,1.1131105398457584,2020-10-19,3.89
0.9566489206929512,0.9168900804289544,1.323183412821333,1.1420911528150133,2020-10-16,3.73
0.976334444378925,0.9606741573033708,1.3800266671379224,1.196629213483146,2020-10-15,3.56
0.9913026873782322,0.994186046511628,1.4125852913578725,1.2383720930232558,2020-10-14,3.44
0.9872495451798354,0.9771428571428572,1.417690443427246,1.217142857142857,2020-10-13,3.5
0.985432524223001,0.9912023460410556,1.4034787846043013,1.2492668621700878,2020-10-09,3.41
0.9893323662054826,0.9883040935672516,1.3498371717273103,1.2456140350877192,2020-10-08,3.42
0.9521228525190067,0.9657142857142856,1.3460691753080838,1.217142857142857,2020-10-07,3.5
0.9536297380512572,0.971264367816092,1.3012824158598986,1.2241379310344829,2020-10-06,3.48
0.9540815441868016,0.9657142857142856,1.3014199750948592,1.217142857142857,2020-10-05,3.5
0.9266621238152036,0.9415041782729804,1.247720072680352,1.1866295264623956,2020-10-01,3.59
0.9038852906510962,0.906166219839142,1.1767083167093024,1.1420911528150133,2020-09-30,3.73
0.9619524367978506,0.949438202247191,1.26446503651763,1.196629213483146,2020-09-29,3.56
0.942379930039605,0.962962962962963,1.3146273644402255,1.2136752136752136,2020-09-28,3.51
0.9767013205604748,1.0,1.3510454457530792,1.2507462686567166,2020-09-25,3.35
0.963859963830826,0.9517045454545456,1.2829961972961377,1.1903409090909092,2020-09-24,3.52
0.9127091068561152,0.9054054054054054,1.183602503808472,1.1324324324324324,2020-09-23,3.7
0.867320786972742,0.8723958333333334,1.122503859690662,1.0572916666666663,2020-09-22,3.84
0.8809433712091421,0.8862433862433863,1.1614457045733917,1.074074074074074,2020-09-21,3.78
0.8578717064398337,0.8481012658227848,1.090758841463876,1.0,2020-09-18,3.95
0.8437861950968132,0.8375,1.0863113495017485,1.0,2020-09-17,4.0
0.8278355725345913,0.821078431372549,1.0631633323722915,1.0,2020-09-16,4.08
0.874002078635484,0.8524173027989822,1.10828220867512,1.0381679389312977,2020-09-15,3.93
0.8925748654084538,0.8481012658227848,1.1307474761688088,1.0329113924050632,2020-09-14,3.95
0.851042470281168,0.8417085427135679,1.0938252729046063,1.0251256281407035,2020-09-11,3.98
0.8543070531117001,0.8111380145278451,1.0572638166116664,1.0,2020-09-10,4.13
