,Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
16,500002-ABB India Limited,LowerBandInNext12Months,Linear Regression,LinearFIBackwardElimination,0.062274561553184934,0.043117018524880216,0.003878121016641419,0.8700148106089328
19,500002-ABB India Limited,LowerBandInNext12Months,Elastic Net Regression,ElasticFIFValue1000,0.06660881220585531,0.038268188379793774,0.004436733863474898,0.8512914658808158
17,500002-ABB India Limited,LowerBandInNext12Months,Ridge Regression,RidgeFIFValue1000,0.06838670876809191,0.04111649781551911,0.004676741936131819,0.8432469787062735
18,500002-ABB India Limited,LowerBandInNext12Months,Lasso Regression,LassoFIFValue1000,0.0691232434801584,0.0418728312706195,0.00477802278921726,0.8398522907082695
3,500002-ABB India Limited,LowerBandInNext1Months,Elastic Net Regression,ElasticFIForwardSelection,0.021678667248268505,0.013319218755069504,0.00046996461366114963,0.8432411502644866
0,500002-ABB India Limited,LowerBandInNext1Months,Linear Regression,LinearFIForwardSelection,0.02170372631822998,0.01332971038906672,0.0004710517360966287,0.8428785355961613
1,500002-ABB India Limited,LowerBandInNext1Months,Ridge Regression,RidgeFIForwardSelection,0.02182045092491071,0.013690085330597956,0.00047613207856643655,0.8411839640929465
2,500002-ABB India Limited,LowerBandInNext1Months,Lasso Regression,LassoFIForwardSelection,0.021838554354449327,0.013348119093233489,0.0004769224562922376,0.8409203299818845
20,500002-ABB India Limited,LowerBandInNext24Months,Linear Regression,LinearFIPValue0.02,0.1060731805482826,0.080263256619713,0.01125151963162856,0.4794161814271294
21,500002-ABB India Limited,LowerBandInNext24Months,Ridge Regression,RidgeFIPValue0.05,0.11003279172724828,0.08091141611555347,0.012107215255291997,0.4398249697608765
23,500002-ABB India Limited,LowerBandInNext24Months,Elastic Net Regression,ElasticFIPValue0.2,0.1100607898831743,0.07554016622817616,0.012113377469708243,0.4395398572412613
22,500002-ABB India Limited,LowerBandInNext24Months,Lasso Regression,LassoFIPValue0.1,0.11308050592283955,0.06947926113973768,0.012787200819765351,0.4083634878173277
5,500002-ABB India Limited,LowerBandInNext3Months,Ridge Regression,RidgeFIFValue1000,0.03272876407563359,0.02184442686254453,0.0010711719979184836,0.8770248843802135
6,500002-ABB India Limited,LowerBandInNext3Months,Lasso Regression,LassoFICoefficients0.1,0.033299289778720965,0.02225197690776263,0.0011088426997672308,0.8727001270822909
7,500002-ABB India Limited,LowerBandInNext3Months,Elastic Net Regression,ElasticFICoefficients0.1,0.0332992897787215,0.022251976907764287,0.0011088426997672663,0.872700127082287
4,500002-ABB India Limited,LowerBandInNext3Months,Linear Regression,LinearFICoefficients0.1,0.033897739547943756,0.022632141903617172,0.0011490567464602303,0.868083382944822
10,500002-ABB India Limited,LowerBandInNext6Months,Lasso Regression,LassoFIForwardSelection,0.03870324764574784,0.027139570152434275,0.0014979413783280857,0.9131386887909299
8,500002-ABB India Limited,LowerBandInNext6Months,Linear Regression,LinearFICoefficients0.1,0.03992531830097538,0.025993736813412115,0.0015940310414341995,0.9075667256608702
11,500002-ABB India Limited,LowerBandInNext6Months,Elastic Net Regression,ElasticFICoefficients0.1,0.04007186661718732,0.026649504648764397,0.0016057544941856514,0.9068869163621743
9,500002-ABB India Limited,LowerBandInNext6Months,Ridge Regression,RidgeFICoefficients0.1,0.04068320156991532,0.02914909931095812,0.00165512288997836,0.9040241851145542
12,500002-ABB India Limited,LowerBandInNext9Months,Linear Regression,LinearFIPValue0.02,0.03070645773056506,0.024022665767225972,0.0009428865463589788,0.9612294710648013
