,Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
14,500002-ABB India Limited,LowerBandInNext9Months,Lasso Regression,LassoFIBackwardElimination,0.0310392914178666,0.02460462676349546,0.0009634376117232471,0.9603844323086208
15,500002-ABB India Limited,LowerBandInNext9Months,Elastic Net Regression,ElasticFIFValue10,0.03113967998671226,0.024403543535509935,0.000969679669674848,0.9601277652797378
13,500002-ABB India Limited,LowerBandInNext9Months,Ridge Regression,RidgeFIFValue10,0.03233646845856755,0.025522185835079095,0.0010456471923719342,0.9570040585641884
40,500002-ABB India Limited,UpperBandInNext12Months,Linear Regression,LinearFICoefficients0.1,0.06671683841265794,0.050892178432037014,0.004451136527780709,0.8380229883046095
42,500002-ABB India Limited,UpperBandInNext12Months,Lasso Regression,LassoFICoefficients0.1,0.06791023956400861,0.04548978511150194,0.004611800637641041,0.8321764158080225
41,500002-ABB India Limited,UpperBandInNext12Months,Ridge Regression,RidgeFICoefficients0.1,0.069694879890456,0.04967073050312146,0.004857376282945088,0.8232399096093799
43,500002-ABB India Limited,UpperBandInNext12Months,Elastic Net Regression,ElasticFIFValue1000,0.06994311393968797,0.04537160000551573,0.0048920391875801736,0.8219785253147326
26,500002-ABB India Limited,UpperBandInNext1Months,Lasso Regression,LassoFIForwardSelection,0.028072680236674818,0.01864369350413625,0.000788075375670593,0.8179506331809531
25,500002-ABB India Limited,UpperBandInNext1Months,Ridge Regression,RidgeFIFValue1000,0.028265082327488845,0.01931049849382964,0.0007989148789797222,0.815446653517357
27,500002-ABB India Limited,UpperBandInNext1Months,Elastic Net Regression,ElasticFIFValue1000,0.028414896000221034,0.01952265857368057,0.0008074063147033774,0.8134850892500296
24,500002-ABB India Limited,UpperBandInNext1Months,Linear Regression,LinearFIFValue1000,0.028471392270541858,0.019655113151411576,0.0008106201778230706,0.8127426707402705
46,500002-ABB India Limited,UpperBandInNext24Months,Lasso Regression,LassoFIPValue0.2,0.09312187924958959,0.07212806805522187,0.008671684394975144,0.5407862530331096
47,500002-ABB India Limited,UpperBandInNext24Months,Elastic Net Regression,ElasticFIFValue1000,0.10590190091333263,0.07943055959507402,0.01121521261705732,0.4060923375055555
45,500002-ABB India Limited,UpperBandInNext24Months,Ridge Regression,RidgeFIFValue1000,0.10590190091333286,0.07943055959507427,0.011215212617057371,0.40609233750555285
44,500002-ABB India Limited,UpperBandInNext24Months,Linear Regression,LinearFIFValue1000,0.1059019009133332,0.07943055959507467,0.011215212617057442,0.4060923375055491
28,500002-ABB India Limited,UpperBandInNext3Months,Linear Regression,LinearFIFValue1000,0.0481604201696085,0.03383251970098211,0.0023194260709132335,0.8550252603383275
31,500002-ABB India Limited,UpperBandInNext3Months,Elastic Net Regression,ElasticFICoefficients0.1,0.04866081313760462,0.036132877159535885,0.0023678747352128744,0.8519969971908711
29,500002-ABB India Limited,UpperBandInNext3Months,Ridge Regression,RidgeFICoefficients0.1,0.05236853890204419,0.038301602215791444,0.0027424638667349153,0.8285834629103335
30,500002-ABB India Limited,UpperBandInNext3Months,Lasso Regression,LassoFIPValue0.02,0.05475906919806713,0.04549649965809478,0.0029985556594387046,0.812576554372781
32,500002-ABB India Limited,UpperBandInNext6Months,Linear Regression,LinearFIPValue0.2,0.05168589026767657,0.03335655217632976,0.0026714312527623034,0.9175384558553334
35,500002-ABB India Limited,UpperBandInNext6Months,Elastic Net Regression,ElasticFICoefficients0.1,0.05341147714164269,0.03435574918088005,0.0028527858904522194,0.9119404141890006
33,500002-ABB India Limited,UpperBandInNext6Months,Ridge Regression,RidgeFICoefficients0.1,0.05586669316560897,0.03760991551617173,0.0031210874052603004,0.9036585026913528
34,500002-ABB India Limited,UpperBandInNext6Months,Lasso Regression,LassoFICoefficients0.1,0.06223735162681629,0.03968472072281507,0.003873487937519972,0.8804334581983505
39,500002-ABB India Limited,UpperBandInNext9Months,Elastic Net Regression,ElasticFIFValue1000,0.03458369938635806,0.019812718050060164,0.0011960322632459828,0.9708153096979536
36,500002-ABB India Limited,UpperBandInNext9Months,Linear Regression,LinearFIFValue1000,0.034759573828223596,0.020741877765240082,0.001208227972719727,0.9705177190601902
37,500002-ABB India Limited,UpperBandInNext9Months,Ridge Regression,RidgeFIFValue1000,0.034875175950779554,0.020217463354034675,0.0012162778975978326,0.970321290776655
38,500002-ABB India Limited,UpperBandInNext9Months,Lasso Regression,LassoFIFValue1000,0.03697183302647953,0.022584727173823937,0.0013669164373378826,0.9666455210963836
