Date,Close Price,Invest/Exit,Investment,Shares
2017-03-22,1185.55,INVEST,0,84.0
2017-05-10,1598.8,EXIT,134299.19999999998,0.0
2017-12-14,1348.45,INVEST,0,99.0
2018-02-01,1702.25,EXIT,168522.75,0.0
2018-07-26,1175.15,INVEST,0,143.0
2018-09-12,1462.35,EXIT,209116.05,0.0
2018-10-30,1209.25,INVEST,0,172.0
2018-12-12,1433.45,EXIT,246553.4,0.0
2019-03-12,1256.65,INVEST,0,196.0
2019-07-05,1543.35,EXIT,302496.6,0.0
2019-09-04,1318.4,INVEST,0,229.0
2019-09-23,1554.7,EXIT,356026.3,0.0
2020-03-24,827.9,INVEST,0,430.0
2020-03-31,932.65,EXIT,401039.5,0.0
2020-05-22,730.15,INVEST,0,549.0
2020-07-06,983.0,EXIT,539667.0,0.0
2020-07-30,867.1,INVEST,0,622.0
2020-08-20,969.2,EXIT,602842.4,0.0
2020-10-13,859.65,INVEST,0,701.0
2020-12-30,1209.95,-,848174.9500000001,0.0
