Date,Close Price,Invest/Exit,Investment,Shares
2017-08-28,184.7,INVEST,0,541.0
2018-01-05,294.25,EXIT,159189.25,0.0
2018-07-09,228.0,INVEST,0,698.0
2018-07-12,248.65,EXIT,173557.7,0.0
2018-10-09,176.35,INVEST,0,984.0
2018-10-22,233.0,EXIT,229272.0,0.0
2019-05-02,195.0,INVEST,0,1175.0
2019-05-29,230.9,EXIT,271307.5,0.0
2019-12-23,168.65,INVEST,0,1608.0
2020-02-18,255.95,EXIT,411567.6,0.0
2020-03-24,117.8,INVEST,0,3493.0
2020-06-05,196.4,EXIT,686025.2000000001,0.0
2020-07-08,178.95,INVEST,0,3833.0
2020-09-16,258.2,EXIT,989680.6,0.0
2020-11-04,202.5,INVEST,0,4887.0
2020-12-30,250.7,-,1225170.9,0.0
