Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext12Months,Linear Regression,LinearFIFValue1000,331.1883501376158,217.81241496116047,109685.72326687603,0.9249954991050222
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext1Months,Lasso Regression,LassoFIPValue0.02,415.8283062285069,133.76285496909372,172913.18026086892,0.2805256635083099
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext1Months,Linear Regression,LinearFIPValue0.05,417.11030417345825,148.73540529101516,173981.00584767488,0.2760825487359311
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext1Months,Ridge Regression,RidgeFIFValue10,417.16582196427635,150.24517850920984,174027.32301513033,0.2758898276647386
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext1Months,Elastic Net Regression,ElasticFIPValue0.05,418.1329331107876,146.3636407422337,174835.14975183035,0.27252854193446263
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext24Months,Ridge Regression,RidgeFIFValue1000,571.7101360933684,337.30436963026034,326852.4797118979,0.005868848156169393
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext24Months,Linear Regression,LinearFIFValue1000,572.546777021799,341.1551052463082,327809.81187804963,0.002957095031724699
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext24Months,Elastic Net Regression,ElasticFIFValue1000,572.5657905271138,341.23458328748956,327831.58448193874,0.0028908730351775436
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext24Months,Lasso Regression,LassoFIFValue1000,572.7258637086763,341.8923360428361,328014.9149608493,0.0023332681477126194
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext3Months,Ridge Regression,RidgeFIFValue1000,585.1796498720806,245.04681299419283,342435.2226244109,0.5360017353341
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext3Months,Elastic Net Regression,ElasticFIFValue1000,586.8105472695081,261.03800037098654,344346.61838673963,0.5334118022366422
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext3Months,Linear Regression,LinearFIFValue1000,587.3586215627995,264.63644163840195,344990.15032415197,0.5325398192089386
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext3Months,Lasso Regression,LassoFIFValue100,591.888674556469,255.77810847383617,350332.20306821365,0.5253013605480519
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext6Months,Linear Regression,LinearFIPValue0.1,425.484978010128,254.85051590580443,181037.4665122791,0.8689479468037341
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext6Months,Ridge Regression,RidgeFIPValue0.1,426.0660131663584,259.3698931702318,181532.24757547549,0.8685897774398796
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext6Months,Elastic Net Regression,ElasticFIPValue0.1,426.7715013340825,262.4144721943092,182133.91435094675,0.8681542340809024
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext6Months,Lasso Regression,LassoFIFValue100,458.8227432987385,200.88733994911604,210518.30976818007,0.8476069221358868
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext9Months,Ridge Regression,RidgeFIFValue1000,275.1627678785988,107.46459281326582,75714.54882661164,0.9473623583873128
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext9Months,Lasso Regression,LassoFIFValue1000,275.245422434828,108.60210471212453,75760.04257132694,0.9473307306028637
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext9Months,Elastic Net Regression,ElasticFIFValue1000,278.07167165467763,127.80282954162071,77323.85457682684,0.9462435501709545
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext9Months,Linear Regression,LinearFIFValue1000,278.62626050122526,129.4084712954771,77632.59304089665,0.946028911572751
