Date,Close Price,Invest/Exit,Investment,Shares
2017-03-08,2133.7,INVEST,0,46.0
2017-04-12,2522.2,EXIT,116021.2,0.0
2017-08-21,2004.1,INVEST,0,57.0
2017-11-03,2590.3,EXIT,147647.1,0.0
2017-11-15,2425.7,INVEST,0,60.0
2018-01-10,2999.0,EXIT,179940.0,0.0
2018-03-22,2598.4,INVEST,0,69.0
2018-04-27,2925.4,EXIT,201852.6,0.0
2018-06-28,2626.75,INVEST,0,76.0
2018-08-30,3315.15,EXIT,251951.4,0.0
2018-10-09,3038.75,INVEST,0,82.0
2018-11-20,3564.8,EXIT,292313.60000000003,0.0
2019-04-24,3463.65,INVEST,0,84.0
2019-06-11,4084.15,EXIT,343068.60000000003,0.0
2019-08-29,3479.85,INVEST,0,98.0
2019-10-24,4310.35,EXIT,422414.30000000005,0.0
2019-12-30,4067.75,INVEST,0,103.0
2020-03-03,5357.85,EXIT,551858.55,0.0
2020-03-23,3504.85,INVEST,0,157.0
2020-04-29,4962.7,EXIT,779143.9,0.0
2020-05-19,4208.3,INVEST,0,185.0
2020-06-01,4700.55,EXIT,869601.75,0.0
2020-06-17,4419.35,INVEST,0,196.0
2020-09-16,6950.15,EXIT,1362229.4,0.0
2020-12-15,5995.5,INVEST,0,227.0
2020-12-30,6467.05,-,1468020.35,0.0
