Actual_LowerBandInNext1Months,Predicted_LowerBandInNext1Months,Actual_UpperBandInNext1Months,Predicted_UpperBandInNext1Months,Date,Close Price
0.975491143566232,0.9797488759036332,1.0265345095522689,1.0254546235961408,2020-12-30,6467.05
0.9878255014640716,0.9914567792691826,1.039514272740084,1.0373689410868931,2020-12-29,6386.3
0.9910848917284584,0.9847196767205738,1.031984019648992,1.0283079062047285,2020-12-28,6432.9
0.9809368485025656,0.9760011305324928,1.0214171968397323,1.0153421232618702,2020-12-24,6499.45
0.978738265748651,0.9739882564530572,1.0191278851098775,1.0069050667646002,2020-12-23,6514.05
1.0,1.000746725544623,1.07104367326525,1.0686051831828898,2020-12-22,6198.3
1.0,1.001374999225794,1.0814159003722197,1.0802287219228222,2020-12-21,6138.85
0.9764355018291714,0.98001397137696,1.0559328773659933,1.0512944704908442,2020-12-18,6287.0
1.0,1.0017658327149623,1.08238564569118,1.0813082485570529,2020-12-17,6133.35
1.0,1.0016409792442178,1.1011835153807237,1.101791757560584,2020-12-16,6028.65
1.0,1.0012910073163,1.1072721207572345,1.1082772238783212,2020-12-15,5995.5
0.9869866903721264,0.98914255008496,1.0928628458075085,1.092840522210852,2020-12-14,6074.55
0.981790492409976,0.98446324982446,1.0871092406700835,1.0695849649551024,2020-12-11,6106.7
0.977715809300164,0.980583148877914,1.0825974576616684,1.0645500207049203,2020-12-10,6132.15
0.9805621202580812,0.983293039085581,1.085749098432376,1.0680756542937742,2020-12-09,6114.35
0.984636355424902,0.986933430144119,1.081876483195244,1.0609150578864577,2020-12-08,6089.05
0.9765214629498424,0.97922041671915,1.072960185026834,1.0513069477454735,2020-12-07,6139.65
0.9746086447648618,0.9768210002078708,1.0589024172180048,1.049881690978978,2020-12-04,6151.7
0.9698631466563136,0.9766497553238992,1.0537464816072988,1.046321434323948,2020-12-03,6181.8
0.9688052936471386,0.9764260216770416,1.052597135031631,1.0455230239513509,2020-12-02,6188.55
0.96606564509112,0.9737731409749328,1.0496205346352785,1.0434452728928474,2020-12-01,6206.1
0.9501509496755176,0.9582043001783548,1.0323293793234605,1.031150082415628,2020-11-27,6310.05
0.9485500023731548,0.9597945639127896,1.0305899663012008,1.0240796221129929,2020-11-24,6320.7
0.936913989248656,0.948742273247823,1.017947555944493,1.014728148309192,2020-11-23,6399.2
0.9185760577298738,0.9300660633971192,1.0,0.9995024177427668,2020-11-20,6526.95
0.9193719043748946,0.9305308520062936,1.0008663916703724,0.993369495782287,2020-11-19,6521.3
0.9218102566862184,0.9329304021071598,1.003520883142042,0.9967713819875196,2020-11-18,6504.05
0.9282971541820207,0.9393055344481758,1.0105827888396866,1.0057400709045896,2020-11-17,6458.6
0.9563827698590333,0.9642393044381864,1.0251619743197078,1.0238557366435417,2020-11-12,6366.75
0.981234388848602,0.9786864237074476,1.0518008218515833,1.053978780070116,2020-11-09,6205.5
0.997698588250602,0.983827820452234,1.061568863444148,1.0619143827594109,2020-11-06,6148.4
1.0,0.989408035421298,1.0718807734942726,1.0675050784573998,2020-11-05,6089.25
