Company,Y-Column,Model,Method,RMSE,MAE,MSE,n_neighbors,weights,metric,r2_score
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0399929635605362,0.0236667575099125,0.0015994371343543,9,distance,euclidean,0.8584703095211232
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0533174038190168,0.0328271392977554,0.0028427455500001,3,distance,euclidean,0.8404326760724042
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0362413895574776,0.0242544663408313,0.0013134383170568,10,distance,euclidean,0.9279622949689128
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0504159209661124,0.0314935336175992,0.0025417650868612,11,distance,euclidean,0.943054482437728
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0289358244337383,0.0208733237691064,0.0008372819356601,7,distance,euclidean,0.7589997392690323
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1015574071788412,0.0541406115226609,0.0103139069528889,6,distance,euclidean,0.2764884820617946
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0390016099624865,0.0257886533889358,0.0015211255796659,6,distance,euclidean,0.8620327205455326
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0382568388766772,0.0238374803681696,0.001463585720836,18,distance,euclidean,0.9392383649215292
500008-AMARA RAJA BATTERIES LTD.,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0565863343768382,0.0283173099984394,0.0032020132382073,4,distance,euclidean,0.9362684140577296
500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0162700385467705,0.0121344507447657,0.0002647141543133,7,distance,manhattan,0.9614982747970408
500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0329899957589352,0.0241628672450307,0.0010883398201745,11,distance,manhattan,0.7425085535895273
500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0225517822170214,0.0169152369921699,0.0005085828811639,11,distance,manhattan,0.9267041713961208
500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0237571400035877,0.0185906053936175,0.00056440170115,16,distance,euclidean,0.9250114781620816
500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0167270475783411,0.0111136980101577,0.000279794120688,2,distance,manhattan,0.962587074496424
500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0111465163302288,0.0085112709158676,0.0001242448263,5,distance,manhattan,0.9834399107960836
500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1272158694208816,0.0969671716500039,0.0161838774325108,4,distance,manhattan,0.7117627160598876
500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1089946066692863,0.0719037375442136,0.0118798242829924,5,distance,euclidean,0.7201725337707985
500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.4476538289721369,0.388955127133596,0.2003939505934152,3,uniform,manhattan,-2.585389239815662
500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1583890078013995,0.1268758744663773,0.0250870777923118,3,distance,euclidean,0.6714719174750974
500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1410178286199807,0.1277340403311075,0.0198860279886942,6,distance,euclidean,0.4864421441805672
500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0556385147245262,0.0466120348401504,0.0030956443207513,13,distance,euclidean,0.9391613754760684
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0178687744964904,0.0125695752369474,0.0003192931020064,7,distance,manhattan,0.8783306168139496
