Date,Close Price,Invest/Exit,Investment,Shares
2017-02-15,55.6,INVEST,0,1798.0
2017-10-10,236.75,EXIT,425676.5,0.0
2017-11-15,185.95,INVEST,0,2289.0
2017-12-19,294.05,EXIT,673080.4500000001,0.0
2018-02-02,191.8,INVEST,0,3509.0
2018-04-30,310.35,EXIT,1089018.1500000001,0.0
2018-07-05,199.95,INVEST,0,5446.0
2018-09-07,261.25,EXIT,1422767.5,0.0
2018-12-10,86.1,INVEST,0,16524.0
2019-01-16,127.3,EXIT,2103505.1999999997,0.0
2019-02-06,104.0,INVEST,0,20226.0
2019-04-05,140.5,EXIT,2841753.0,0.0
2019-08-22,63.45,INVEST,0,44787.0
2019-09-23,90.55,EXIT,4055462.85,0.0
2019-10-10,68.8,INVEST,0,58945.0
2020-01-30,98.1,EXIT,5782504.5,0.0
2020-03-24,37.2,INVEST,0,155443.0
2020-04-17,56.25,EXIT,8743668.75,0.0
2020-05-18,45.8,INVEST,0,190909.0
2020-07-06,77.45,EXIT,14785902.05,0.0
2020-07-31,59.0,INVEST,0,250608.0
2020-08-27,74.95,EXIT,18783069.6,0.0
2020-11-05,62.05,INVEST,0,302708.0
2020-12-30,76.55,-,23172297.4,0.0
