Predicted_LowerBandInNext1Months,Actual_LowerBandInNext1Months,Actual_UpperBandInNext1Months,Predicted_UpperBandInNext1Months,Date,Close Price
0.795820676503694,0.7610789980732177,1.2745664739884393,28.59790243827192,2020-12-29,10.38
0.8397914018304754,0.7987866531850354,1.3377148634984832,29.980647369521375,2020-12-28,9.89
0.8911838215790783,0.926751592356688,1.404458598726115,31.49477766812722,2020-12-24,9.42
0.9413812458803053,0.9721603563474388,1.4732739420935412,32.98533530204498,2020-12-23,8.98
0.9006392998512194,1.0,1.5455607476635511,34.61018695143274,2020-12-22,8.56
0.9645624521697462,1.0,1.6193390452876375,36.22317029098957,2020-12-21,8.17
0.9689684518058166,1.0,1.6641509433962265,37.202052195117886,2020-12-18,7.95
0.971085453591026,1.0,1.832409972299169,40.88700129528774,2020-12-16,7.22
0.9717403848168504,1.0,1.8819345661450924,41.97492356534973,2020-12-15,7.03
0.986454303048918,1.0,1.9746268656716417,44.00482009454193,2020-12-14,6.7
0.9390142275493156,1.0,2.070422535211268,46.098389900040914,2020-12-11,6.39
0.9596484392987767,1.0,2.1134185303514377,47.04256480247139,2020-12-10,6.26
0.930078398706106,0.9513677811550152,2.0106382978723403,44.77894550692636,2020-12-09,6.58
0.9771247253732938,1.0,2.208681135225376,49.133408925354985,2020-12-08,5.99
0.987832714032764,1.0,2.4275229357798165,53.91950649672522,2020-12-07,5.45
0.9780367981020314,1.0,2.419354838709677,59.18345305440703,2020-12-04,4.96
0.9726170570074764,0.9612403100775192,2.3255813953488373,56.90612079229706,2020-12-03,5.16
0.98980978408022,1.0,2.4390243902439024,59.6570032461281,2020-12-02,4.92
0.9973264237306608,1.0,2.1073825503355708,65.58565141357357,2020-11-27,4.47
0.9868393118116388,1.0,2.211267605633803,68.79213793807685,2020-11-25,4.26
0.990996086578384,0.9953271028037384,2.2009345794392523,68.4606134365923,2020-11-24,4.28
0.980278794288694,0.9760765550239237,1.9019138755980864,70.07894821618876,2020-11-20,4.18
0.9664922825277944,0.9714285714285714,1.8928571428571428,69.74858938590312,2020-11-19,4.2
0.9621725363477136,0.9251700680272108,1.8027210884353744,66.44640150112119,2020-11-18,4.41
0.9637275294622032,0.9336384439359268,1.734553775743707,67.05573760357278,2020-11-17,4.37
0.9693048375594032,0.9466357308584687,1.5266821345707655,67.98764777189638,2020-11-13,4.31
0.9611343832443788,0.9336384439359268,1.505720823798627,67.04864527735958,2020-11-12,4.37
0.9681210843877353,0.9622641509433962,1.55188679245283,69.08674898369198,2020-11-10,4.24
0.967713488463499,0.9400921658986175,1.5161290322580645,67.51267183664137,2020-11-09,4.34
0.970414723482744,0.951048951048951,1.202797202797203,68.29274016718249,2020-11-06,4.29
0.9708102491075178,0.9379310344827588,1.1862068965517245,67.35755729730732,2020-11-05,4.35
0.9893711109606688,0.9714285714285714,1.2285714285714286,69.7437812486625,2020-11-03,4.2
0.9842838482150642,0.9691211401425178,1.168646080760095,69.5849725878632,2020-11-02,4.21
0.9765301046617284,0.9927007299270072,1.0875912408759123,71.26225445583513,2020-10-30,4.11
0.9888967940192422,0.9927007299270072,1.0875912408759123,71.26684951147186,2020-10-29,4.11
0.9764339342966584,0.9855072463768116,1.0797101449275364,70.75075114825209,2020-10-28,4.14
0.9765701820218724,0.9737470167064438,1.062052505966587,69.90899072528909,2020-10-27,4.19
0.9746681705649338,0.9784172661870504,1.0671462829736211,70.24454894280413,2020-10-26,4.17
0.964106616687464,0.9558139534883722,1.0348837209302326,68.13739170655585,2020-10-23,4.3
0.9893696884875404,0.98090692124105,1.062052505966587,69.91120756809009,2020-10-22,4.19
0.986011998508375,1.0,1.0827250608272505,71.267312196667,2020-10-21,4.11
0.9767091067071504,0.9879807692307692,1.0697115384615383,70.41517280302814,2020-10-20,4.16
0.9864163591463596,1.0,1.0827250608272505,71.26396764568983,2020-10-19,4.11
0.981513552869002,1.0,1.1042183622828785,72.6686323114163,2020-10-16,4.03
0.9407460962032748,0.9710843373493976,1.072289156626506,70.57427235861815,2020-10-15,4.15
0.9629960728136387,0.9829268292682928,1.0658536585365854,71.43495242076483,2020-10-14,4.1
