Date,Close Price,Invest/Exit,Investment,Shares
2017-03-22,267.65,INVEST,0,373.0
2017-05-16,307.0,EXIT,114511.0,0.0
2017-06-29,272.55,INVEST,0,420.0
2017-07-31,312.55,EXIT,131271.0,0.0
2017-09-27,250.45,INVEST,0,524.0
2017-11-16,333.45,EXIT,174727.8,0.0
2018-04-26,233.35,INVEST,0,748.0
2018-06-13,287.65,EXIT,215162.19999999998,0.0
2018-07-16,251.75,INVEST,0,854.0
2018-08-09,316.45,EXIT,270248.3,0.0
2018-10-25,249.65,INVEST,0,1082.0
2018-11-05,295.3,EXIT,319514.60000000003,0.0
2018-12-10,273.4,INVEST,0,1168.0
2018-12-19,300.4,EXIT,350867.19999999995,0.0
2019-02-19,262.5,INVEST,0,1336.0
2019-07-05,370.6,EXIT,495121.60000000003,0.0
2019-10-04,249.9,INVEST,0,1981.0
2019-11-29,341.85,EXIT,677204.8500000001,0.0
2020-05-22,150.85,INVEST,0,4489.0
2020-08-28,224.85,EXIT,1009351.65,0.0
2020-10-07,190.65,INVEST,0,5294.0
2020-12-30,276.85,-,1465643.9000000001,0.0
