SC_CODE,SC_NAME,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open,Deliverable Quantity,% Deli. Qty to Traded Qty
500002,ABB LTD.    ,1476.0,1502.0,1465.0,1472.25,1483.133657716105,16647,1594,24689726.0,37.0,-3.75,5785.0,40.6
500003,AEGIS LOGIS ,292.0,300.9,291.8,297.05,296.7318698833587,13803,554,4095790.0,9.099999999999966,5.050000000000011,2936.0,32.24
500008,AMAR RAJA BA,970.0,970.0,915.0,927.9,930.7445264847512,171325,9819,159459806.0,55.0,-42.10000000000002,13824.0,22.3
500009,A.SARABHAI  ,21.05,21.05,19.35,19.9,19.997182366969156,127057,421,2540782.0,1.6999999999999993,-1.1500000000000021,40207.0,81.5
500010,HDFC        ,2815.05,2866.5,2805.65,2860.4,2846.808641609359,101208,5931,288119809.0,60.84999999999991,45.34999999999991,44883.0,54.6
500012,ANDHRA PETRO,52.8,52.8,49.0,49.7,50.26064168465516,128786,541,6472867.0,3.799999999999997,-3.0999999999999943,143303.0,78.76
500013,ANSAL INFRAS,7.83,7.83,7.14,7.83,7.7662164809169125,199103,227,1546277.0,0.6900000000000004,0.0,133417.0,63.98
500014,UTIQUE      ,1.89,1.89,1.71,1.71,1.7882043411532558,4561,22,8156.0,0.17999999999999994,-0.17999999999999994,4453.0,100.0
500016,ARUNAHTEL   ,6.3,6.3,6.3,6.3,6.298368298368298,429,1,2702.0,0.0,0.0,58628.0,37.7
500020,BOM DYEING  ,73.2,73.4,71.3,71.7,72.01072496436163,194313,856,13992620.0,2.1000000000000085,-1.5,2794.0,99.29
500023,ASIANHOTNR  ,73.8,74.5,72.5,72.5,74.07552742616033,4740,90,351118.0,2.0,-1.2999999999999972,611.0,48.72
500027,ATUL LTD.   ,6855.0,6962.1,6692.05,6709.9,6830.830103530661,3767,1419,25731737.0,270.0500000000002,-145.10000000000036,2203.0,100.0
500028,ATV PROJECTS,5.05,5.05,4.68,4.8,4.810680478656903,11198,37,53870.0,0.3700000000000001,-0.25,2972.0,100.0
500029,AUTOLITE(I) ,29.0,29.95,28.2,28.3,28.398594698179494,3131,18,88916.0,1.75,-0.6999999999999993,8724.0,47.9
500031,BAJAJ ELECT.,1074.0,1084.8,1051.75,1069.75,1075.9717533661983,135910,2412,146235321.0,33.049999999999955,-4.25,340968.0,65.13
500032,BAJAJHIND   ,6.29,6.29,6.05,6.1,6.136161056970741,436417,991,2677925.0,0.2400000000000002,-0.1900000000000004,2225.0,57.36
500033,FORCE MOTR  ,1350.0,1375.0,1333.0,1354.55,1358.3401005597193,10541,1385,14318263.0,42.0,4.5499999999999545,19767.0,15.74
500034,BAJFINANCE  ,5595.0,5799.95,5595.0,5780.7,5725.943977504001,128734,10970,737123672.0,204.94999999999982,185.69999999999982,5517.0,35.37
500038,BALRAM.CHINI,160.0,161.0,157.0,157.1,158.76113456695774,79819,1259,12672155.0,4.0,-2.9000000000000057,13184.0,55.88
500039,BANCO PROD. ,161.05,161.95,157.4,157.75,159.1099153744558,20443,466,3252684.0,4.549999999999983,-3.3000000000000114,6253.0,46.47
500040,CENTURY TEXT,468.65,468.7,458.25,462.3,462.1796066565809,16525,545,7637518.0,10.449999999999989,-6.349999999999966,43.0,81.13
500041,BANNARI AMAN,1580.0,1596.55,1551.3,1552.95,1568.032258064516,31,16,48609.0,45.25,-27.049999999999955,3327.0,33.46
500042,BASF INDIA  ,1984.85,2070.35,1952.9,2048.3,2021.398754065825,18139,2792,36666152.0,117.44999999999982,63.45000000000027,7639.0,31.74
500043,BATA INDIA  ,1549.9,1563.0,1526.25,1552.7,1549.8154560188595,40722,2675,63111585.0,36.75,2.7999999999999545,6539.0,9.89
500048,BEML LTD    ,972.0,980.0,955.0,959.0,966.8618437578498,19905,933,19245385.0,25.0,-13.0,473276.0,21.69
500049,BHARAT ELECT,137.95,137.95,134.9,136.05,137.08439714245156,1063709,2324,145817907.0,3.049999999999983,-1.8999999999999773,48854.0,43.01
500052,BHANSALI ENG,139.85,139.85,136.1,136.5,137.80945136124282,118311,1110,16304374.0,3.75,-3.3499999999999943,555045.0,55.53
500055,TATASTLBSL  ,43.25,43.4,42.2,42.35,42.70669072269248,355836,970,15196578.0,1.1999999999999957,-0.8999999999999986,9573.0,60.5
500058,BIHAR SPONGE,1.74,1.74,1.74,1.74,1.7399910031488979,15561,12,27076.0,0.0,0.0,1534.0,79.11
500060,BIRLACABLE  ,62.85,63.1,61.9,62.1,62.396493771831544,15173,266,946742.0,1.2000000000000028,-0.75,134.0,63.21
500067,BLUE STAR   ,833.7,833.7,814.45,818.95,820.7246011754828,1191,127,977483.0,19.25,-14.75,232.0,97.07
500068,DISA INDIA  ,4439.0,4439.0,4210.0,4277.5,4265.664237831536,3431,388,14635494.0,229.0,-161.5,8473.0,88.5
500069,BNK CAPITAL ,109.35,112.75,107.0,110.35,109.88386524822695,2256,15,247898.0,5.75,1.0,4757.0,51.4
500074,BPL LTD.    ,21.45,22.35,21.0,21.8,21.85177354944797,4257,61,93023.0,1.3500000000000014,0.3500000000000014,38790.0,74.83
500078,OAL         ,636.55,677.55,636.55,648.35,661.8349603019653,7683,1143,5084878.0,41.0,11.800000000000068,11307.0,62.02
500083,CENTURY EXT ,4.79,4.79,4.5,4.64,4.605392731535757,12795,62,58926.0,0.29000000000000004,-0.15000000000000036,23186.0,40.17
500084,CESC LTD.   ,626.05,627.55,619.75,624.55,624.3847949803006,6853,321,4278909.0,7.7999999999999545,-1.5,81449.0,32.59
