SC_CODE,SC_NAME,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open,Deliverable Quantity,% Deli. Qty to Traded Qty
500002,ABB LTD.    ,1537.05,1560.0,1508.3,1523.75,1532.2390297684674,13605,1046,20846112.0,51.700000000000045,-13.299999999999955,1427,10.49
500003,AEGIS LOGIS ,311.85,323.0,311.85,322.0,318.65094599981603,32611,1295,10391526.0,11.149999999999977,10.149999999999977,16453,50.45
500008,AMAR RAJA BA,882.85,904.0,881.25,899.7,893.1278529872454,71504,3689,63862214.0,22.75,16.850000000000023,26161,36.59
500009,A.SARABHAI  ,19.0,20.6,19.0,20.35,19.857021681562397,96672,266,1919618.0,1.6000000000000014,1.3500000000000014,65921,68.19
500010,HDFC        ,2559.0,2614.95,2549.0,2607.3,2590.658283760549,101198,5710,262169437.0,65.94999999999982,48.30000000000018,42001,41.5
500012,ANDHRA PETRO,66.45,66.45,63.35,65.85,65.8536808709091,587524,1530,38690618.0,3.1000000000000014,-0.6000000000000085,397569,67.67
500013,ANSAL INFRAS,8.25,8.39,7.76,7.91,7.921356215989954,59725,80,473103.0,0.6300000000000008,-0.33999999999999986,47793,80.02
500014,UTIQUE      ,1.77,1.77,1.77,1.77,1.7696581196581196,2340,10,4141.0,0.0,0.0,2340,100.0
500016,ARUNAHTEL   ,6.3,6.3,6.3,6.3,6.299856527977044,697,2,4391.0,0.0,0.0,697,100.0
500020,BOM DYEING  ,74.25,77.45,74.25,76.2,76.33309736292883,735968,4327,56178717.0,3.200000000000003,1.9500000000000028,246292,33.46
500023,ASIANHOTNR  ,71.75,71.75,70.1,71.0,71.29841656516443,821,41,58536.0,1.6500000000000057,-0.75,681,82.95
500027,ATUL LTD.   ,6980.0,6980.0,6415.0,6583.55,6643.534037558686,1704,571,11320582.0,565.0,-396.4499999999998,542,31.81
500028,ATV PROJECTS,4.52,4.72,4.33,4.37,4.683646517243981,13251,27,62063.0,0.3899999999999997,-0.14999999999999947,13251,100.0
500029,AUTOLITE(I) ,25.85,27.95,25.85,27.0,27.144969199178643,2435,16,66098.0,2.099999999999998,1.1499999999999986,2435,100.0
500031,BAJAJ ELECT.,1020.0,1020.0,966.65,989.15,988.9122068161203,15434,962,15262871.0,53.35000000000002,-30.850000000000023,3670,23.78
500032,BAJAJHIND   ,6.89,6.9,6.21,6.28,6.437265625225187,2081602,2402,13399825.0,0.6900000000000004,-0.6099999999999994,1288054,61.88
500033,FORCE MOTR  ,1338.0,1340.0,1307.0,1312.4,1318.2777578153073,2783,440,3668767.0,33.0,-25.59999999999991,1427,51.28
500034,BAJFINANCE  ,5310.0,5370.0,5198.0,5266.7,5281.453030049034,95444,8973,504083003.0,172.0,-43.30000000000018,9394,9.84
500038,BALRAM.CHINI,174.6,184.0,174.6,180.85,181.00726025933022,121621,2049,22014284.0,9.400000000000006,6.25,74619,61.35
500039,BANCO PROD. ,150.1,156.0,150.1,154.2,153.61417811253878,112850,5694,17335360.0,5.900000000000006,4.099999999999994,5397,4.78
500040,CENTURY TEXT,481.05,494.65,476.8,487.2,483.34984937683356,101578,1742,49097711.0,17.849999999999966,6.149999999999977,31132,30.65
500041,BANNARI AMAN,1750.25,1799.3,1744.0,1780.2,1757.072463768116,138,49,242476.0,55.299999999999955,29.950000000000045,118,85.51
500042,BASF INDIA  ,1967.4,1991.0,1876.95,1898.7,1924.4450307827617,2274,540,4376188.0,114.04999999999995,-68.70000000000005,959,42.17
500043,BATA INDIA  ,1422.25,1477.25,1422.25,1470.0,1460.993598079424,29991,2201,43816659.0,55.0,47.75,5650,18.84
500048,BEML LTD    ,1082.15,1184.3,1080.15,1166.1,1148.9449340342198,155232,7184,178353020.0,104.14999999999986,83.94999999999982,48257,31.09
500049,BHARAT ELECT,138.6,146.95,137.95,145.9,143.26470160149813,1745116,10843,250013523.0,9.0,7.300000000000011,562475,32.23
500052,BHANSALI ENG,145.35,146.5,135.8,138.35,143.83722263162204,183195,1590,26350260.0,10.699999999999989,-7.0,37848,20.66
500055,TATASTLBSL  ,46.2,47.3,45.65,47.05,46.742925429233864,489535,1510,22882298.0,1.6499999999999986,0.8499999999999943,127742,26.09
500058,BIHAR SPONGE,1.74,1.74,1.74,1.74,1.739890236857308,6924,6,12047.0,0.0,0.0,6924,100.0
500060,BIRLACABLE  ,62.35,62.35,60.1,60.65,61.12854847348688,20537,402,1255397.0,2.25,-1.7000000000000028,13929,67.82
500067,BLUE STAR   ,899.95,947.5,843.0,860.25,896.7152063968521,79289,4782,71099652.0,104.5,-39.700000000000045,13769,17.37
