SC_CODE,SC_NAME,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open,Deliverable Quantity,% Deli. Qty to Traded Qty
500086,EXIDE IND.  ,205.6,209.5,204.5,208.05,207.33498031193318,409639,6147,84932494.0,5.0,2.450000000000017,18461.0,16.6
500087,CIPLA LTD.  ,792.35,815.0,790.35,809.1,802.3029055316523,583370,8199,468039446.0,24.649999999999977,16.75,121678.0,35.81
500089,DIC INDIA   ,408.0,412.3,405.15,409.0,408.9431330472103,932,135,381135.0,7.150000000000034,1.0,74103.0,18.71
500092,CRISIL LTD  ,1964.0,1976.0,1950.0,1966.0,1964.0403212979163,12574,227,24695843.0,26.0,2.0,829.0,23.67
500093,CGPOWER     ,55.3,56.8,53.9,56.4,56.033368034743475,475485,1772,26643026.0,2.8999999999999986,1.1000000000000014,244.0,46.65
500096,DABUR (I)   ,507.0,510.0,505.65,509.0,507.0178894603543,398391,2991,201991364.0,4.350000000000023,2.0,229896.0,54.72
500097,DALMIASUG   ,161.15,167.25,160.05,162.1,163.7161068074912,57187,1406,9362433.0,7.199999999999989,0.9499999999999886,21289.0,16.24
500101,ARVIND Ltd  ,74.2,77.65,73.2,76.2,75.70297453078379,736654,5615,55766899.0,4.450000000000003,2.0,10027.0,34.46
500102,BALARPUR IND,1.25,1.3,1.22,1.26,1.2449462753906273,1639286,277,2040823.0,0.08000000000000007,0.010000000000000009,288212.0,31.76
500103,BHEL        ,43.5,47.75,43.4,47.2,46.35982494630483,19856536,27345,920545533.0,4.350000000000001,3.700000000000003,1491341.0,100.0
500104,HIND.PETRO  ,245.25,259.2,245.25,252.4,252.84977085864602,678184,7303,171478669.0,13.949999999999989,7.150000000000006,4432294.0,22.1
500106,IFCI LTD    ,9.09,9.23,8.86,9.05,9.049827452948303,793117,50283,7177572.0,0.370000000000001,-0.03999999999999915,171360.0,27.19
500108,MAHA.TELE   ,12.2,13.27,12.0,12.87,12.821752138937802,547468,17684,7019499.0,1.2699999999999996,0.6699999999999999,280519.0,33.56
500109,MRPL        ,38.65,40.45,38.5,39.25,39.62580006226452,407937,1194,16164830.0,1.9500000000000028,0.6000000000000014,476404.0,42.59
500110,CHENNAI PET.,98.8,102.75,97.15,99.6,100.54186537822972,207797,2043,20892298.0,5.599999999999994,0.7999999999999972,579899.0,41.83
500111,REL.CAP.    ,10.0,10.2,9.85,9.93,9.97466288808221,504951,1046,5036716.0,0.34999999999999964,-0.07000000000000028,30140.0,26.75
500112,STATE BANK  ,411.0,414.9,406.6,407.25,409.7926902913415,3106526,21184,1273031647.0,8.299999999999955,-3.75,362357.0,62.17
500113,STEEL AUTH. ,72.45,73.85,72.1,73.2,73.14879207270575,4732611,12163,346184778.0,1.75,0.75,1074029.0,31.77
500114,TITAN       ,1460.0,1460.0,1430.75,1436.05,1449.6853951847952,204145,3010,295946025.0,29.25,-23.950000000000045,2460743.0,20.08
500116,IDBI BANK L ,30.6,31.45,30.45,30.8,30.86708493151831,1434179,3199,44268925.0,1.0,0.1999999999999993,23716.0,26.7
500117,DCW LTD.    ,27.75,27.75,26.5,27.3,27.20826832277868,196122,1080,5336140.0,1.25,-0.4499999999999993,991674.0,36.07
500119,DHAMPUR SUGA,179.45,179.45,173.6,174.55,176.3090035788284,21236,514,3744098.0,5.849999999999994,-4.899999999999977,138216.0,64.72
500120,DIAMINES&CHM,300.0,315.0,295.0,296.85,302.06220324955353,22957,490,6934442.0,20.0,-3.1499999999999773,24355.0,39.12
500123,ELANTAS     ,3399.0,3400.0,3121.0,3311.7,3290.7988186240445,5756,713,18941838.0,279.0,-87.30000000000018,9313.0,75.62
500124,DR.REDDY'S  ,4429.0,4589.45,4423.8,4479.25,4491.851894955219,118578,8707,532634814.0,165.64999999999964,50.25,1777.0,67.26
500125,E.I.D.PAR   ,321.45,324.55,318.0,321.65,320.70370944009915,12913,489,4141247.0,6.550000000000011,0.19999999999998863,10622.0,22.34
500126,PGHL        ,7001.9,7001.9,6687.0,6734.5,6806.002210759028,1357,728,9235745.0,314.89999999999964,-267.39999999999964,4421.0,41.03
500128,ELEC.CASTING,22.65,25.6,22.2,24.65,24.377567917369845,315236,927,7684687.0,3.400000000000002,2.0,651.0,50.04
500133,ESAB INDIA  ,1950.0,1950.0,1809.0,1827.4,1875.4053672316384,3540,1069,6638935.0,141.0,-122.59999999999991,69763.0,43.99
500135,EPL         ,227.45,227.7,221.15,225.85,225.87912680892813,20385,931,4604546.0,6.549999999999983,-1.5999999999999943,1771.0,47.61
500136,ESTER INDUS.,104.45,105.65,103.25,104.25,104.84034556647732,29401,537,3082411.0,2.4000000000000057,-0.20000000000000284,15177.0,54.32
500143,P.H.CAPITAL ,25.65,25.65,24.0,25.65,24.295081967213115,122,3,2964.0,1.6499999999999986,0.0,25126.0,63.12
500144,FINOL. CABLE,387.0,415.0,387.0,407.6,407.11233129139896,160632,6016,65395268.0,28.0,20.600000000000023,400.0,74.63
500147,COCKERILL   ,810.0,831.45,801.1,804.75,805.3020833333334,1440,28,1159635.0,30.350000000000023,-5.25,17174.0,57.72
500148,UFLEX LTD   ,368.95,370.9,367.2,368.8,369.0034802784223,11206,706,4135053.0,3.6999999999999886,-0.14999999999997726,988.0,92.94
500150,FOSECO INDIA,1217.95,1262.1,1216.05,1237.9,1237.0256,625,77,773141.0,46.049999999999955,19.950000000000045,3160.0,9.1
500151,GOLDEN TOB  ,45.7,47.75,43.0,46.35,46.36715481171548,956,89,44327.0,4.75,0.6499999999999986,371.0,87.09
500153,GANESH BENZO,73.05,80.45,73.05,77.4,77.28221705574488,565182,2256,43678518.0,7.400000000000006,4.3500000000000085,222.0,40.96
500159,METROGLOBL  ,54.0,54.0,51.15,51.6,51.72171945701358,1326,19,68583.0,2.8500000000000014,-2.3999999999999986,177645.0,75.79
500160,GTL LTD.    ,6.85,6.98,6.74,6.8,6.843061585463901,31095,72,212785.0,0.2400000000000002,-0.04999999999999982,1767.0,57.48
500163,GODFREY PH  ,912.55,914.5,903.0,907.85,908.3676391139925,7404,572,6725554.0,11.5,-4.699999999999932,5187.0,77.0
500164,GODREJ IND  ,442.25,448.0,439.65,445.3,444.34881668672284,12465,486,5538808.0,8.350000000000023,3.0500000000000114,1638.0,15.56
500165,KANSAI NERO ,573.0,577.0,555.0,572.65,568.1779411764705,17000,933,9659025.0,22.0,-0.35000000000002274,13680.0,54.49
500166,GOODRICKE   ,219.9,222.3,217.0,219.25,219.92002840909092,7040,135,1548237.0,5.300000000000011,-0.6500000000000057,3255.0,31.0
500168,GOODYEAR (I),962.5,970.0,954.0,965.95,963.9987562189054,4824,504,4650330.0,16.0,3.4500000000000455,12221.0,57.75
500170,GTN INDUS   ,10.22,10.27,10.22,10.27,10.236363636363636,110,3,1126.0,0.049999999999998934,0.049999999999998934,2492.0,64.14
500171,GHCL LTD    ,220.0,220.45,214.3,216.3,218.55140047675803,6712,252,1466917.0,6.149999999999977,-3.6999999999999886,853.0,95.52
500173,GFLLIMITED  ,92.0,98.8,91.4,95.6,96.77353047241255,16638,888,1610118.0,7.3999999999999915,3.5999999999999943,8266.0,58.11
500174,GUJ.LEASE   ,3.21,3.21,2.99,3.21,3.1993748046264456,15995,36,51174.0,0.21999999999999975,0.0,12495.0,65.69
500179,HCL INFOSYS ,9.63,9.65,9.5,9.55,9.583518218959995,156403,502,1498891.0,0.15000000000000036,-0.08000000000000007,27326.0,99.81
500180,HDFC BANK   ,1622.0,1635.8,1601.4,1605.75,1621.9287832356779,322733,11619,523449942.0,34.399999999999864,-16.25,36239.0,45.09
500182,HEROMOTOCO  ,3449.65,3466.05,3402.75,3435.7,3440.463638171887,65357,2353,224858382.0,63.30000000000018,-13.950000000000273,131018.0,29.87
500183,HFCL        ,30.35,30.5,29.6,29.8,29.96905187243615,785928,1816,23553517.0,0.8999999999999986,-0.5500000000000007,36872.0,51.58
500184,HSCL        ,41.8,49.3,39.7,49.3,43.75432672479516,38678448,23142,1692349451.0,9.599999999999994,7.5,492335.0,34.0
500185,HIND.CONSTN.,8.5,8.54,8.25,8.36,8.357898561275407,734887,927,6142111.0,0.28999999999999915,-0.14000000000000057,1431108.0,20.86
500186,HIND.OIL EXP,97.8,103.2,96.7,100.95,100.63041654737329,199089,2533,20034409.0,6.5,3.1500000000000057,229650.0,46.46
500187,HSIL        ,183.95,183.95,179.3,181.3,181.5414911541702,9496,258,1723918.0,4.649999999999977,-2.6499999999999773,46979.0,60.56
500188,HINDUS.ZI   ,308.5,308.8,302.6,304.25,306.4137029116631,60790,1792,18626889.0,6.199999999999989,-4.25,7033.0,57.16
500189,NXTDIGITAL  ,495.1,500.65,492.75,500.3,495.93689320388347,206,44,102163.0,7.899999999999977,5.199999999999989,28636.0,26.61
500191,HMT LTD.    ,23.6,23.85,22.55,23.85,23.774070978037845,13159,79,312843.0,1.3000000000000007,0.25,129.0,92.14
500192,PRAG BOSIMI ,2.03,2.03,1.86,1.87,1.9700756330154554,9123,23,17973.0,0.1699999999999997,-0.1599999999999997,9938.0,100.0
500193,HLVLTD      ,5.45,5.79,5.45,5.76,5.677715477898031,76690,189,435424.0,0.33999999999999986,0.3099999999999996,315.0,100.0
500199,I.G.PETRO   ,444.45,447.95,435.35,441.85,441.3911894273128,3405,287,1502937.0,12.599999999999966,-2.599999999999966,49757.0,54.17
500201,IND.GLYCOLS ,488.5,503.7,487.8,498.8,495.7510392880145,17079,605,8466932.0,15.899999999999977,10.300000000000011,2131.0,54.42
500202,IND.LEAS.DEV,11.1,11.1,11.1,11.1,11.0,1,1,11.0,0.0,0.0,9027.0,15.57
500206,MARGO FIN   ,9.36,9.36,8.92,9.36,9.213333333333333,300,3,2764.0,0.4399999999999995,0.0,1.0,100.0
500207,INDO RAMA   ,36.75,37.8,35.7,36.2,36.88617476706119,15884,111,585900.0,2.0999999999999943,-0.5499999999999972,252.0,100.0
500209,INFOSYS LTD ,1291.0,1299.0,1271.85,1274.75,1277.9335831571175,1473572,6724,1883127146.0,27.15000000000009,-16.25,10377.0,80.22
500210,INGERSOLL   ,737.5,745.85,731.65,744.5,739.7404361816232,2797,379,2069054.0,14.200000000000045,7.0,147080.0,31.86
500211,INSILCO LTD.,8.11,8.29,8.01,8.1,8.159588467520038,8359,38,68206.0,0.27999999999999936,-0.009999999999999787,2394.0,43.54
500212,INTEG.FIN.SE,29.4,29.4,29.4,29.4,29.0,1,1,29.0,0.0,0.0,8897.0,82.17
500213,INTER.TRAVEL,55.1,56.45,52.7,53.95,53.5504418684724,17426,114,933170.0,3.75,-1.1499999999999986,300.0,100.0
500214,ION EXCHANGE,1215.0,1230.0,1200.0,1201.3,1204.7931640839652,27297,9833,32887239.0,30.0,-13.700000000000045,3792.0,79.38
500215,AGRO TECH FO,879.7,879.7,821.45,824.45,833.0983796296297,1728,339,1439594.0,58.25,-55.25,42867.0,58.76
500219,JAIN IRRIG  ,19.95,19.95,19.15,19.5,19.689909878181464,318014,776,6261667.0,0.8000000000000007,-0.4499999999999993,364.0,57.41
500220,JASCH INDUST,55.65,57.2,52.85,53.35,53.90793598416103,6061,70,326736.0,4.350000000000001,-2.299999999999997,120746.0,63.44
500223,JCT LTD     ,0.98,0.98,0.93,0.94,0.9438099143093609,1977929,390,1866789.0,0.04999999999999993,-0.040000000000000036,3081.0,74.19
500227,JINDAL POLYF,504.85,507.65,495.0,500.55,500.1397333333333,35625,2645,17817478.0,12.649999999999977,-4.300000000000011,1043971.0,93.81
500228,JSWSL       ,412.95,424.9,409.35,421.65,415.41657949306335,809687,6203,336357404.0,15.549999999999955,8.699999999999989,1856.0,9.02
500231,UMANG DAIR  ,58.3,60.25,58.0,58.95,59.2289069295448,6898,179,408561.0,2.25,0.6500000000000057,81660.0,17.54
500233,KAJARIA CER.,949.8,960.0,930.2,944.95,944.0223166473932,632129,609,596743883.0,29.799999999999955,-4.849999999999909,2685.0,91.79
500234,KAKATIYA CEM,174.4,174.95,170.55,174.0,173.32206441288258,4999,284,866437.0,4.399999999999977,-0.4000000000000057,1322.0,15.29
500235,KALYANI STEL,311.0,326.15,311.0,322.2,320.97142086815853,33381,1485,10714347.0,15.149999999999977,11.199999999999989,1301.0,38.93
500236,KANELIND    ,1.22,1.22,1.22,1.22,1.22,1000,2,1220.0,0.0,0.0,15364.0,58.33
500238,WHIRLPOOL   ,2436.0,2436.0,2403.5,2423.15,2417.4390584945236,4291,396,10373231.0,32.5,-12.849999999999909,2838.0,51.51
500239,KG DENIM    ,28.95,28.95,27.0,27.8,27.903609056265413,4461,40,124478.0,1.9499999999999993,-1.1499999999999986,4359.0,97.91
500240,KINETIC ENG.,43.95,44.45,41.65,44.1,43.69147961520843,8732,89,381514.0,2.8000000000000043,0.14999999999999858,2925.0,100.0
500241,KIRL.BROS.  ,157.25,158.05,155.45,156.1,156.65312,3125,87,489541.0,2.6000000000000227,-1.1500000000000057,2556.0,36.27
500243,KIRL INDUS  ,1291.05,1305.35,1260.55,1277.55,1282.8154506437768,233,121,298896.0,44.799999999999955,-13.5,224.0,46.76
500245,KIRL.FERROUS,153.9,159.85,151.65,157.15,155.9738929279577,21182,558,3303839.0,8.199999999999989,3.25,5914.0,48.83
500246,ENVAIN ELECT,32.0,32.0,32.0,32.0,32.0,100,1,3200.0,0.0,0.0,82988.0,45.92
500247,KOTAK MAH.BK,1935.0,1964.95,1886.9,1895.35,1917.744370223142,195212,10881,374366714.0,78.04999999999995,-39.65000000000009,1000.0,100.0
500249,KSB         ,709.9,715.8,684.95,709.2,704.0106693507801,9935,1142,6994346.0,30.84999999999991,-0.6999999999999318,9250.0,24.8
500250,L.G.BALKRISH,318.6,319.25,309.0,312.5,315.50646627053476,2861,181,902664.0,10.25,-6.100000000000023,5960.0,69.9
500251,TRENT LTD.  ,792.0,824.9,787.6,819.05,805.9285252102932,20091,1216,16191910.0,37.299999999999955,27.049999999999955,73635.0,72.15
500252,LAXMIMACH   ,6750.05,6859.7,6521.95,6573.1,6651.920712968654,1627,638,10822675.0,337.75,-176.94999999999982,1064.0,60.11
500253,LIC HOUS.FIN,446.0,455.75,444.6,451.4,451.1593496677783,197007,2995,88881550.0,11.149999999999977,5.399999999999977,157048.0,41.34
500257,LUPIN LTD.  ,1030.0,1040.05,1009.0,1023.45,1029.1511524167638,182703,4887,188029003.0,31.049999999999955,-6.5499999999999545,191584.0,47.72
500259,LYKA LABS   ,30.5,31.45,30.1,31.1,30.82877242803666,15494,42,477661.0,1.3499999999999979,0.6000000000000014,7345.0,100.0
500260,RAMCOCEM    ,985.0,990.0,962.35,984.0,976.6116126275306,18721,982,18283146.0,27.649999999999977,-1.0,14003.0,17.35
500264,MAFATLAL IND,95.7,95.7,92.35,93.15,93.45663474692202,3655,37,341584.0,3.3500000000000085,-2.549999999999997,1263.0,48.63
500265,MAH.SEAMLESS,287.75,291.55,282.8,285.45,286.4083918932682,9819,469,2812244.0,8.75,-2.3000000000000114,1309.0,36.79
500266,MAH.SCOOTER ,3769.0,3800.0,3732.05,3745.75,3752.363321799308,867,172,3253299.0,67.94999999999982,-23.25,417.0,83.57
500267,MAJESTIC AUT,112.9,112.9,107.6,109.35,109.6067415730337,4628,51,507260.0,5.300000000000011,-3.5500000000000114,5531.0,61.75
500268,MANALI PETRO,61.0,63.0,58.55,59.7,60.69507854765532,953052,5179,57845566.0,4.450000000000003,-1.2999999999999972,157325.0,21.97
500271,MFSL        ,899.3,938.65,885.8,889.15,914.5529396303284,319581,8107,292273743.0,52.85000000000002,-10.149999999999977,12058.0,11.99
500277,MID INDIA IN,1.9,1.92,1.9,1.92,1.918751839858699,3397,3,6518.0,0.020000000000000018,0.020000000000000018,100.0,100.0
500279,MIRC ELECT  ,14.75,14.85,13.75,14.1,14.053144994930248,85803,276,1205802.0,1.0999999999999996,-0.6500000000000004,61981.0,100.0
500280,CENTURY ENKA,251.8,256.65,250.4,253.8,252.78460251046025,5975,267,1510388.0,6.249999999999972,2.0,1274.0,44.22
500284,LORDS CHLORO,31.4,32.8,30.0,32.2,30.914327917282126,677,10,20929.0,2.799999999999997,0.8000000000000043,5865.0,99.66
500285,SPICEJET LTD,84.05,86.7,84.05,85.05,85.14274848544484,564027,4320,48022809.0,2.6500000000000057,1.0,300143.0,50.55
500288,MOREPEN LAB.,29.4,30.15,29.2,29.65,29.639232078931283,183248,593,5431330.0,0.9499999999999993,0.25,69918.0,69.08
500290,MRF LTD.    ,88300.0,88677.0,87449.75,87673.15,87993.93150684932,949,674,83506241.0,1227.25,-626.8500000000058,608.0,24.38
500292,HEIDEL CEM  ,238.9,238.9,231.8,233.25,233.71653821262575,16997,542,3972480.0,7.099999999999994,-5.650000000000006,10349.0,21.63
500294,NCC         ,90.9,91.9,90.0,91.05,91.01961653587898,309025,2533,28127337.0,1.9000000000000057,0.14999999999999147,101905.0,38.82
500295,VEDL        ,207.4,210.85,205.55,207.95,206.56831335628704,1326439,6190,274000267.0,5.299999999999983,0.549999999999983,203627.0,14.46
500296,NAHAR SPG.  ,85.0,85.4,81.0,83.15,83.7838871623237,8366,132,700936.0,4.400000000000006,-1.8499999999999943,4549.0,58.48
500298,NAT.PEROXIDE,1860.25,1894.35,1855.0,1864.15,1871.984375,2880,389,5391315.0,39.34999999999991,3.900000000000091,2556.0,63.03
500300,GRASIM IND. ,1256.15,1288.7,1255.0,1271.85,1263.3547446821262,316997,3139,400479664.0,33.700000000000045,15.699999999999818,124141.0,55.13
500302,PEL         ,1870.0,1963.65,1869.15,1950.4,1940.0687502690603,116145,6107,225329285.0,94.5,80.40000000000009,22003.0,15.77
500304,NIIT LTD.   ,197.9,198.7,196.0,198.05,197.7008804190349,8973,148,1773970.0,2.6999999999999886,0.15000000000000568,3384.0,66.86
500306,JAYKAY      ,24.9,24.9,24.75,24.9,24.899863582846532,706656,351,17595638.0,0.14999999999999858,0.0,318560.0,100.0
500307,NIRLON      ,282.0,288.9,282.0,283.95,283.1709633649932,2211,44,626091.0,6.899999999999977,1.9499999999999886,6176.0,74.28
500312,ONGC CORPN  ,115.6,120.5,115.4,119.0,117.46863227811119,6220965,35784,730768250.0,5.099999999999994,3.4000000000000057,787824.0,22.54
500313,OIL COUNTRY ,4.28,4.44,4.28,4.43,4.384469696969697,528,4,2315.0,0.16000000000000014,0.14999999999999947,1400.0,100.0
500314,ORIENT HOTEL,23.25,23.35,23.0,23.2,23.139240506329113,1422,50,32904.0,0.3500000000000014,-0.05000000000000071,9439.0,99.43
500317,OSWAL AGRO. ,10.82,11.22,10.54,10.83,10.830813054941059,65998,206,714812.0,0.6800000000000015,0.009999999999999787,55974.0,94.67
500319,INDIAN SUCRO,24.0,24.8,22.15,23.1,22.938040759421003,24387,69,559390.0,2.650000000000002,-0.8999999999999986,5072.0,66.42
500325,RELIANCE    ,2078.0,2152.25,2071.0,2144.85,2095.398763670709,2401302,77372,5031685242.0,81.25,66.84999999999991,290913.0,32.23
500327,PILITA      ,14.46,14.92,14.0,14.1,14.435850659736106,40016,118,577665.0,0.9199999999999999,-0.3600000000000012,16171.0,62.91
500330,RAYMOND     ,382.3,391.9,376.45,378.85,383.81568251686826,125235,3266,48067157.0,15.449999999999989,-3.4499999999999886,48667.0,54.94
500331,PIDILITE    ,1725.0,1734.4,1697.05,1721.25,1711.0666004200637,44279,3307,75764318.0,37.350000000000136,-3.75,16299.0,36.32
500333,PIX TRANS   ,345.9,351.0,337.05,343.35,342.00744226770274,9137,154,3124922.0,13.949999999999989,-2.5499999999999545,7004.0,80.8
500335,BIRLA CORPN.,879.0,879.0,860.0,862.9,864.1880349832527,10748,551,9288293.0,19.0,-16.100000000000023,3047.0,24.37
500336,SURYA ROSHNI,354.3,355.0,345.15,347.55,350.37310766032095,30782,1386,10785185.0,9.850000000000023,-6.75,9002.0,51.31
500337,PRIME SECUR.,41.85,42.5,40.0,40.65,40.83644875004064,30761,293,1256170.0,2.5,-1.2000000000000028,1032.0,78.96
500338,PRSMJOHNSN  ,105.2,110.5,105.2,108.15,108.6206107961313,41978,552,4559676.0,5.299999999999997,2.950000000000003,18795.0,32.74
500339,RAIN        ,169.95,174.0,161.6,166.5,167.19185610820185,883386,8170,147694945.0,12.400000000000006,-3.4499999999999886,406962.0,28.4
500343,AMJLAND     ,25.3,25.75,25.25,25.25,25.333333333333332,114,4,2888.0,0.5,-0.05000000000000071,6140.0,96.09
500346,PUN.COMMUNI.,24.65,24.65,22.45,23.85,23.80316344463972,569,21,13544.0,2.1999999999999993,-0.7999999999999972,1640.0,75.72
500350,RSWM  LTD   ,159.85,161.15,158.0,160.1,160.0,227,27,36320.0,3.1500000000000057,0.25,410.0,93.61
500354,RAJSH.SUGAR ,16.0,16.3,15.9,16.0,16.149264442052385,2787,32,45008.0,0.40000000000000036,0.0,4587.0,68.4
500355,RALLIS INDIA,261.0,265.2,259.25,261.95,262.13029655210215,54729,1603,14346129.0,5.949999999999989,0.9499999999999886,26564.0,49.38
500356,RAMANEWS    ,14.81,14.81,14.4,14.55,14.69688722571866,41153,35,604821.0,0.41000000000000014,-0.2599999999999998,2537.0,67.94
500357,RAMA PAPER  ,13.95,13.95,13.75,13.75,13.849514563106796,206,5,2853.0,0.1999999999999993,-0.1999999999999993,1654.0,100.0
