Date,Open,High,Low,Close,% Return,% YTD
2007-01-02,5269.98,5328.4,5269.01,5318.06,,264.85034016163786
2007-01-03,5326.74,5354.9,5306.09,5348.41,0.5706968330556617,262.77996638253234
2007-01-04,5358.1,5369.9,5311.66,5319.7,-0.5367950475000938,264.73786115758406
2007-01-05,5298.85,5363.28,5294.2,5311.68,-0.15076038122450175,265.2885716006988
2007-01-08,5312.75,5312.75,5231.1,5247.25,-1.2129872281462784,269.773881557006
2007-01-09,5248.39,5291.59,5190.16,5214.31,-0.6277573967316097,272.1098285295657
2007-01-10,5211.76,5216.02,5135.19,5142.8,-1.3714182701066946,277.2839698218869
2007-01-11,5140.77,5250.57,5132.87,5240.28,1.895465505172278,270.2657109925424
2007-01-12,5269.13,5376.32,5269.13,5371.94,2.512461166197233,261.190929161532
2007-01-15,5393.44,5436.43,5393.44,5418.92,0.8745443917839824,258.05953953924393
2007-01-16,5430.15,5450.25,5405.33,5423.56,0.08562591807961262,257.75321006866335
2007-01-17,5432.81,5462.93,5426.25,5444.55,0.3870151708471825,256.3739886675666
2007-01-18,5456.33,5510.76,5435.33,5463.9,0.35540127283244516,255.11191639671296
2007-01-19,5484.06,5499.41,5405.57,5439.81,-0.4408938670180551,256.68451655480607
2007-01-22,5451.55,5468.07,5417.02,5450.28,0.1924699575904132,255.99932480533113
2007-01-23,5455.79,5455.79,5380.23,5386.6,-1.1683803400926118,260.2079233653881
2007-01-24,5396.42,5432.87,5390.55,5415.21,0.5311328110496394,258.3048487500946
2007-01-25,5429.94,5485.31,5426.57,5478.94,1.1768703337451392,254.13711411331388
2007-01-29,5488.14,5498.39,5451.48,5459.54,-0.3540830890646718,255.39550951179035
2007-01-31,5472.09,5479.69,5396.26,5408.71,-0.9310308194463213,258.73544708442495
2007-02-01,5425.12,5469.73,5410.42,5467.41,1.085286510092054,254.88393956187662
2007-02-02,5476.68,5539.0,5476.68,5517.89,0.9232890893494439,251.637310638668
2007-02-05,5528.59,5560.23,5511.2,5557.04,0.7095103381908663,249.15998445215436
2007-02-06,5567.4,5583.09,5543.29,5551.89,-0.0926752371766204,249.48386945706775
2007-02-07,5562.46,5602.38,5558.02,5595.7,0.7891006486079322,246.74768125524955
2007-02-08,5611.18,5616.06,5554.47,5592.49,-0.057365477062742976,246.9467088899578
2007-02-09,5602.14,5616.67,5511.35,5526.8,-1.1746109514724101,251.0704204964898
2007-02-12,5515.29,5515.29,5332.17,5346.76,-3.2575812405008286,262.891919592426
2007-02-13,5339.41,5419.96,5263.91,5310.42,-0.6796639460159071,265.37524338941176
2007-02-14,5277.34,5300.42,5189.66,5289.1,-0.4014748362653031,266.84804598135787
2007-02-15,5321.13,5432.09,5321.13,5428.32,2.6322058573292173,257.4395024611666
2007-02-19,5446.88,5477.68,5429.71,5439.33,0.20282518348218037,256.71599259467615
2007-02-20,5451.98,5460.32,5373.34,5381.43,-1.0644693372161562,260.5539791468066
2007-02-21,5370.07,5409.22,5353.02,5366.5,-0.2774355515169802,261.55706698965804
2007-02-22,5370.76,5401.33,5287.07,5301.6,-1.209354327774148,265.98309944167795
2007-02-23,5311.27,5316.87,5133.85,5156.73,-2.732571299230435,276.2648034704164
2007-02-26,5172.81,5191.84,5080.8,5171.63,0.28894279902187403,275.18074572233513
2007-02-27,5189.1,5206.5,5114.02,5132.97,-0.7475399438861552,278.0064952649246
2007-02-28,5007.98,5071.37,4878.86,4938.08,-3.7968271780275398,292.9251854971973
2007-03-01,4955.28,5002.06,4891.33,4993.21,1.11642581732172,288.58690101157373
2007-03-02,4992.87,5040.15,4888.96,4906.68,-1.7329533506501793,295.4396863052002
2007-03-05,4839.07,4839.07,4666.0,4696.06,-4.2925155094687195,313.17530014522805
2007-03-06,4747.19,4812.56,4678.29,4777.18,1.7274055271866207,306.1592822543844
2007-03-07,4811.1,4850.42,4656.9,4718.41,-1.2302236884521922,311.21818578716136
2007-03-08,4739.46,4903.35,4703.66,4885.37,3.538480123600962,297.16459551681857
2007-03-09,4906.26,4920.3,4802.36,4837.54,-0.9790455994121205,301.091463843193
2007-03-12,4847.89,4908.29,4838.11,4864.29,0.5529670038904033,298.885757222534
2007-03-13,4873.58,4916.63,4853.97,4913.61,1.0139198115243886,294.8819706895745
2007-03-14,4827.19,4827.19,4749.62,4768.32,-2.9568891303949685,306.9139655056707
2007-03-15,4808.62,4867.6,4768.68,4780.58,0.2571136165357979,305.8704173970522
2007-03-16,4793.05,4813.8,4693.63,4735.6,-0.9408900175292501,309.72548357124754
2007-03-19,4752.0,4807.56,4740.1,4805.25,1.4707745586620469,303.78669163935274
2007-03-20,4835.38,4868.23,4824.02,4838.25,0.6867488684251688,301.03260476411924
2007-03-21,4845.18,4908.23,4825.65,4902.98,1.3378804319743587,295.7381021338044
2007-03-22,4941.88,5018.94,4941.88,5014.8,2.280653806460564,286.9139347531307
2007-03-23,5029.52,5046.53,4982.62,5014.09,-0.014158092047544812,286.9687221410066
2007-03-26,5033.8,5034.83,4959.83,4967.79,-0.923397864816955,290.5752859923628
2007-03-28,4945.41,4945.41,4874.27,4882.38,-1.7192755732428289,297.4078215952056
2007-03-29,4878.88,4918.8,4864.25,4911.9,0.6046231551005699,295.0194425782284
2007-03-30,4926.0,4965.79,4925.34,4955.39,0.8854007614161663,291.55263258794963
2007-04-02,4877.65,4877.65,4732.42,4743.31,-4.279784234944173,309.05949642760004
2007-04-03,4756.1,4801.19,4741.12,4789.98,0.9839120782744404,305.07392515208835
2007-04-04,4810.85,4867.21,4810.85,4842.24,1.0910275199478958,300.7021543748348
2007-04-05,4847.32,4896.25,4820.36,4879.68,0.7731958762886793,297.62771329267485
2007-04-09,4897.12,5002.86,4897.12,4997.61,2.416756836513856,288.24478100532053
2007-04-10,5013.91,5029.99,4979.38,5018.84,0.4248030558607008,286.6024818483952
2007-04-11,5033.24,5065.43,5019.52,5028.95,0.20144097042342768,285.8252716769902
2007-04-12,5010.66,5027.82,4976.19,5002.81,-0.519790413505794,287.8412332269264
2007-04-13,5018.06,5105.07,5013.85,5098.8,1.918721678416735,280.53973483957003
2007-04-16,5132.66,5206.22,5132.66,5204.65,2.075978661645861,272.8004764969787
2007-04-17,5217.05,5228.18,5163.59,5172.28,-0.6219438386827147,275.1335967890369
