Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime
2021-04-06,30102.05,30467.9,30016.55,30132.95,30254.850804485617,2051,1184,62052699.0,1022,49.83,451.35,30.9,1617647400.0
2021-04-05,29800.0,30620.6,29633.55,30372.35,30173.670820003368,5939,2687,179201431.0,2649,44.6,987.05,572.35,1617561000.0
2021-04-01,29350.0,30248.35,29350.0,29977.75,29843.094285714284,2100,874,62670498.0,597,28.43,898.35,627.75,1617215400.0
2021-03-31,28622.0,29670.55,28622.0,29475.4,29366.323202054795,2336,817,68599731.0,865,37.03,1048.55,853.4,1617129000.0
2021-03-30,28525.0,29500.0,28525.0,29105.8,29054.671867136385,1987,720,57731633.0,251,12.63,975.0,580.8,1617042600.0
2021-03-26,27850.0,28275.1,27800.0,28090.5,28078.217871485944,996,456,27965905.0,156,15.66,475.1,240.5,1616697000.0
2021-03-25,27803.0,28100.05,27266.0,27558.75,27708.414408460012,1513,517,41922831.0,104,6.87,834.05,-244.25,1616610600.0
2021-03-24,27960.0,28370.9,27746.6,27787.25,28013.07290686736,2126,947,59555793.0,785,36.92,624.3,-172.75,1616524200.0
2021-03-23,27199.95,28459.05,26892.75,28303.65,27859.57663817664,3510,1425,97787114.0,971,27.66,1566.3,1103.7,1616437800.0
2021-03-22,27099.95,27199.0,26625.0,26956.3,26876.99300699301,858,429,23060460.0,182,21.21,574.0,-143.65,1616351400.0
2021-03-19,26052.05,27102.6,26052.05,26952.0,26485.926530612243,980,457,25956208.0,107,10.92,1050.55,899.95,1616092200.0
2021-03-18,27399.95,27399.95,26447.5,26573.25,26758.045133991534,709,277,18971454.0,123,17.35,952.45,-826.7,1616005800.0
2021-03-17,27800.0,27800.0,26729.15,26817.35,27084.97524752475,1010,412,27355825.0,253,25.05,1070.85,-982.65,1615919400.0
2021-03-16,27653.0,27921.25,27370.0,27436.2,27597.499448732084,907,374,25030932.0,106,11.69,551.25,-216.8,1615833000.0
2021-03-15,27839.95,27850.0,27004.15,27634.95,27423.475,1160,519,31811231.0,169,14.57,845.85,-205.0,1615746600.0
