Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime
2021-04-07,1191.55,1212.4,1186.45,1200.5,1201.617850098619,2028,339,2436881.0,792,39.05,25.95,8.95,1617733800.0
2021-04-06,1195.0,1199.0,1173.0,1176.4,1185.9072966507176,1672,346,1982837.0,505,30.2,26.0,-18.6,1617647400.0
2021-04-05,1159.3,1194.0,1137.65,1181.9,1168.6311229205176,8656,1236,10115671.0,4706,54.37,56.35,22.6,1617561000.0
2021-04-01,1125.95,1149.0,1125.95,1145.35,1136.5239890335847,5836,628,6632754.0,2868,49.14,23.05,19.4,1617215400.0
2021-03-31,1124.2,1142.7,1104.75,1110.75,1126.2425925925925,4320,524,4865368.0,2163,50.07,37.95,-13.45,1617129000.0
2021-03-30,1120.75,1129.8,1110.0,1119.3,1118.8143013100437,9160,1052,10248339.0,5375,58.68,19.8,-1.45,1617042600.0
2021-03-26,1133.9,1138.0,1105.85,1111.85,1122.5273464820255,7149,1001,8024948.0,3887,54.37,32.15,-22.05,1616697000.0
2021-03-25,1150.0,1150.0,1110.0,1117.9,1124.9607097591888,6312,742,7100752.0,2902,45.98,40.0,-32.1,1616610600.0
2021-03-24,1164.0,1171.45,1145.6,1149.9,1156.8587775607032,3583,518,4145025.0,1351,37.71,25.85,-14.1,1616524200.0
2021-03-23,1165.0,1184.9,1155.2,1163.75,1172.6315858625671,7611,653,8924899.0,2332,30.64,29.7,-1.25,1616437800.0
2021-03-22,1174.35,1184.0,1158.25,1172.75,1176.31732801127,8518,515,10019871.0,5904,69.31,25.75,-1.6,1616351400.0
2021-03-19,1146.0,1184.9,1129.05,1171.15,1151.6250319938572,7814,1089,8998798.0,2655,33.98,55.85,25.15,1616092200.0
2021-03-18,1186.8,1218.0,1153.0,1162.7,1195.5090660592257,10975,752,13120712.0,1885,17.18,65.0,-24.1,1616005800.0
2021-03-17,1184.4,1192.0,1168.0,1172.7,1180.5799352750807,3090,406,3647992.0,1344,43.5,24.0,-11.7,1615919400.0
2021-03-16,1178.0,1197.0,1173.65,1178.0,1181.1898157731318,4831,493,5706328.0,1597,33.06,23.35,0.0,1615833000.0
2021-03-15,1192.5,1192.5,1158.15,1163.0,1167.62371445856,3306,381,3860164.0,1149,34.75,34.35,-29.5,1615746600.0
