Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Upper Band,Lower Band,Band Area,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price
2007-08-01,495.0,496.0,471.3,475.7,477.06139767289017,497527,9906,237350926.0,290503.0,58.39,24.7,-19.3,1185906600.0,4.89,-2.827412234601634,5815.85,-4.079528961604428,0.35826911528437805,-9.459743535841913,242.4113414204287,-99.44630438769761,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,90.7824427480916,475.7,475.7,0.0,480.0,480.0,460.25,462.25
2007-08-02,480.0,480.0,460.25,462.25,468.9280470671623,474046,7583,222293465.0,251113.0,52.97,19.75,-17.75,1185993000.0,4.89,-2.827412234601634,5844.15,0.4866012706654877,0.35747629331252906,-6.825310978907517,240.753231864343,-96.03082483448645,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,88.21564885496183,475.7,462.25,13.449999999999989,469.0,472.0,463.55,470.25
2007-08-03,469.0,472.0,463.55,470.25,467.72722846396357,164306,4557,76850390.0,70056.0,42.64,8.45,1.25,1186079400.0,4.85,1.7306652244456489,5915.94,1.228407895074568,0.3576292595946863,-8.410419989367357,236.6181874731657,-96.14750527299805,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,89.74236641221374,475.7,462.25,13.449999999999989,461.3,468.0,455.05,457.85
2007-08-06,461.3,468.0,455.05,457.85,457.6568045741409,259546,5630,118782993.0,145991.0,56.25,12.95,-3.45,1186338600.0,4.88,-2.6368952684742153,5834.34,-1.3793243339181862,0.35760893835551166,-5.92988970186743,241.32618256735125,-95.3651580279914,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,87.37595419847328,475.7,457.85,17.849999999999966,465.0,479.8,457.0,459.3
2007-08-07,465.0,479.8,457.0,459.3,465.1187807758294,359048,7617,166999968.0,181161.0,50.46,22.8,-5.7,1186425000.0,4.94,0.31669760838701766,5858.5,0.4140999667485934,0.357637511090139,-6.22686697147834,239.91857984125636,-95.20402142540078,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,87.6526717557252,475.7,457.85,17.849999999999966,467.35,483.75,467.35,476.25
2007-08-08,467.35,483.75,467.35,476.25,478.2634922338746,465805,10697,222777526.0,193664.0,41.58,16.4,8.9,1186511400.0,4.95,3.690398432397113,5987.59,2.2034650507809284,0.35763153177983953,-9.564304461942264,232.59007380264848,-95.92557275045917,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,90.88740458015266,476.25,457.85,18.399999999999977,483.1,485.0,476.0,478.0
2007-08-09,483.1,485.0,476.0,478.0,481.2612357531493,959949,6294,461986242.0,771670.0,80.39,9.0,-5.1,1186597800.0,4.81,0.3674540682414795,5897.26,-1.5086203297152934,0.3576396297707704,-9.895397489539748,237.68445006664112,-97.99052959444504,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,91.22137404580153,478.0,457.85,20.149999999999977,469.0,482.9,455.0,480.25
2007-08-10,469.0,482.9,455.0,480.25,468.9220183149646,272564,6506,127811261.0,126820.0,46.53,27.9,11.25,1186684200.0,4.57,0.4707112970711247,5815.0,-1.3948850822246284,0.3575058721638798,-10.317542946382098,242.46139294926917,-99.93511286299082,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,91.65076335877862,480.25,457.85,22.399999999999977,480.0,489.0,474.5,480.35
2007-08-13,480.0,489.0,474.5,480.35,480.49183995454524,197119,3727,94714071.0,94408.0,47.89,14.5,0.35,1186943400.0,4.74,0.020822488287364216,5873.17,1.0003439380911416,0.3573928630098103,-10.336213177891128,239.06953144553964,-98.82391530895991,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,91.66984732824427,480.35,457.85,22.5,484.0,488.0,476.25,481.15
2007-08-14,484.0,488.0,476.25,481.15,480.83373854812527,118867,2666,57155264.0,55994.0,47.11,11.75,-2.85,1187029800.0,4.64,0.16654522743830835,5867.47,-0.09705150710774824,0.35734152022269894,-10.485295645848492,239.39892321562786,-99.0144061535648,0.0,41500.0,41500.0,-2113.0,7603.0,5.24,2007,96321.0,96321.0,-4732.0,16314.0,11.23,197417.0,197417.0,-9978.0,30299.0,20.85,415833.0,415833.0,-21256.0,70350.0,48.36000000000001,91.82251908396945,481.15,457.85,23.299999999999955,469.0,474.9,462.0,469.35
