Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime
2021-04-07,17080.0,17863.85,17050.0,17420.65,17455.52535295287,5029,1650,87783837.0,1514,30.11,813.85,340.65,1617733800.0
2021-04-06,16935.5,17111.0,16820.0,17078.3,17011.22901554404,2895,1176,49247508.0,1365,47.15,291.0,142.8,1617647400.0
2021-04-05,17125.0,17149.6,16721.8,16909.2,16917.05264349598,8833,2384,149428326.0,6323,71.58,427.8,-215.8,1617561000.0
2021-04-01,17105.0,17143.05,16968.9,17102.15,17072.497749015194,3554,1144,60675657.0,1041,29.29,174.15,-2.85,1617215400.0
2021-03-31,17135.0,17261.45,16952.8,17170.25,17166.195961995247,5052,1412,86723622.0,3001,59.4,308.65,35.25,1617129000.0
2021-03-30,16570.0,17218.0,16570.0,17114.05,16984.081882533,5227,1789,88775796.0,2034,38.91,648.0,544.05,1617042600.0
2021-03-26,16398.0,16600.05,16250.5,16568.3,16454.940673828125,4096,1393,67399437.0,2282,55.71,349.55,170.3,1616697000.0
2021-03-25,16493.0,16583.0,16116.0,16173.85,16329.646695197336,4206,1515,68682494.0,1394,33.14,467.0,-319.15,1616610600.0
2021-03-24,16600.0,16762.45,16409.0,16452.6,16593.074392339797,4073,1225,67583592.0,2104,51.66,353.45,-147.4,1616524200.0
2021-03-23,16599.0,16747.7,16498.9,16693.6,16693.27903323263,8275,2124,138136884.0,5436,65.69,248.8,94.6,1616437800.0
2021-03-22,16415.0,16672.65,16350.05,16594.25,16505.434017595308,2728,888,45026824.0,1481,54.29,322.6,179.25,1616351400.0
2021-03-19,16202.0,16590.1,16075.15,16444.35,16409.4863593603,6378,2122,104659704.0,3191,50.03,514.95,242.35,1616092200.0
2021-03-18,16458.0,16625.0,16172.75,16202.7,16346.306188268494,4961,2102,81094025.0,2356,47.49,452.25,-255.3,1616005800.0
2021-03-17,16749.0,16749.35,16350.0,16458.1,16447.173572996708,7288,2195,119867001.0,4008,54.99,399.35,-290.9,1615919400.0
2021-03-16,16850.05,17031.0,16690.0,16749.25,16811.859125188537,3315,1339,55731313.0,1621,48.9,341.0,-100.8,1615833000.0
2021-03-15,16767.0,16860.0,16596.0,16831.25,16761.09337701849,4273,1582,71620152.0,2134,49.94,264.0,64.25,1615746600.0
