Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2020-04-08,4778.05,INVEST,0,20.0,0.0
2020-04-09,5210.2,EXIT,104204.0,0.0,0.04204
2020-05-29,4635.9,INVEST,0,22.0,0.0
2020-06-24,5310.1,EXIT,116822.20000000001,0.0,0.1210913208706001
2020-06-25,5145.95,INVEST,0,22.0,0.0
2020-06-26,5652.05,EXIT,124345.1,0.0,0.06439615073162458
2020-07-30,5343.8,INVEST,0,23.0,0.0
2020-07-31,5804.7,EXIT,133508.1,0.0,0.0736900770516892
2021-02-09,5919.55,INVEST,0,22.0,0.0
2021-02-24,7024.45,EXIT,154537.9,0.0,0.15751703454696747
