Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Laurus Labs Ltd.,540222,180,1.2835452033519552,-1.1032196276641217,1.2835452033519552,-0.13248705798005825 to 1.2835452033519552
Alok Industries Ltd.,521070,180,0.5264102701050575,-1.1838871603652499,0.1421524808105868,-0.0968000897567232 to 0.6012407959246624
HEG Ltd.,509631,180,0.3653277911471322,-3.665421049491216,0.3653277911471322,-0.9737523844876969 to 0.3653277911471322
Advanced Enzyme Technologies Ltd.,540025,180,0.3594857660098522,-0.5871888792198756,0.3594857660098522,0.14839972197102863 to 0.3594857660098522
Endurance Technologies Ltd.,540153,180,0.337969835978836,-0.4542778992779221,0.2703887435573785,0.18443760887106647 to 0.4293530752894467
Dalmia Bharat Ltd.,542216,180,0.2620437209302326,-0.7653133261448607,0.2620437209302326,0.06149816926974064 to 0.2620437209302326
L&T Technology Services Ltd.,540115,180,0.24409466752577313,-0.3329517985866957,0.10612068475408525,0.16282290894764548 to 0.2699981607884289
Tube Investments Of India Ltd.,540762,180,0.22935049999999996,-0.42546514824658505,0.037078462554208734,0.13176985551707157 to 0.23785446392603898
Equitas Holdings Ltd.,539844,180,0.22324055232636378,-0.12529162308181138,0.3700302761844694,0.19527038118771362 to 0.30584631555926167
TCI Express Ltd.,540212,180,0.21819005027932956,-0.5346905453594113,0.21819005027932956,0.10152589330347747 to 0.21819005027932956
PNC Infratech Ltd.,539150,180,0.2156697588028169,-0.30414695195600655,0.17377666455162719,0.15007445903385305 to 0.25314813013222437
RBL Bank Ltd.,540065,180,0.21316567608795073,-0.20797759734934734,0.3844524605420575,0.1688319909378295 to 0.2951177447630746
TeamLease Services Ltd.,539658,180,0.2128915925925926,-0.2935505544700014,0.02478060829901894,0.1503971475450354 to 0.21816717575878397
Hindustan Aeronautics Ltd.,541154,180,0.20226931609195384,-0.007371660511782502,0.033685464488217375,0.20077825536177352 to 0.20908285195622536
Adani Green Energy Ltd.,541450,180,0.18873499999999996,0.18873499999999996,1.0798183028702304,0.18873499999999996 to 0.3925345073922129
India Tourism Devp. Corpn. Ltd.,532189,180,0.1884429109589041,-0.6473270314631581,0.17168787516334785,0.06645872080760049 to 0.2207962739310343
Indus Towers Ltd.,534816,180,0.17884963111199523,-0.18777493370788353,0.08699186309527142,0.1452661534862609 to 0.19440809373632972
Alkyl Amines Chemicals Ltd.,506767,180,0.17764011866666665,-0.32723069250094483,0.10302470105338002,0.11951081961942331 to 0.19594143878738693
IRB Infrastructure Developers Ltd.,532947,180,0.17264060155239327,-0.6986333692097244,0.21277018173032664,0.052028116427451185 to 0.2093733737187289
Minda Industries Ltd.,532539,180,0.1656363424744898,-0.3259917259317618,0.24410488850868514,0.1116402653142065 to 0.20606898338721152
Sheela Foam Ltd.,540203,180,0.1556682164519818,-0.25557066512403614,0.15802966620765635,0.11588398683467639 to 0.1802684127370297
Edelweiss Financial Services Ltd.,532922,180,0.14409890721649485,-0.4685851868664732,0.06311243655680208,0.07657629385119902 to 0.15319334035610038
Dish TV India Ltd.,532839,180,0.1399374976010101,-0.7582050813353309,0.39579697367017275,0.03383617585057356 to 0.19532433565446694
Phillips Carbon Black Ltd.,506590,180,0.13660330049813202,-0.33052283547069816,0.17373605757926772,0.0914527902828336 to 0.16033621937899348
Larsen & Toubro Infotech Ltd.,540005,180,0.13228324759615384,-0.24920393210720723,0.021036538684807416,0.09931774214328103 to 0.1350660292515623
Procter & Gamble Health Ltd.,500126,180,0.12726372096195962,-0.19203889694203335,0.15282075689201072,0.10282413636768617 to 0.14671225912425995
Adani Enterprises Ltd.,512599,180,0.12691904393564357,-0.5068202858841356,0.0919009428879772,0.06259389780403952 to 0.13858302374376982
Narayana Hrudayalaya Ltd.,539551,180,0.12142412096774192,-0.21834614941071698,0.04222475434194288,0.09491163170885437 to 0.1265512246467912
Lemon Tree Hotels Ltd.,541233,180,0.12129096774193547,-0.1230712807882001,0.12129096774193547,0.10636353299389521 to 0.12129096774193547
Varroc Engineering Pvt Ltd.,541578,180,0.1211805882352941,-0.09524334960785077,0.1211805882352941,0.10963894310431498 to 0.1211805882352941
Tata Chemicals Ltd.,500770,180,0.11967112592592594,-0.38298184072904023,0.25767481114298807,0.07383925783669806 to 0.15050736069815765
Welspun India Ltd.,514162,180,0.10235293544303797,-0.661257758359669,0.13512372505491735,0.03467126279044276 to 0.11618324535040674
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670,180,0.10092694444444443,-0.28046110891904635,0.07106588077246544,0.07262086168574457 to 0.10809940664506255
Jubilant FoodWorks Ltd.,533155,180,0.09797828736517718,-0.3069629694957157,0.09563624344935436,0.06790258132945783 to 0.10734856270838405
Trident Ltd.,521064,180,0.0967817057449495,-0.41615520643518666,0.19019729454449014,0.05650549501151055 to 0.11518932433903983
Aavas Financiers Ltd.,541988,180,0.09404750000000003,0.09404750000000003,0.24190159731309513,0.09404750000000003 to 0.11679774047330335
Prism Johnson Ltd.,500338,180,0.09325767353308363,-0.4709643970637849,0.14349425571399277,0.04933662954600361 to 0.10663961398633198
Schneider Electric Infrastructure Ltd.,534139,180,0.09246000798403195,-0.13123178144358452,0.09639772314952232,0.08032631642399939 to 0.10137294223607929
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,500645,180,0.0916872645962733,-0.36989544811756536,0.2589210142553003,0.057772562771761 to 0.11542702413983447
V-Mart Retail Ltd.,534976,180,0.09051745734597154,0.09051745734597154,0.433783102816321,0.09051745734597154 to 0.12978240085255108
Atul Ltd.,500027,180,0.0890977332920792,-0.1290453470534103,0.0930234162200246,0.07760008537773065 to 0.09738590882036903
Dishman Carbogen Amcis Ltd.,540701,180,0.0877731382113821,-0.283341722732637,0.0877731382113821,0.06290334602091925 to 0.0877731382113821
Indian Energy Exchange Ltd.,540750,180,0.08774688288288292,0.08774688288288292,0.066293480570513,0.08774688288288292 to 0.0935639291584024
Sunteck Realty Ltd.,512179,180,0.07981112032418954,-0.31687819425436814,0.17867825699479897,0.05452071663444225 to 0.09407163219251789
Aegis Logistics Ltd.,500003,180,0.07689476827757123,-0.14085882070127492,0.29766931278347775,0.06606346189989475 to 0.09978398110740062
Ircon International Ltd.,541956,180,0.07570756249999996,-0.06476145626768423,0.10354296137937449,0.07080463050202325 to 0.08354654772006405
Tata Power Co. Ltd.,500400,180,0.07470138580246911,-0.23056021249040923,0.13929657707313545,0.0574782184185238 to 0.08510703314737278
Vakrangee Ltd.,511431,180,0.07380054268982118,-0.4872250297989819,0.4537898402246314,0.037843071078592014 to 0.10729047916552623
Varun Beverages Ltd.,540180,180,0.07215049456521738,0.07215049456521738,0.16244083707670748,0.07215049456521738 to 0.08387068129788973
NCC Ltd.,500294,180,0.07186626741293532,-0.19876607023253137,0.212309499673613,0.057581691856985945 to 0.0871241586907857
Canara Bank,532483,180,0.07154638936959208,-0.4535495444355523,0.14490124996990572,0.03909655706500495 to 0.08191355062007954
