Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Tata Power Co. Ltd.,500400,30,0.00740024613686534,-0.12831854152348607,0.11534129081734769,0.006450657345667968 to 0.008253800078657478
Axis Bank Ltd.,532215,30,0.007138131868131868,-0.10021220936596856,0.14352850538919446,0.006422803902880745 to 0.008162657266435813
ITC Ltd.,500875,30,0.0070008408839779,-0.08387172831190284,0.1331632269049193,0.006413668259402044 to 0.007933095447136284
Hindustan Unilever Ltd.,500696,30,0.006901607810781074,-0.1323720882308996,0.11822530358090211,0.005988027572717295 to 0.0077175524894069905
HEG Ltd.,509631,30,0.006877756666666666,-0.1256373335863456,0.11343669964035938,0.006013653658010953 to 0.0076579466838628115
CSB Bank Ltd.,542867,30,0.006858887323943657,0.006858887323943657,0.11639172894817694,0.006858887323943657 to 0.007657205078238193
Eicher Motors Ltd.,505200,30,0.00664595753575358,0.00664595753575358,2.791269627046314,0.00664595753575358 to 0.025196616947942115
Thermax Ltd.,500411,30,0.006103962555066076,0.006103962555066076,2.0836826961331014,0.006103962555066076 to 0.018822683708901652
Punjab National Bank,532461,30,0.0059889629834254145,-0.09153656113965107,0.13508157056653924,0.005440753907129987 to 0.006797961509291387
Housing & Urban Development Corpn. Ltd.,540530,30,0.005911919831223629,-0.0320720583136445,0.06352169168635541,0.005722312393651034 to 0.006287454980017067
Gujarat State Fertilizers & Chemicals Ltd.,500690,30,0.005842269102990032,-0.17913410011660727,0.142570154809133,0.0047957194845868545 to 0.006675202313439935
Edelweiss Financial Services Ltd.,532922,30,0.005527901262916188,-0.14929983347242332,0.15941414838657642,0.004702586524910802 to 0.006409126935109052
Indian Energy Exchange Ltd.,540750,30,0.005443924528301888,0.005443924528301888,0.08441503999548716,0.005443924528301888 to 0.0059034736350909054
MMTC Ltd.,513377,30,0.005414017857142856,-0.16676253322637302,0.04801784556150573,0.0045111625243528936 to 0.005673987330474375
Quess Corp Ltd.,539978,30,0.005167431438127089,0.005167431438127089,0.07444615914893868,0.005167431438127089 to 0.0055521268613611275
Kalpataru Power Transmission Ltd.,522287,30,0.0048975865490628444,-0.08921129899249196,0.05462182192097346,0.004460666491092793 to 0.0051651016493883106
Canara Bank,532483,30,0.0048291725663716836,-0.1287550232345577,0.18305055840204815,0.004207392340384809 to 0.005713155301265872
Union Bank of India,532477,30,0.004797577691453939,-0.12760457535397665,0.388004270599293,0.004185384827408248 to 0.006659058324269965
CARE Ratings Ltd.,534804,30,0.004784457995896527,-0.16665718320503295,0.18289707416241652,0.003987093703137615 to 0.005659521364798981
Poly Medicure Ltd.,531768,30,0.0047465708661417316,-0.022084124389210785,0.05616407506127731,0.004641747004711654 to 0.005013157628551388
Jindal Stainless Ltd.,532508,30,0.00471796321070234,-0.07904858739207245,0.08867381471510816,0.004345014883528553 to 0.005136323006280856
Prism Johnson Ltd.,500338,30,0.004613761984392419,-0.10323818665430923,0.14342262647700382,0.0041374455634691585 to 0.005275479846133733
Kajaria Ceramics Ltd.,500233,30,0.0045376148723640375,-0.043443928663096626,0.14414511096288485,0.004340483055548448 to 0.005191689871647788
NCC Ltd.,500294,30,0.004426080645161292,-0.08368797389704041,0.26322725915409956,0.004055670923662838 to 0.005591145722182108
Metropolis Healthcare Ltd.,542650,30,0.004152280701754385,-0.0309843518031465,0.0037916481968536,0.004023624975705811 to 0.004168024689390022
Container Corpn. Of India Ltd.,531344,30,0.004088527502750275,-0.05824381623112574,0.12003383151105365,0.003850396058224185 to 0.00457928912414371
Ircon International Ltd.,541956,30,0.004055385135135134,0.004055385135135134,0.11989949816890781,0.004055385135135134 to 0.004541623777719485
Indiabulls Housing Finance Ltd.,535789,30,0.004018944223107569,0.004018944223107569,0.37840460027458983,0.004018944223107569 to 0.00553973120537846
Larsen & Toubro Ltd.,500510,30,0.00400741758241758,0.00400741758241758,0.1471553461016682,0.00400741758241758 to 0.004597130503732149
NBCC India Ltd.,534309,30,0.0039792658119658115,-0.09934942506559126,0.24494719610406396,0.0035839280413638448 to 0.004953975815159598
KEC International Ltd.,532714,30,0.0038829889135254996,-0.0795968247707846,0.08725920494709917,0.003573915325388711 to 0.004221815438938135
Vodafone Idea Ltd.,532822,30,0.003874241317004749,-0.08760604801892592,0.12962851172518106,0.0035348343461503243 to 0.00437645345299228
Adani Enterprises Ltd.,512599,30,0.003859898230088495,-0.043253415421076816,0.10531932448098215,0.003692944448459398 to 0.004266420104246754
Bombay Dyeing & Mfg. Co. Ltd.,500020,30,0.0037544573991031404,-0.028259483679342702,0.1436520904295909,0.003648358371508398 to 0.004293793052913151
DCB Bank Ltd.,532772,30,0.0037247290969899655,0.0037247290969899655,0.1439959911538424,0.0037247290969899655 to 0.004261075155090592
APL Apollo Tubes Ltd.,533758,30,0.003699215754189945,-0.08951069402818271,0.09939208823776505,0.0033680963846724156 to 0.004066888532840923
Motilal Oswal Financial Services Ltd,532892,30,0.003664148148148147,0.003664148148148147,0.3809109016188835,0.003664148148148147 to 0.005059862122924421
Sheela Foam Ltd.,540203,30,0.003602534090909096,-0.100076847170156,0.1476892649219516,0.0032420038372679093 to 0.004134589702651732
Cadila Healthcare Ltd.,532321,30,0.0035606152149944867,-0.04100010636368205,0.1120720415487115,0.003414629612459568 to 0.003959660631308324
Natco Pharma Ltd.,524816,30,0.003518202762430938,-0.09639926372809379,0.16171510620258558,0.0031790506064864497 to 0.004087149295799688
Ipca Laboratories Ltd.,524494,30,0.003384893605292171,-0.05215893254044226,0.07385556283959548,0.0032083411680771624 to 0.0036348868276631714
Titan Company Ltd.,500114,30,0.0031600044101433287,-0.03717616885526723,0.09713623850102665,0.0030425275526084514 to 0.003466955352191307
Balrampur Chini Mills Ltd.,500038,30,0.0027782519466073405,-0.055043321962050376,0.04657921154612666,0.0026253277302185395 to 0.002907660731756802
REC Ltd.,532955,30,0.0027226635730858467,-0.02217731398357556,0.05491308601642438,0.002662282208153878 to 0.002872173432068495
TV Today Network Ltd.,532515,30,0.0027038560354374313,-0.2628388911455241,0.3865632493402469,0.0019931775132659237 to 0.0037490674102443624
Hero Motocorp Ltd.,500182,30,0.002659638461538459,0.002659638461538459,0.14829157271178725,0.002659638461538459 to 0.0030540404318447558
