Company,Average Returns,Days
513599-Hindustan Copper Ltd.,3.2688615000000003,180
509631-HEG Ltd.,1.9932260000000004,180
500770-Tata Chemicals Ltd.,1.638675,180
506401-Deepak Nitrite Ltd.,1.3779,180
511243-Cholamandalam Investment & Finance Co. Ltd.,1.3060205000000003,180
500048-BEML Ltd,1.130195,180
542752-Affle (India) Ltd.,1.0976595,180
532156-Vaibhav Global Ltd.,1.0736560000000002,180
500480-Cummins India Ltd.,0.9999125,180
524230-Rashtriya Chemicals & Fertilizers Ltd.,0.94376,180
500249-KSB Ltd.,0.9380270000000002,180
530007-JK Tyre & Industries Ltd.,0.937925,180
531768-Poly Medicure Ltd.,0.9039585000000001,180
532667-Suzlon Energy Ltd.,0.870715,180
532313-Mahindra Lifespace Developers Ltd.,0.8473025000000003,180
500233-Kajaria Ceramics Ltd.,0.7670564999999999,180
520051-Jamna Auto Inds. Ltd.,0.7630970000000001,180
505726-IFB Industries Ltd.,0.7482280000000002,180
500670-Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,0.6870619999999998,180
532929-Brigade Enterprises Ltd.,0.6684375,180
532155-GAIL (India) Ltd.,0.6657869999999998,180
535754-Orient Cement Ltd.,0.635135,180
532539-Minda Industries Ltd.,0.6338480000000002,180
532978-Bajaj Finserv Ltd.,0.6216809999999998,180
500106-IFCI Ltd.,0.6105438644090391,180
500645-Deepak Fertilisers & Petrochemicals Corpn. Ltd.,0.60944,180
513434-Tata Metaliks Ltd.,0.60728,180
511431-Vakrangee Ltd.,0.606659716775799,180
540203-Sheela Foam Ltd.,0.586196,180
532509-Suprajit Engineering Ltd.,0.57948,180
535648-Just Dial Ltd.,0.5794119999999998,180
532889-KPR Mills Ltd.,0.5753255000000002,180
500295-Vedanta Ltd.,0.5730160000000001,180
532927-eClerx Services Ltd,0.572579,180
500171-GHCL Ltd.,0.55754,180
532814-Indian Bank,0.5549179999999999,180
533096-Adani Power Ltd.,0.5478120000000001,180
532622-Gateway Distriparks Ltd.,0.5466925,180
500042-BASF India Ltd.,0.5464889999999999,180
506590-Phillips Carbon Black Ltd.,0.5275129999999999,180
500034-Bajaj Finance Ltd.,0.523025,180
541233-Lemon Tree Hotels Ltd.,0.5167040000000003,180
532885-Central Bank of India,0.5018025244591637,180
532659-IDFC Ltd.,0.4989835000000001,180
540047-Dilip Buildcon Ltd.,0.4982470000000001,180
500335-Birla Corporation Ltd.,0.497455,180
500285-Spicejet Ltd.,0.49480100000000005,180
532652-Karnataka Bank Ltd.,0.47917,180
517334-Motherson Sumi Systems Ltd.,0.47798,180
532832-Indiabulls Real Estate Ltd.,0.46382600000000007,180
540935-Galaxy Surfactants Ltd.,0.4598020000000001,180
513375-Carborundum Universal Ltd.,0.4538145000000001,180
500109-Mangalore Refinery & Petrochemicals Ltd.,0.45157600000000003,180
534976-V-Mart Retail Ltd.,0.44963,180
539118-VRL Logistics Ltd.,0.44509850000000006,180
532942-KNR Constructions Ltd.,0.4390798396239506,180
505790-Schaeffler India Ltd.,0.4338485000000001,180
532221-Sonata Software Ltd.,0.427375,180
511218-Shriram Transport Finance Co. Ltd.,0.42642718298379634,180
533655-Triveni Turbine Ltd.,0.42492,180
532498-Shriram City Union Finance Ltd.,0.42085299999999987,180
532189-India Tourism Devp. Corpn. Ltd.,0.4200779999999999,180
500408-Tata Elxsi Ltd.,0.4143920000000001,180
540222-Laurus Labs Ltd.,0.4111820000000001,180
532300-Wockhardt Ltd.,0.40849,180
532443-Cera Sanitaryware Ltd.,0.4029475,180
500031-Bajaj Electricals Ltd.,0.4028,180
534816-Indus Towers Ltd.,0.39104,180
534309-NBCC India Ltd.,0.3888,180
500002-ABB India Ltd.,0.38834599999999975,180
540025-Advanced Enzyme Technologies Ltd.,0.3859235000000001,180
524208-Aarti Industries Ltd.,0.379595,180
500271-Max Financial Services Ltd.,0.37919,180
500411-Thermax Ltd.,0.3745970000000001,180
530005-India Cements Ltd.,0.37347200000000014,180
524200-Vinati Organics Ltd.,0.3648125,180
503806-SRF Ltd.,0.3615470000000001,180
523395-3M India Ltd.,0.3611625,180
532175-Cyient Limited,0.3598909999999998,180
539957-Mahanagar Gas Ltd.,0.3591325,180
532209-Jammu & Kashmir Bank Ltd.,0.3525106494502947,180
523367-DCM Shriram Ltd.,0.35041399999999995,180
500110-Chennai Petroleum Corpn. Ltd.,0.3457604023668521,180
