Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Adani Green Energy Ltd.,541450,60,0.2631127426470588,-0.0305442536740019,1.2177871617191243,0.25507616029078467 to 0.5835280627273549
Varroc Engineering Pvt Ltd.,541578,60,0.22539816923076922,-0.24344974733552485,0.12612124988323573,0.17052504188164858 to 0.25382566805554696
Quess Corp Ltd.,539978,60,0.15864329963235296,-0.18989254696399419,0.3346720316086079,0.12851811940639338 to 0.21173677502140567
AU Small Finance Bank Ltd.,540611,60,0.1253545294117647,-0.3173938147525348,0.13640215885392942,0.08556777712525587 to 0.1424531578456478
Affle (India) Ltd.,542752,60,0.12491681896551722,-0.0707837680003066,0.43400005373964357,0.11607473583252575 to 0.179130725109537
Dilip Buildcon Ltd.,540047,60,0.12022455992509361,-0.16167206247141652,0.22871369085700555,0.10078760736228531 to 0.147721562757221
Lemon Tree Hotels Ltd.,541233,60,0.11107951923076922,-0.09825415258543127,0.13952472016508885,0.10016549519915288 to 0.1265778580675149
Tube Investments Of India Ltd.,540762,60,0.10454443539325842,-0.1360628749248564,0.061151800502550466,0.09031981895625577 to 0.11093751585007873
Chalet Hotel Ltd.,542399,60,0.10411306842105263,-0.11134019121899655,0.1919533837729421,0.09252109947465616 to 0.12409792419945752
Indian Railway Catering & Tourism Corpn. Ltd.,542830,60,0.08876266326530613,-0.07508133861504603,0.20320419588029404,0.08209824368831037 to 0.10679960887832599
Ircon International Ltd.,541956,60,0.07814630252100839,-0.025623456332013985,0.09649797592514166,0.07614392415085297 to 0.0856872625403195
Equitas Holdings Ltd.,539844,60,0.07125427133105802,-0.1665330494562326,0.3051617266107741,0.05938808023951512 to 0.09299834779883628
Avenue Supermarts Ltd.,540376,60,0.0651926167400881,-0.057070067265274665,0.08916101549346642,0.061472069717531996 to 0.0710052566513107
BASF India Ltd.,500042,60,0.0646965625,-0.16652331372504325,0.05916751960829,0.05392307652588063 to 0.0685244976303077
RBL Bank Ltd.,540065,60,0.06248071730769232,-0.2448514333642165,0.18934506453124772,0.04718222411727945 to 0.07431113275827597
Orient Cement Ltd.,535754,60,0.057937561181434595,-0.5110631919056631,0.12868962407149584,0.028327806232820992 to 0.0653935241494927
Alok Industries Ltd.,521070,60,0.05601196446700508,-0.5923962261024183,0.31090883709366984,0.02283068810016852 to 0.07342657920277358
Laurus Labs Ltd.,540222,60,0.05541492530612246,-0.07482998561327854,0.2359095998112641,0.051268227242704405 to 0.0684878381586609
IFCI Ltd.,500106,60,0.05436993897911833,-0.15388706431367508,0.4341438703534639,0.046003108682708155 to 0.07797431471839442
Advanced Enzyme Technologies Ltd.,540025,60,0.054149743494423794,-0.0856404198680459,0.12483138314529489,0.04951233672581435 to 0.060909330871795654
Navin Fluorine International Ltd.,532504,60,0.05100519121004566,-0.07715850549017936,0.12488801551080557,0.04706970688403771 to 0.057375128321017446
Procter & Gamble Health Ltd.,500126,60,0.04540145704467353,-0.14067419352380048,0.14044084726558406,0.03901464369010861 to 0.051777676139119495
LIC Housing Finance Ltd.,500253,60,0.045061494874715245,-0.06657443837500489,0.16551147508568012,0.04206155116109292 to 0.05251968936099518
L&T Technology Services Ltd.,540115,60,0.04214361583011581,-0.06659498289101015,0.22163211553227077,0.03933706245494394 to 0.05148399456272367
Aster DM Healthcare Ltd.,540975,60,0.041762684374999984,-0.13142240989677925,0.08658565157399192,0.036274131750678916 to 0.045378733613088335
Mahindra Logistics Ltd.,540768,60,0.04135644943820224,-0.045407595304978364,0.12650234494320184,0.03947855251886155 to 0.04658813727065979
Syngene International Ltd.,539268,60,0.03861710179640719,-0.26352351479086206,0.09756719488655718,0.028440587399981454 to 0.042384864093331275
Glaxosmithkline Pharmaceuticals Ltd.,500660,60,0.03659446973321734,-0.06329155672030003,0.10661021553061749,0.03427834877644811 to 0.040495814038704295
Minda Corporation Ltd.,538962,60,0.03595351933701657,-0.0037302032216713,0.22001365742268383,0.03581940540335521 to 0.043863784623570774
Endurance Technologies Ltd.,540153,60,0.03559788779527559,-0.10286027568350159,0.36743723994994426,0.03193627924290319 to 0.04867787743481945
V-Mart Retail Ltd.,534976,60,0.03284668069815194,-0.0692524267932387,0.23545046962356747,0.03057196834770229 to 0.040580447094107186
HDFC Asset Management Company Ltd.,541729,60,0.03268711111111111,-0.04136168872232744,0.15454937647113115,0.031335116996101205 to 0.03773888375197592
Schneider Electric Infrastructure Ltd.,534139,60,0.03235591666666666,-0.08562136250200394,0.14886304083301602,0.029585558996665363 to 0.03717251681060632
Mahanagar Gas Ltd.,539957,60,0.030600645454545442,-0.04248524781174862,0.19371792754770017,0.029300569449209623 to 0.036528539073621934
L&T Finance Holdings Ltd.,533519,60,0.029893499151103568,-0.07636898346421349,0.17741208310956105,0.02761056300874546 to 0.03519696710693475
Mishra Dhatu Nigam Ltd.,541195,60,0.029649765100671136,-0.013262073824483986,0.07356537520850456,0.02925654772702743 to 0.031830961195146036
Heidelberg Cement India Ltd.,500292,60,0.026247545034642022,-0.1211212079448191,0.11146197593195628,0.02306841067446014 to 0.029173148267566232
Suven Pharmaceutical Ltd.,543064,60,0.02591069565217392,0.02591069565217392,0.21219746767862163,0.02591069565217392 to 0.03140887965535669
Trident Ltd.,521064,60,0.0255296762485482,-0.10645136780344458,0.30526590929703634,0.022812007292311132 to 0.03332301608262021
Tata Consultancy Services Ltd.,532540,60,0.025202041566331778,-0.12270269697221796,0.22583716021510308,0.02210968309693693 to 0.030893599065295135
Orient Refractories Limited,534076,60,0.024454670289855072,-0.09108515063214846,0.28605402523793977,0.022227212962844096 to 0.03145002716213477
Interglobe Aviation Ltd.,539448,60,0.02416772413793103,-0.12298164816479122,0.0816066595275163,0.021195537591056263 to 0.026139971373210103
Tata Communications Ltd.,500483,60,0.023823583904109588,-0.43196768641404243,0.14598156507177826,0.013532565482960548 to 0.02730138796805033
Spicejet Ltd.,500285,60,0.02360742023121388,-0.350816392907824,0.3180268319930886,0.015325550219840235 to 0.031115213298876374
Alkyl Amines Chemicals Ltd.,506767,60,0.02331025491400491,-0.10559351704551694,0.2647146073150459,0.020848843114407586 to 0.02948081988997934
Karnataka Bank Ltd.,532652,60,0.022841342165898615,-0.07926218010310115,0.1540320625004442,0.0210308875893486 to 0.026359641209990344
Ashok Leyland Ltd.,500477,60,0.02265351869158878,-0.1014410897757093,0.17358885059696963,0.020355521068259615 to 0.026585916963238643
Sterling and Wilson Solar Ltd.,542760,60,0.02219504807692311,0.02219504807692311,0.1864501456296922,0.02219504807692311 to 0.02633331802312344
Gujarat Pipavav Port Ltd,533248,60,0.019865857250755285,-0.16993557724722674,0.217099838544479,0.01648994133133718 to 0.024178731652441922
Tata Metaliks Ltd.,513434,60,0.018446169550173006,-0.09096730684472351,0.14504434710727132,0.01676817118459262 to 0.02112168216920788
Cyient Limited,532175,60,0.018399238231917334,-0.12971929559935708,0.18827331734193897,0.016012502008908257 to 0.021863323850405045
Sheela Foam Ltd.,540203,60,0.01821948101265823,-0.10192385020010003,0.20336403885504165,0.016362481359200487 to 0.021924668257235155
Wockhardt Ltd.,532300,60,0.017140975372279495,-0.09495230706247403,0.26913539242446605,0.015513400215380507 to 0.021754218505636046
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670,60,0.017133573563218384,-0.07414774687590496,0.1323457454623085,0.01586315768757317 to 0.019401129128875823
IFB Industries Ltd.,505726,60,0.01683571864009379,-0.13684350827138533,0.22980537751193292,0.014531859837113399 to 0.02070465731786523
Phillips Carbon Black Ltd.,506590,60,0.016701851323360183,-0.023096655844245945,0.1958025130871352,0.016316094411382768 to 0.019972115785681803
Whirlpool Of India Ltd.,500238,60,0.016351071019473078,-0.08398492604672174,0.18524978510771403,0.014977827529117936 to 0.019380103412111434
UFLEX Ltd.,500148,60,0.01634614736238532,-0.14041042361536132,0.20085686646164227,0.014050977886753677 to 0.019629383300314277
IRB Infrastructure Developers Ltd.,532947,60,0.016292322407628127,-0.03996734319036538,0.3294621882186673,0.015641161566594376 to 0.021660026599209316
Galaxy Surfactants Ltd.,540935,60,0.016042371337788946,-0.10469742065786565,0.21410324235983988,0.01436277643748677 to 0.019477095056350122
Graphite India Ltd.,509488,60,0.015898547257876317,-0.1064447656012658,0.3545167053783052,0.014206230121611025 to 0.021534847852039917
