Company,Average Returns,Days
500570-Tata Motors Ltd.,0.28390682919458277,365
538567-Gulf Oil Lubricants India Ltd.,0.27960799999999986,365
533573-Alembic Pharmaceuticals Ltd.,0.27592399999999995,365
532541-Coforge Ltd.,0.2736034999999999,365
511196-Can Fin Homes Ltd.,0.2721085680614909,365
540678-Cochin Shipyard Ltd.,0.26895,365
532466-Oracle Financial Services Software Ltd.,0.26710181056456367,365
500325-Reliance Industries Ltd.,0.2614,365
534076-Orient Refractories Limited,0.2593305023094688,365
534816-Indus Towers Ltd.,0.257901063825527,365
524816-Natco Pharma Ltd.,0.252968,365
500067-Blue Star Ltd.,0.25276330622300364,365
500257-Lupin Ltd.,0.2522895000000001,365
533273-Oberoi Realty Ltd.,0.2511667906164569,365
532921-Adani Ports and Special Economic Zone Ltd.,0.25029970241334054,365
505255-GMM Pfaudler Ltd.,0.2485837905505823,365
507880-VIP Industries Ltd.,0.24514400000000008,365
517354-Havells India Ltd.,0.2433917489398443,365
532523-Biocon Ltd.,0.24187949999999997,365
500251-Trent Ltd.,0.2380144360013531,365
540596-Eris Lifesciences Ltd,0.23688600000000007,365
505200-Eicher Motors Ltd.,0.23302980931466113,365
523319-Balmer Lawrie & Co. Ltd.,0.22130300000000003,365
500125-EID-Parry (India) Ltd.,0.2200513583979231,365
538962-Minda Corporation Ltd.,0.21959545024174779,365
532977-Bajaj Auto Ltd,0.2192,365
532779-Torrent Power Ltd.,0.21856849999999992,365
500510-Larsen & Toubro Ltd.,0.21743199999999996,365
524494-Ipca Laboratories Ltd.,0.21626,365
500878-Ceat Ltd.,0.21599608251781005,365
500696-Hindustan Unilever Ltd.,0.21422499999999986,365
502355-Balkrishna Industries Ltd.,0.2137759999999999,365
532461-Punjab National Bank,0.2126,365
532162-JK Paper Ltd.,0.211192771994145,365
532483-Canara Bank,0.21021813289852317,365
506943-JB Chemicals & Pharmaceuticals Ltd.,0.2077519213128282,365
500182-Hero Motocorp Ltd.,0.20773349258504187,365
532144-Welspun Corp Ltd.,0.20584870696250085,365
500084-CESC Ltd.,0.20470763714866066,365
533286-Moil Ltd.,0.20387791172261885,365
532524-PTC India Ltd.,0.2037189781759683,365
502986-Vardhman Textiles Ltd.,0.20244799999999988,365
532174-ICICI Bank Ltd.,0.20208270650741134,365
512179-Sunteck Realty Ltd.,0.19854347571190223,365
522287-Kalpataru Power Transmission Ltd.,0.19657820095332476,365
532477-Union Bank of India,0.19594072172847074,365
532321-Cadila Healthcare Ltd.,0.19555091651350204,365
524208-Aarti Industries Ltd.,0.19370986722070915,365
531162-Emami Ltd.,0.191685,365
500135-EPL Ltd.,0.18921619019553224,365
523261-Venky's (India) Ltd.,0.1889463025085914,365
519552-Heritage Foods Ltd.,0.18850013457989945,365
540673-SIS Ltd.,0.1852944354931631,365
532843-Fortis Healthcare Ltd.,0.18523036351947472,365
539597-Jindal Stainless (Hisar) Ltd.,0.18282522315853073,365
508989-Navneet Education Ltd.,0.18201549999999989,365
542812-Gujarat Fluorochemicals Ltd.,0.1818809871065656,365
500530-Bosch Ltd.,0.18000930909851823,365
542830-Indian Railway Catering & Tourism Corpn. Ltd.,0.17958949999999996,365
540767-Nippon Life India Asset Management Ltd.,0.17938679555626597,365
533088-Mahindra Holidays & Resorts India Ltd,0.17898500000000014,365
543187-ABB Power Products and Systems India Ltd.,0.17382149999999993,365
539876-Crompton Greaves Consumer Electricals Ltd.,0.17275349999999992,365
500124-Dr. Reddy's Laboratories Ltd.,0.1725625,365
539658-TeamLease Services Ltd.,0.17171815868097265,365
540768-Mahindra Logistics Ltd.,0.17140134862217063,365
500710-Akzo Nobel India Ltd.,0.16985049999999988,365
532178-Engineers India Ltd.,0.16972613792207653,365
500330-Raymond Ltd.,0.16828452359719281,365
535755-Aditya Birla Fashion and Retail Ltd.,0.1667338549499268,365
526299-Mphasis Ltd.,0.16529900000000008,365
532822-Vodafone Idea Ltd.,0.1642605358249208,365
532872-Sun Pharma Advanced Research Company Ltd.,0.15937249999999986,365
500870-Castrol India Ltd.,0.15889899999999993,365
500940-Finolex Industries Ltd.,0.15717377142263872,365
500472-SKF India Ltd.,0.1548434999999999,365
500003-Aegis Logistics Ltd.,0.15414199999999997,365
506820-Astrazeneca Pharma India Ltd.,0.15341532026624147,365
539437-IDFC First Bank Ltd.,0.1522095000000001,365
539523-Alkem Laboratories Ltd.,0.15214199999999997,365
533098-NHPC Ltd.,0.15185810938695884,365
523385-Nilkamal Ltd.,0.15058441969644196,365
532505-UCO Bank,0.1504094076231529,365
540691-Aditya Birla Capital Ltd.,0.1455099740061531,365
506767-Alkyl Amines Chemicals Ltd.,0.14513533762910574,365
539336-Gujarat Gas Ltd.,0.14338860482535767,365
526612-Blue Dart Express Ltd.,0.14303814138719217,365
500302-Piramal Enterprises Ltd.,0.14277233184564495,365
540530-Housing & Urban Development Corpn. Ltd.,0.13985899999999996,365
532702-Gujarat State Petronet Ltd.,0.13860898017008824,365
532331-Ajanta Pharma Ltd.,0.135695,365
532555-National Thermal Power Corp. Ltd.,0.13481649667867265,365
540575-Star Cement Ltd,0.1346104615335808,365
532638-Shoppers Stop Ltd.,0.1335156070477201,365
541301-Orient Electric Ltd.,0.13131399999999993,365
505509-Responsive Industries Ltd.,0.12954200791268916,365
539450-S H Kelkar and Company Ltd,0.12803841479043088,365
542650-Metropolis Healthcare Ltd.,0.12794796835619654,365
541988-Aavas Financiers Ltd.,0.12746399999999994,365
534139-Schneider Electric Infrastructure Ltd.,0.12512007386607477,365
500690-Gujarat State Fertilizers & Chemicals Ltd.,0.12147800000000003,365
526371-NMDC Ltd.,0.119075,365
533400-Future Consumer Ltd.,0.11835679999999993,365
532644-JK Cement Ltd,0.11408,365
500850-Indian Hotels Co. Ltd.,0.11301753988370272,365
500109-Mangalore Refinery & Petrochemicals Ltd.,0.11171200000000012,365
506285-Bayer CropScience Ltd.,0.11031140133337014,365
500660-Glaxosmithkline Pharmaceuticals Ltd.,0.10814065307384771,365
523398-Johnson Controls - Hitachi Air Conditioning India Ltd.,0.10432807235379779,365
500495-Escorts Ltd.,0.1029325,365
539542-Lux Industries Ltd.,0.1014850200917942,365
540376-Avenue Supermarts Ltd.,0.10093699061293278,365
533151-DB Corporation Ltd.,0.09894670795106186,365
532515-TV Today Network Ltd.,0.09526432397134009,365
534804-CARE Ratings Ltd.,0.09485407430513662,365
500114-Titan Company Ltd.,0.09388786996846037,365
500680-Pfizer Ltd.,0.093455,365
534091-Multi Commodity Exchange India,0.09315000000000015,365
517506-TTK Prestige Ltd.,0.09174691664017627,365
522113-Timken India Ltd.,0.09163179223576223,365
541179-ICICI Securities Ltd.,0.09071899999999994,365
542920-Sumitomo Chemical India Pvt. Ltd.,0.08669,365
542867-CSB Bank Ltd.,0.08668799999999989,365
500027-Atul Ltd.,0.08605455210786238,365
500355-Rallis India Ltd.,0.08472806122448738,365
541143-Bharat Dynamics Ltd.,0.08374400000000008,365
500547-Bharat Petroleum Corpn. Ltd.,0.0833459999999999,365
500403-Sundram Fasteners Ltd.,0.08129300000000003,365
541956-Ircon International Ltd.,0.07920036875844758,365
533023-Wabco India Ltd.,0.07529986146564836,365
513683-NLC India Ltd.,0.07482020566527442,365
512573-Avanti Feeds Ltd.,0.07266967513777967,365
533398-Muthoot Finance Ltd.,0.07196885539946846,365
541195-Mishra Dhatu Nigam Ltd.,0.07078399999999994,365
526947-La Opala RG Ltd.,0.06855369766869307,365
500086-Exide Industries Ltd.,0.06776924669251294,365
532720-Mahindra & Mahindra Financial Services Ltd.,0.056632793473695237,365
530813-KRBL Ltd.,0.05248738659367572,365
539551-Narayana Hrudayalaya Ltd.,0.05156521572999695,365
530001-Gujarat Alkalies & Chemicals Ltd.,0.050015999999999915,365
500730-NOCIL Ltd.,0.04993700000000011,365
509966-VST Industries Ltd.,0.04889278906278264,365
532689-PVR Ltd.,0.047369941647347084,365
532522-Petronet LNG Ltd.,0.0455275,365
500674-Sanofi India Ltd.,0.043289000000000084,365
500265-Maharashtra Seamless Ltd.,0.04281076008388579,365
532309-GE Power India Ltd.,0.0351875,365
523405-JM Financial Ltd.,0.03319199999999997,365
532149-Bank of India,0.03048350579803511,365
500238-Whirlpool Of India Ltd.,0.029848122356176034,365
508486-Hawkins Cookers Ltd.,0.025781500000000086,365
541336-Indostar Capital Finance Pvt Ltd.,0.02438599999999991,365
532538-Ultratech Cement Ltd.,0.0156125,365
543064-Suven Pharmaceutical Ltd.,0.0062,365
532508-Jindal Stainless Ltd.,0.0039040000000000875,365
504973-Cholamandalam Financial Holdings Ltd.,0.00385,365
500049-Bharat Electronics Ltd.,0.0,365
540743-Godrej Agrovet Ltd.,0.0,365
540749-Mas Financial Services Ltd.,0.0,365
523642-PI Industries Ltd.,0.0,365
540902-Amber Enterprises India Ltd.,0.0,365
523457-Linde India Ltd.,0.0,365
500790-Nestle India Ltd.,0.0,365
540699-Dixon Technologies (India) Ltd.,0.0,365
500800-Tata Consumer Products Ltd.,0.0,365
500043-Bata India Ltd.,0.0,365
524164-IOL Chemicals & Pharmaceuticals Ltd.,0.0,365
500184-Himadri Speciality Chemical Ltd.,0.0,365
524348-Aarti Drugs Ltd.,0.0,365
541153-Bandhan Bank Ltd.,0.0,365
524804-Aurobindo Pharma Ltd.,0.0,365
540611-AU Small Finance Bank Ltd.,0.0,365
530517-Relaxo Footwears Ltd.,0.0,365
530549-Shilpa Medicare Ltd.,0.0,365
530965-Indian Oil Corpn. Ltd.,0.0,365
531213-Manappuram Finance Ltd.,0.0,365
531335-Zydus Wellness Ltd.,0.0,365
500092-Crisil Ltd.,0.0,365
531642-Marico Ltd.,0.0,365
540173-PNB Housing Finance Ltd.,0.0,365
524715-Sun Pharmaceutical Inds. Ltd.,0.0,365
513377-MMTC Ltd.,0.0,365
500830-Colgate-Palmolive (India) Ltd.,0.0,365
542066-Adani Total Gas Ltd.,0.0,365
542904-Ujjivan Small Finance Bank Ltd.,0.0,365
506655-Sudarshan Chemical Inds. Ltd.,0.0,365
507717-Dhanuka Agritech Ltd.,0.0,365
507815-Gillette India Ltd.,0.0,365
542760-Sterling and Wilson Solar Ltd.,0.0,365
500008-Amara Raja Batteries Ltd.,0.0,365
542726-Indiamart Intermesh Ltd.,0.0,365
542652-Polycab India Ltd.,0.0,365
542651-KPIT Technologies Ltd.,0.0,365
542649-Rail Vikas Nigam Ltd.,0.0,365
508869-Apollo Hospitals Enterprise Ltd.,0.0,365
542011-Garden Reach Shipbuilders & Engineers Ltd.,0.0,365
500875-ITC Ltd.,0.0,365
503100-Phoenix Mills Ltd.,0.0,365
509480-Berger Paints India Ltd.,0.0,365
541729-HDFC Asset Management Company Ltd.,0.0,365
541700-TCNS Clothing Co Ltd.,0.0,365
509488-Graphite India Ltd.,0.0,365
509930-Supreme Industries Ltd.,0.0,365
541556-Rites Ltd.,0.0,365
541540-Solara Active Pharma Sciences Ltd.,0.0,365
501425-Bombay Burmah Trdg. Corpn. Ltd.,0.0,365
512070-UPL Ltd.,0.0,365
500550-Siemens Ltd.,0.0,365
500188-Hindustan Zinc Ltd.,0.0,365
500096-Dabur India Ltd.,0.0,365
532181-Gujarat Mineral Devp. Corpn. Ltd.,0.0,365
500260-The Ramco Cements Ltd.,0.0,365
500339-Rain Industries Ltd.,0.0,365
500331-Pidilite Industries Ltd.,0.0,365
532754-GMR Infrastructure Ltd,0.0,365
532755-Tech Mahindra Ltd.,0.0,365
500312-Oil & Natural Gas Corpn. Ltd.,0.0,365
532777-Info Edge (India) Ltd.,0.0,365
533758-APL Apollo Tubes Ltd.,0.0,365
532790-Tanla Platforms Ltd.,0.0,365
532800-TV18 Broadcast Ltd.,0.0,365
532810-Power Finance Corpn. Ltd.,0.0,365
532848-Delta Corp Ltd.,0.0,365
532540-Tata Consultancy Services Ltd.,0.0,365
532856-Time Technoplast Ltd,0.0,365
532868-DLF Ltd.,0.0,365
532880-Omaxe Ltd.,0.0,365
533206-SJVN Ltd.,0.0,365
532892-Motilal Oswal Financial Services Ltd,0.0,365
532922-Edelweiss Financial Services Ltd.,0.0,365
533155-Jubilant FoodWorks Ltd.,0.0,365
532926-Jyothy Labs Ltd.,0.0,365
500209-Infosys Ltd.,0.0,365
533106-Oil India Ltd.,0.0,365
532636-IIFL Finance Ltd.,0.0,365
532705-Jagran Prakashan Ltd.,0.0,365
532424-Godrej Consumer Products Ltd.,0.0,365
532454-Bharti Airtel Ltd.,0.0,365
500103-Bharat Heavy Electricals Ltd.,0.0,365
500104-Hindustan Petroleum Corpn. Ltd.,0.0,365
532234-National Aluminium Co. Ltd.,0.0,365
539978-Quess Corp Ltd.,0.0,365
532281-HCL Technologies Ltd.,0.0,365
532286-Jindal Steel & Power Ltd.,0.0,365
500490-Bajaj Holdings & Investment Ltd.,0.0,365
500470-Tata Steel Ltd.,0.0,365
500469-Federal Bank Ltd.,0.0,365
500440-Hindalco Industries Ltd.,0.0,365
539524-Dr. Lal Pathlabs Ltd.,0.0,365
505537-Zee Entertainment Enterprises Ltd.,0.0,365
532478-United Breweries Ltd.,0.0,365
532482-Granules India Ltd.,0.0,365
500113-Steel Authority Of India Ltd.,0.0,365
532497-Radico Khaitan Ltd.,0.0,365
500420-Torrent Pharmaceuticals Ltd.,0.0,365
539268-Syngene International Ltd.,0.0,365
532772-DCB Bank Ltd.,-0.005990999999999913,365
542399-Chalet Hotel Ltd.,-0.010182000000000116,365
500459-Procter & Gamble Hygiene & Health Care Ltd.,-0.014708677944862112,365
533278-Coal India Ltd.,-0.031375,365
500163-Godfrey Phillips India Ltd.,-0.03508200000000011,365
506197-Bliss GVS Pharma Ltd.,-0.04474100000000006,365
532514-Indraprastha Gas Ltd.,-0.04559145896777869,365
532827-Page Industries Ltd.,-0.046564338098355314,365
517174-Honeywell Automation India Ltd.,-0.06976450000000012,365
500126-Procter & Gamble Health Ltd.,-0.070855,365
500820-Asian Paints Ltd.,-0.0803225,365
500488-Abbott India Ltd.,-0.08106399999999994,365
531500-Rajesh Exports Ltd.,-0.08300899999999994,365
500290-MRF Ltd.,-0.08354712683490022,365
532500-Maruti Suzuki India Ltd.,-0.10756300000000003,365
541770-CreditAccess Grameen Ltd.,-0.193025,365
540064-Future Retail Ltd.,-0.20002511287125635,365
