Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Adani Power Ltd.,533096,720,1.9999970000000002,-0.48716361952533227,1.9999970000000002,1.0256712224401943 to 1.9999970000000002
Bajaj Finance Ltd.,500034,720,1.410500584474886,-0.11300881251157267,1.2036298339991525,1.2511015883764998 to 3.1082211688221006
Kei Industries Ltd.,517569,720,1.4012529902912623,1.4012529902912623,23.192373316823126,1.4012529902912623 to 33.89963545244095
Sterlite Technologies Ltd.,532374,720,1.2918250849056603,-0.2863826390986918,1.6633511421717588,0.9218688078364856 to 3.4405838153696195
Honeywell Automation India Ltd.,517174,720,1.1329246495535714,-0.2817831384583133,0.3079656917814364,0.8136855861655813 to 1.4818265729895785
MindTree Ltd.,532819,720,1.1054582363636363,-0.5259085265635355,0.3431877558723154,0.5240883241001117 to 1.4848379677118402
Godrej Consumer Products Ltd.,532424,720,1.0784400000000003,1.0784400000000003,1.3146243782244773,1.0784400000000003 to 2.496183514452406
Titan Company Ltd.,500114,720,0.9480540545454545,-0.7973718167333308,0.9480540545454545,0.19210247071114517 to 0.9480540545454545
Aarti Industries Ltd.,524208,720,0.8785268732394366,-0.0324120679968221,1.3835669958934977,0.8500520004869645 to 2.0940276600590315
Info Edge (India) Ltd.,532777,720,0.8678473986175115,-0.31221561404020176,0.2021768483763093,0.5968918901649535 to 1.0433060505415785
GMM Pfaudler Ltd.,505255,720,0.8509899033018867,0.8509899033018867,6.345520811420305,0.8509899033018867 to 6.250964045012561
Avanti Feeds Ltd.,512573,720,0.7726306692708333,0.7726306692708333,8.179826128308987,0.7726306692708333 to 7.092615205305256
Jai Corp Ltd.,512237,720,0.720512110091743,0.720512110091743,0.7242376945415221,0.720512110091743 to 1.2423341395938343
Bombay Burmah Trdg. Corpn. Ltd.,501425,720,0.7051084337899544,0.7051084337899544,4.119041941704316,0.7051084337899544 to 3.6094796460202168
JTEKT India Ltd.,520057,720,0.6830583609756097,-0.082850333901746,1.7482885132478463,0.626466747694401 to 1.8772414473471692
JSW Steel Ltd.,500228,720,0.6759481316964285,0.6759481316964285,6.0722684907656,0.6759481316964285 to 4.780486673188528
Godrej Properties Ltd.,533150,720,0.6708877641509435,-0.06915468937200833,0.14244224285878856,0.6244927292176039 to 0.7664505219831219
Maharashtra Scooters Ltd.,500266,720,0.6576445341463414,-0.056453072366058565,0.7981482530360989,0.6205184796690351 to 1.182542370193983
Poly Medicure Ltd.,531768,720,0.603599918224299,0.603599918224299,5.7516444021711255,0.603599918224299 to 4.075292009030037
Tech Mahindra Ltd.,532755,720,0.5941664181818183,0.5941664181818183,1.8554542589716174,0.5941664181818183 to 1.696615029335184
Bajaj Finserv Ltd.,532978,720,0.5895657987804878,0.5895657987804878,1.6802333756364678,0.5895657987804878 to 1.5801739310252374
Abbott India Ltd.,500488,720,0.5651673561643834,-0.04028577075022987,0.5859106741872846,0.5423991536184315 to 0.8963049428433025
Tata Elxsi Ltd.,500408,720,0.5504731598173516,-0.2489832228104813,2.4570469143887155,0.4134145784153582 to 1.9030115386003814
Coforge Ltd.,532541,720,0.5484312133027522,-1.0947229854835343,0.5484312133027522,-0.05194904185639371 to 0.5484312133027522
Hindustan Petroleum Corpn. Ltd.,500104,720,0.5424827853881279,0.5424827853881279,2.7773899861960083,0.5424827853881279 to 2.0491690412088324
Tasty Bite Eatables Ltd.,519091,720,0.5366806901840491,0.5366806901840491,6.1700346963367885,0.5366806901840491 to 3.848019169473606
Dabur India Ltd.,500096,720,0.518095803652968,-0.0400066948040617,0.2773490238516785,0.49736850295695867 to 0.6617891690577696
Nestle India Ltd.,500790,720,0.5157819954545454,-0.08149713897116288,0.026386956021487676,0.4737472384921626 to 0.5293919122852797
Glaxosmithkline Pharmaceuticals Ltd.,500660,720,0.4456478582013126,-0.16277636731149017,0.2560638082176927,0.3731069187431569 to 0.559762145896399
Berger Paints India Ltd.,509480,720,0.4372311169724771,0.4372311169724771,1.2376540284978197,0.4372311169724771 to 0.9783719702780648
Biocon Ltd.,532523,720,0.42589798703599124,0.42589798703599124,1.2870500804903844,0.42589798703599124 to 0.9740500255313564
Bajaj Holdings & Investment Ltd.,500490,720,0.4110684337899543,0.4110684337899543,0.5012082081425346,0.4110684337899543 to 0.6170993069137755
Sobha Ltd.,532784,720,0.4104132090909091,-0.32580547427630496,0.4104132090909091,0.27669833885378514 to 0.4104132090909091
CESC Ltd.,500084,720,0.3963017909090909,0.3963017909090909,1.5183063238029126,0.3963017909090909 to 0.9980093061807832
TVS Motor Co. Ltd.,532343,720,0.3942438411214953,0.3942438411214953,1.6491633180431928,0.3942438411214953 to 1.0444163222635139
Whirlpool Of India Ltd.,500238,720,0.3937534311926606,0.3937534311926606,1.6035761657450598,0.3937534311926606 to 1.0251670486335485
Jubilant FoodWorks Ltd.,533155,720,0.39185625,0.39185625,1.2587317523974877,0.39185625 to 0.8850981542504079
Procter & Gamble Hygiene & Health Care Ltd.,500459,720,0.38900521689497713,-0.0136263428700602,0.4220447844152616,0.38370449843132404 to 0.5531828397958299
TV Today Network Ltd.,532515,720,0.3794405705365004,0.3794405705365004,1.1385928836108752,0.3794405705365004 to 0.8114689039026101
Sanofi India Ltd.,500674,720,0.36392049794007064,-0.12012919436435766,0.04139140279301637,0.3202030217098541 to 0.37898367785494325
V-Guard Industries Ltd.,532953,720,0.36324639044943824,0.36324639044943824,1.3886309862258874,0.36324639044943824 to 0.8676615838622355
Shoppers Stop Ltd.,532638,720,0.35450750000000003,0.35450750000000003,0.24313693263005345,0.35450750000000003 to 0.4407013661443487
Reliance Industries Ltd.,500325,720,0.3445411,0.3445411,7.042496194936733,0.3445411 to 2.7709704857493165
Shriram Transport Finance Co. Ltd.,511218,720,0.33701564189189187,0.33701564189189187,0.6614868068784573,0.33701564189189187 to 0.5599470427150531
Rashtriya Chemicals & Fertilizers Ltd.,524230,720,0.3323867757009346,0.3323867757009346,3.6652354722384572,0.3323867757009346 to 1.5506625765029678
ITI Ltd.,523610,720,0.3234900582524271,0.3234900582524271,12.356035178675983,0.3234900582524271 to 4.3205445979713595
Heidelberg Cement India Ltd.,500292,720,0.3224577690476191,0.3224577690476191,1.6865234123745791,0.3224577690476191 to 0.8662903460485035
KRBL Ltd.,530813,720,0.32223942995169086,0.32223942995169086,1.8724411650951547,0.32223942995169086 to 0.9256138036100334
Piramal Enterprises Ltd.,500302,720,0.31197188409090915,0.31197188409090915,3.5356647836093704,0.31197188409090915 to 1.4149998881474009
