Company,Security Id,Average Returns %
Alkyl Amines Chemicals Ltd.,506767,8.308019
Adani Enterprises Ltd.,512599,6.602585
Laurus Labs Ltd.,540222,5.2416385
Navin Fluorine International Ltd.,532504,3.924619
APL Apollo Tubes Ltd.,533758,3.5791370000000002
JSW Steel Ltd.,500228,3.13492
JB Chemicals & Pharmaceuticals Ltd.,506943,2.9051255
Prism Johnson Ltd.,500338,2.8208295000000003
Welspun India Ltd.,514162,2.7719609999999997
Advanced Enzyme Technologies Ltd.,540025,1.97232
Granules India Ltd.,532482,1.950893
Persistent Systems Ltd.,533179,1.934225
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670,1.83974
Cholamandalam Investment & Finance Co. Ltd.,511243,1.7956460000000003
Phillips Carbon Black Ltd.,506590,1.7404160000000004
Tata Power Co. Ltd.,500400,1.7056275
Escorts Ltd.,500495,1.6931959999999997
Larsen & Toubro Infotech Ltd.,540005,1.4953269999999999
Mahindra Lifespace Developers Ltd.,532313,1.4206385000000001
PTC India Ltd.,532524,1.2931480000000002
Cadila Healthcare Ltd.,532321,1.27664
Alok Industries Ltd.,521070,1.2695158097322465
IRB Infrastructure Developers Ltd.,532947,1.2404179999999998
Trident Ltd.,521064,1.23818
Axis Bank Ltd.,532215,1.2021614999999999
Time Technoplast Ltd,532856,1.15448
Lakshmi Machine Works Ltd.,500252,1.1521490000000003
L&T Technology Services Ltd.,540115,1.1244470000000002
MindTree Ltd.,532819,1.0882759999999998
Gujarat State Fertilizers & Chemicals Ltd.,500690,1.07478
Dalmia Bharat Ltd.,542216,1.027415
Ratnamani Metals & Tubes Ltd.,520111,1.026024
Gateway Distriparks Ltd.,532622,1.01153
India Tourism Devp. Corpn. Ltd.,532189,0.961795
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,500645,0.9614854999999999
NBCC India Ltd.,534309,0.946385
Lux Industries Ltd.,539542,0.8475230000000001
Bharti Airtel Ltd.,532454,0.837815
Max Financial Services Ltd.,500271,0.7977620000000001
Titan Company Ltd.,500114,0.7824425
Ajanta Pharma Ltd.,532331,0.7804579999999999
Cipla Ltd.,500087,0.7741430000000001
TeamLease Services Ltd.,539658,0.765269
Larsen & Toubro Ltd.,500510,0.7540130000000002
Balrampur Chini Mills Ltd.,500038,0.7246879999999999
Tasty Bite Eatables Ltd.,519091,0.7198279999999999
Tata Chemicals Ltd.,500770,0.7148908390968413
Syngene International Ltd.,539268,0.6966889999999999
Bank of Maharashtra,532525,0.6920639999999999
Varun Beverages Ltd.,540180,0.6916175
Kajaria Ceramics Ltd.,500233,0.6911025
Jubilant FoodWorks Ltd.,533155,0.6812249001570563
PNC Infratech Ltd.,539150,0.67577
Affle (India) Ltd.,542752,0.6737365
Sundram Fasteners Ltd.,500403,0.6636825
Procter & Gamble Health Ltd.,500126,0.6617995000000001
Blue Star Ltd.,500067,0.615014
Indraprastha Gas Ltd.,532514,0.6132019999999998
Ceat Ltd.,500878,0.6125875
TCI Express Ltd.,540212,0.599325
Edelweiss Financial Services Ltd.,532922,0.58458642167276
ICICI Bank Ltd.,532174,0.5751480000000002
EPL Ltd.,500135,0.570176
Tata Motors Ltd.,500570,0.5693129999999998
Atul Ltd.,500027,0.5691800245287096
Indian Bank,532814,0.56712
Torrent Power Ltd.,532779,0.55078
V-Mart Retail Ltd.,534976,0.548415
JK Paper Ltd.,532162,0.524604
Canara Bank,532483,0.5199195000000001
Karnataka Bank Ltd.,532652,0.509156
Minda Industries Ltd.,532539,0.500105
ABB India Ltd.,500002,0.47717
The Ramco Cements Ltd.,500260,0.45044899999999993
NCC Ltd.,500294,0.4382879999999999
Glaxosmithkline Pharmaceuticals Ltd.,500660,0.4327175
Vedanta Ltd.,500295,0.4272719999999998
Whirlpool Of India Ltd.,500238,0.40784600000000004
Schneider Electric Infrastructure Ltd.,534139,0.4047020000000001
Indus Towers Ltd.,534816,0.3946635302810208
Bank Of Baroda,532134,0.39311
Natco Pharma Ltd.,524816,0.39199350000000005
HDFC Bank Ltd.,500180,0.38559649999999995
Bajaj Holdings & Investment Ltd.,500490,0.3843035000000001
MMTC Ltd.,513377,0.382985
Dhanuka Agritech Ltd.,507717,0.381395
Siemens Ltd.,500550,0.3752496879060046
Berger Paints India Ltd.,509480,0.36841200000000013
Tube Investments Of India Ltd.,540762,0.3576580661832159
Vakrangee Ltd.,511431,0.35382394923252036
Prestige Estates Projects Ltd.,533274,0.35379199999999983
Trent Ltd.,500251,0.35262399999999994
Balkrishna Industries Ltd.,502355,0.33296699999999985
Hindustan Unilever Ltd.,500696,0.3265910000000001
REC Ltd.,532955,0.31167199999999984
TVS Motor Co. Ltd.,532343,0.309833
Kotak Mahindra Bank Ltd.,500247,0.306507
Birla Corporation Ltd.,500335,0.30036399999999996
NHPC Ltd.,533098,0.2999025
City Union Bank Ltd.,532210,0.29114
Dishman Carbogen Amcis Ltd.,540701,0.28782800000000003
Tata Consultancy Services Ltd.,532540,0.2873164999999999
Aegis Logistics Ltd.,500003,0.2831209999999999
Mahanagar Gas Ltd.,539957,0.28122
Havells India Ltd.,517354,0.2768125
Union Bank of India,532477,0.26685
Lemon Tree Hotels Ltd.,541233,0.256365
Avenue Supermarts Ltd.,540376,0.2552525
Bosch Ltd.,500530,0.2472109999999999
Cera Sanitaryware Ltd.,532443,0.24547479734882788
Fine Organic Industries Ltd.,541557,0.23495355664065642
Minda Corporation Ltd.,538962,0.2212859999999999
Equitas Holdings Ltd.,539844,0.21456174732328126
