Company,Average Returns %
512599-Adani Enterprises Ltd.,6.49294
539254-Adani Transmission Ltd.,4.864966
532809-Firstsource Solutions Ltd.,3.152085
540762-Tube Investments Of India Ltd.,2.6622559999999997
500252-Lakshmi Machine Works Ltd.,2.411298
506401-Deepak Nitrite Ltd.,2.29509
532175-Cyient Limited,2.0649319999999993
532400-Birlasoft Ltd.,1.96964
541233-Lemon Tree Hotels Ltd.,1.95484
540222-Laurus Labs Ltd.,1.9434132775154895
532488-Divi's Laboratories Ltd.,1.9220914999999996
500520-Mahindra & Mahindra Ltd.,1.82722
500483-Tata Communications Ltd.,1.80716312469634
521070-Alok Industries Ltd.,1.7144391658940041
532508-Jindal Stainless Ltd.,1.5456640000000001
532215-Axis Bank Ltd.,1.5359319999999999
532814-Indian Bank,1.4857925
570001-Tata Motors DVR,1.4279390000000003
541450-Adani Green Energy Ltd.,1.40351
532889-KPR Mills Ltd.,1.4004960000000004
521064-Trident Ltd.,1.3923757
511243-Cholamandalam Investment & Finance Co. Ltd.,1.3786013963624697
500877-Apollo Tyres Ltd.,1.3219385000000001
500294-NCC Ltd.,1.3194168300619236
500271-Max Financial Services Ltd.,1.3171987568961896
513375-Carborundum Universal Ltd.,1.3089995
540153-Endurance Technologies Ltd.,1.2851559999999997
533179-Persistent Systems Ltd.,1.2649051724137932
541578-Varroc Engineering Pvt Ltd.,1.247025
505726-IFB Industries Ltd.,1.2322556328121792
532189-India Tourism Devp. Corpn. Ltd.,1.231145732645872
532819-MindTree Ltd.,1.21697
532756-Mahindra CIE Automotive Ltd.,1.210791
513599-Hindustan Copper Ltd.,1.148158059652579
542752-Affle (India) Ltd.,1.0976595
540025-Advanced Enzyme Technologies Ltd.,1.0940010713882695
500575-Voltas Ltd.,1.078336
503806-SRF Ltd.,1.065880982353813
509488-Graphite India Ltd.,1.0240145
530517-Relaxo Footwears Ltd.,1.0153059999999998
542216-Dalmia Bharat Ltd.,1.01357
532622-Gateway Distriparks Ltd.,1.0119725
532865-Meghmani Organics Ltd.,1.011693493966503
500233-Kajaria Ceramics Ltd.,0.9969096609807075
500670-Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,0.9939097128088172
500770-Tata Chemicals Ltd.,0.9680689461225945
500338-Prism Johnson Ltd.,0.9575218434256768
500209-Infosys Ltd.,0.9553707935779959
532531-Strides Pharma Science Ltd.,0.9302885000000001
500124-Dr. Reddy's Laboratories Ltd.,0.9230025
500300-Grasim Industries Ltd.,0.9180777871756772
532296-Glenmark Pharmaceuticals Ltd.,0.8941999973716452
540047-Dilip Buildcon Ltd.,0.8865057806853668
530007-JK Tyre & Industries Ltd.,0.8847244732603678
532523-Biocon Ltd.,0.8724807416332833
540750-Indian Energy Exchange Ltd.,0.86165
500493-Bharat Forge Ltd.,0.8441651976623313
540701-Dishman Carbogen Amcis Ltd.,0.833885
504067-Zensar Technologies Ltd.,0.8241835024539156
532714-KEC International Ltd.,0.8227433846371761
540005-Larsen & Toubro Infotech Ltd.,0.8057146178904564
532683-AIA Engineering Ltd.,0.79498
532733-Sun TV Network Ltd.,0.7885625
532443-Cera Sanitaryware Ltd.,0.7821225
532187-Indusind Bank Ltd.,0.765173646055437
500420-Torrent Pharmaceuticals Ltd.,0.7529040000000002
532300-Wockhardt Ltd.,0.7441428265807672
500645-Deepak Fertilisers & Petrochemicals Corpn. Ltd.,0.7432824460641984
507685-Wipro Ltd.,0.7180443940292521
532504-Navin Fluorine International Ltd.,0.7131108083433322
535789-Indiabulls Housing Finance Ltd.,0.6944002872739432
500112-State Bank of India,0.6908219999999998
500400-Tata Power Co. Ltd.,0.676920503297768
532539-Minda Industries Ltd.,0.670408198826119
532947-IRB Infrastructure Developers Ltd.,0.6690571532862123
506655-Sudarshan Chemical Inds. Ltd.,0.668545
532830-Astral Ltd.,0.6598925
501455-Greaves Cotton Ltd.,0.654234
517569-Kei Industries Ltd.,0.6495872096336897
500477-Ashok Leyland Ltd.,0.6330632933766467
532343-TVS Motor Co. Ltd.,0.6296403191153239
500038-Balrampur Chini Mills Ltd.,0.6205483783802108
532800-TV18 Broadcast Ltd.,0.616936
533758-APL Apollo Tubes Ltd.,0.6002440000000002
506076-Grindwell Norton Ltd.,0.597995
532548-Century Plyboards (India) Ltd.,0.5890898794757476
500010-Housing Development Finance Corpn. Ltd.,0.5883520000000001
523367-DCM Shriram Ltd.,0.5824515614866237
500295-Vedanta Ltd.,0.5730160000000001
540975-Aster DM Healthcare Ltd.,0.5656219999999998
540212-TCI Express Ltd.,0.5595375
532749-Allcargo Logistics Ltd.,0.5581085522259613
500249-KSB Ltd.,0.5517335514318631
533148-JSW Energy Ltd.,0.548772074821193
539150-PNC Infratech Ltd.,0.5475374184639434
534976-V-Mart Retail Ltd.,0.5332625
500116-IDBI Bank Ltd.,0.5321680000000002
511431-Vakrangee Ltd.,0.5235131626766203
500180-HDFC Bank Ltd.,0.5197175
531595-Capri Global Capital Ltd.,0.5180017224811838
500253-LIC Housing Finance Ltd.,0.5124094999999999
532784-Sobha Ltd.,0.5037528978132216
532218-South Indian Bank Ltd.,0.4991053
539957-Mahanagar Gas Ltd.,0.4939225
520111-Ratnamani Metals & Tubes Ltd.,0.4912273262162081
535648-Just Dial Ltd.,0.48866158868646237
500480-Cummins India Ltd.,0.48598867718304384
532927-eClerx Services Ltd,0.47794269005556617
512237-Jai Corp Ltd.,0.4652412803481127
532832-Indiabulls Real Estate Ltd.,0.46382600000000007
500620-Great Eastern Shipping Company Ltd.,0.46286
