Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Adani Green Energy Ltd.,541450,30,0.086053987012987,-0.13911705134536478,0.8203789178989765,0.07408241008322793 to 0.15665086375959386
Lemon Tree Hotels Ltd.,541233,30,0.06305713783783784,-0.13893288274889976,0.31071285724727704,0.0542964279001323 to 0.08264980130526782
Laurus Labs Ltd.,540222,30,0.05776901094890511,-0.11357524206262641,0.15613458200949698,0.051207881546664696 to 0.06678875132651446
Dishman Carbogen Amcis Ltd.,540701,30,0.05602326785714286,-0.5046136401365386,0.23207963540403317,0.02775316273140566 to 0.06902512743557106
AU Small Finance Bank Ltd.,540611,30,0.044873298283261795,-0.1799929195506509,0.10175157407223687,0.03679642231539029 to 0.049439227017396684
Tube Investments Of India Ltd.,540762,30,0.03778894549763032,-0.07814630659559187,0.048614614668608426,0.034835878976848395 to 0.03962604052173067
TCI Express Ltd.,540212,30,0.034313298534798524,-0.2527595061753975,0.034313298534798524,0.025640286141893856 to 0.034313298534798524
Endurance Technologies Ltd.,540153,30,0.03266868989547038,-0.16793551629482084,0.09561117064809536,0.027182456591199163 to 0.035792181579915906
Vakrangee Ltd.,511431,30,0.03153074678362574,-0.2316397446699288,0.23768775194192265,0.024226972649414494 to 0.03902521910367575
Affle (India) Ltd.,542752,30,0.02910626111111111,0.02910626111111111,0.1456949087515789,0.02910626111111111 to 0.03334689516779407
RBL Bank Ltd.,540065,30,0.028950427835051546,-0.15742862538798305,0.11681938924130535,0.024392801776585378 to 0.032332399133016755
Sterling and Wilson Solar Ltd.,542760,30,0.028143025641025592,-0.02622281819736677,0.0808376823711803,0.027405036196117148 to 0.0304180426087588
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,500645,30,0.027686744456762745,-0.13932897282200155,0.15907487293834,0.02382917879081675 to 0.03209100981329857
Alok Industries Ltd.,521070,30,0.023684445797807555,-0.36943668352871,0.19031174725199343,0.01493454269105004 to 0.028191874060283447
Varroc Engineering Pvt Ltd.,541578,30,0.02041838414634146,-0.034292585389149095,0.07937117776874564,0.0197181849644946 to 0.022039015344171266
Minda Industries Ltd.,532539,30,0.017769534202569905,-0.038345610643204894,0.09665414325380028,0.01708815056272705 to 0.019487033306938403
Sumitomo Chemical India Pvt. Ltd.,542920,30,0.017735241935483866,-0.00638306177108335,0.0376122507289165,0.017622036790684564 to 0.01840230430189928
TeamLease Services Ltd.,539658,30,0.017728843283582086,-0.09218443965972133,0.08089408151278515,0.016094519799670057 to 0.01916300177729157
