Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2020-06-22,72.45,INVEST,0,1380.0,0.0
2021-01-25,119.45,EXIT,164841.0,0.0,0.64841
2021-03-05,107.75,INVEST,0,1529.0,0.0
2021-04-07,100.3,-,153358.69999999998,0.0,-0.06965682081520991
