Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-10-22,71.45,INVEST,0,1399.0,0.0
2020-03-11,77.25,EXIT,108072.75,0.0,0.0807275
2020-03-25,48.45,INVEST,0,2230.0,0.0
2021-04-07,109.4,-,243962.0,0.0,1.2573868065724245
