Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2020-05-19,17499.35,INVEST,0,5.0,0.0
2020-10-01,21424.35,EXIT,107121.75,0.0,0.0712175
2021-02-01,27810.3,INVEST,0,3.0,0.0
2021-04-07,29838.9,-,89516.70000000001,0.0,-0.16434617619671063
