Company,Security Id,Average Returns %
Galaxy Surfactants Ltd.,540935,0.0
Amber Enterprises India Ltd.,540902,0.0
Mahindra Logistics Ltd.,540768,0.0
Nippon Life India Asset Management Ltd.,540767,0.0
Indian Energy Exchange Ltd.,540750,0.0
Mas Financial Services Ltd.,540749,0.0
Godrej Agrovet Ltd.,540743,0.0
Dishman Carbogen Amcis Ltd.,540701,0.0
Dixon Technologies (India) Ltd.,540699,0.0
Aditya Birla Capital Ltd.,540691,0.0
SIS Ltd.,540673,0.0
AU Small Finance Bank Ltd.,540611,0.0
Eris Lifesciences Ltd,540596,0.0
Star Cement Ltd,540575,0.0
Housing & Urban Development Corpn. Ltd.,540530,0.0
Avenue Supermarts Ltd.,540376,0.0
Laurus Labs Ltd.,540222,0.0
TCI Express Ltd.,540212,0.0
Sheela Foam Ltd.,540203,0.0
Varun Beverages Ltd.,540180,0.0
Mishra Dhatu Nigam Ltd.,541195,0.0
Orient Electric Ltd.,541301,0.0
Bajaj Finserv Ltd.,532978,0.0
Indostar Capital Finance Pvt Ltd.,541336,0.0
ABB Power Products and Systems India Ltd.,543187,0.0
Suven Pharmaceutical Ltd.,543064,0.0
Sumitomo Chemical India Pvt. Ltd.,542920,0.0
Ujjivan Small Finance Bank Ltd.,542904,0.0
CSB Bank Ltd.,542867,0.0
Indian Railway Catering & Tourism Corpn. Ltd.,542830,0.0
Gujarat Fluorochemicals Ltd.,542812,0.0
Sterling and Wilson Solar Ltd.,542760,0.0
Affle (India) Ltd.,542752,0.0
Indiamart Intermesh Ltd.,542726,0.0
Polycab India Ltd.,542652,0.0
KPIT Technologies Ltd.,542651,0.0
Metropolis Healthcare Ltd.,542650,0.0
Rail Vikas Nigam Ltd.,542649,0.0
Chalet Hotel Ltd.,542399,0.0
Dalmia Bharat Ltd.,542216,0.0
Adani Total Gas Ltd.,542066,0.0
Garden Reach Shipbuilders & Engineers Ltd.,542011,0.0
Aavas Financiers Ltd.,541988,0.0
HDFC Asset Management Company Ltd.,541729,0.0
TCNS Clothing Co Ltd.,541700,0.0
Varroc Engineering Pvt Ltd.,541578,0.0
Rites Ltd.,541556,0.0
Solara Active Pharma Sciences Ltd.,541540,0.0
Adani Green Energy Ltd.,541450,0.0
PNB Housing Finance Ltd.,540173,0.0
Endurance Technologies Ltd.,540153,0.0
L&T Technology Services Ltd.,540115,0.0
Advanced Enzyme Technologies Ltd.,540025,0.0
Orient Refractories Limited,534076,0.0
APL Apollo Tubes Ltd.,533758,0.0
Triveni Turbine Ltd.,533655,0.0
Alembic Pharmaceuticals Ltd.,533573,0.0
L&T Finance Holdings Ltd.,533519,0.0
Future Consumer Ltd.,533400,0.0
Moil Ltd.,533286,0.0
Coal India Ltd.,533278,0.0
Prestige Estates Projects Ltd.,533274,0.0
Oberoi Realty Ltd.,533273,0.0
Ashoka Buildcon Ltd.,533271,0.0
Gujarat Pipavav Port Ltd,533248,0.0
Bajaj Consumer Care Ltd.,533229,0.0
SJVN Ltd.,533206,0.0
Persistent Systems Ltd.,533179,0.0
Hathway Cable & Datacom Ltd.,533162,0.0
Jubilant FoodWorks Ltd.,533155,0.0
DB Corporation Ltd.,533151,0.0
Godrej Properties Ltd.,533150,0.0
JSW Energy Ltd.,533148,0.0
Oil India Ltd.,533106,0.0
NHPC Ltd.,533098,0.0
Adani Power Ltd.,533096,0.0
Rajesh Exports Ltd.,531500,0.0
Wabco India Ltd.,533023,0.0
Multi Commodity Exchange India,534091,0.0
Schneider Electric Infrastructure Ltd.,534139,0.0
Indus Towers Ltd.,534816,0.0
S H Kelkar and Company Ltd,539450,0.0
Larsen & Toubro Infotech Ltd.,540005,0.0
