Company,Security Id,Average Returns %
Adani Transmission Ltd.,539254,3.2932394999999994
Hindustan Copper Ltd.,513599,3.2688615000000003
Deepak Nitrite Ltd.,506401,2.074285
IFB Industries Ltd.,505726,1.9788885000000003
Adani Green Energy Ltd.,541450,1.818275
Cholamandalam Investment & Finance Co. Ltd.,511243,1.7568215000000003
Lakshmi Machine Works Ltd.,500252,1.7135325
Tata Chemicals Ltd.,500770,1.614318
Birlasoft Ltd.,532400,1.500464
Jamna Auto Inds. Ltd.,520051,1.495942
Capri Global Capital Ltd.,531595,1.454224
KPR Mills Ltd.,532889,1.3790630000000001
Trident Ltd.,521064,1.3477025
Kajaria Ceramics Ltd.,500233,1.3340265000000002
Tube Investments Of India Ltd.,540762,1.3123859999999998
IDFC Ltd.,532659,1.2040925
eClerx Services Ltd,532927,1.1993315
Ashok Leyland Ltd.,500477,1.1633775
BEML Ltd,500048,1.130195
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,500645,1.109995
Grasim Industries Ltd.,500300,1.0985524999999996
Affle (India) Ltd.,542752,1.0976595
Cyient Limited,532175,1.0294819999999998
Dilip Buildcon Ltd.,540047,1.024349
HEG Ltd.,509631,1.0201025520274094
Dalmia Bharat Ltd.,542216,1.01357
Cummins India Ltd.,500480,0.9999125
Varroc Engineering Pvt Ltd.,541578,0.9978095000000001
Wipro Ltd.,507685,0.94472
Rashtriya Chemicals & Fertilizers Ltd.,524230,0.94376
KSB Ltd.,500249,0.9380270000000002
JK Tyre & Industries Ltd.,530007,0.937925
Ratnamani Metals & Tubes Ltd.,520111,0.9351679999999999
Persistent Systems Ltd.,533179,0.921094
Wockhardt Ltd.,532300,0.907234
Poly Medicure Ltd.,531768,0.9039585000000001
MindTree Ltd.,532819,0.890945
Indian Energy Exchange Ltd.,540750,0.86165
Mahindra Lifespace Developers Ltd.,532313,0.8473025000000003
Indian Bank,532814,0.8375254999999999
JSW Energy Ltd.,533148,0.8081959999999998
Chambal Fertilisers & Chemicals Ltd.,500085,0.76751
Laurus Labs Ltd.,540222,0.7659732379407271
Lemon Tree Hotels Ltd.,541233,0.7605210000000001
Advanced Enzyme Technologies Ltd.,540025,0.7333915000000002
Bajaj Finserv Ltd.,532978,0.717074
Suprajit Engineering Ltd.,532509,0.7092230000000002
Vakrangee Ltd.,511431,0.7007542504207998
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670,0.6870619999999998
Astral Ltd.,532830,0.6598925
Max Financial Services Ltd.,500271,0.6550279999999998
Brigade Enterprises Ltd.,532929,0.6417425
PNC Infratech Ltd.,539150,0.625659
Vaibhav Global Ltd.,532156,0.6237333143061778
Minda Industries Ltd.,532539,0.6230990000000002
SRF Ltd.,503806,0.609101
Tata Metaliks Ltd.,513434,0.60728
KEC International Ltd.,532714,0.5806325
Just Dial Ltd.,535648,0.5794119999999998
Strides Pharma Science Ltd.,532531,0.574055
Bajaj Finance Ltd.,500034,0.5737925
Vedanta Ltd.,500295,0.5730160000000001
EIH Ltd.,500840,0.5669625
GHCL Ltd.,500171,0.55754
Phillips Carbon Black Ltd.,506590,0.5523169999999998
Adani Power Ltd.,533096,0.5478120000000001
Gateway Distriparks Ltd.,532622,0.5466925
IFCI Ltd.,500106,0.5416306819593829
Tata Investment Corpn. Ltd.,501301,0.5367320000000001
Karnataka Bank Ltd.,532652,0.5363479999999999
L&T Finance Holdings Ltd.,533519,0.5295479999999999
Symphony Ltd.,517385,0.5211169999999998
Cera Sanitaryware Ltd.,532443,0.5167
LIC Housing Finance Ltd.,500253,0.5124094999999999
V-Mart Retail Ltd.,534976,0.505385
Spicejet Ltd.,500285,0.5005530000000001
Century Plyboards (India) Ltd.,532548,0.4928338149994912
Motherson Sumi Systems Ltd.,517334,0.47798
Indiabulls Real Estate Ltd.,532832,0.46382600000000007
Sterlite Technologies Ltd.,532374,0.4613705821923252
Redington India Ltd.,532805,0.45645996555936846
Carborundum Universal Ltd.,513375,0.4538145000000001
Can Fin Homes Ltd.,511196,0.44585
VRL Logistics Ltd.,539118,0.4405755000000002
Westlife Development Ltd.,505533,0.43667
Bajaj Consumer Care Ltd.,533229,0.4362283273321208
V-Guard Industries Ltd.,532953,0.43510399999999994
Galaxy Surfactants Ltd.,540935,0.43463300000000016
Schaeffler India Ltd.,505790,0.4338485000000001
Sonata Software Ltd.,532221,0.427375
India Tourism Devp. Corpn. Ltd.,532189,0.4200779999999999
Sheela Foam Ltd.,540203,0.4192279999999999
Tata Elxsi Ltd.,500408,0.4143920000000001
Bharat Forge Ltd.,500493,0.407485
KNR Constructions Ltd.,532942,0.40340865085881683
Housing Development Finance Corpn. Ltd.,500010,0.38980800000000015
Shriram City Union Finance Ltd.,532498,0.38907015839753134
NBCC India Ltd.,534309,0.3888
ABB India Ltd.,500002,0.38834599999999975
Fine Organic Industries Ltd.,541557,0.38375
Shriram Transport Finance Co. Ltd.,511218,0.3802781841879755
Aarti Industries Ltd.,524208,0.379595
Interglobe Aviation Ltd.,539448,0.3754479538093429
Thermax Ltd.,500411,0.3745970000000001
India Cements Ltd.,530005,0.37347200000000014
GAIL (India) Ltd.,532155,0.37035599999999974
3M India Ltd.,523395,0.3611625
Chennai Petroleum Corpn. Ltd.,500110,0.3604917576082534
JTEKT India Ltd.,520057,0.36013399999999995
Jammu & Kashmir Bank Ltd.,532209,0.3525106494502947
Birla Corporation Ltd.,500335,0.3522229229665756
DCM Shriram Ltd.,523367,0.35041399999999995
Vinati Organics Ltd.,524200,0.3490249308747151
Welspun India Ltd.,514162,0.34892450000000014
Esab India Ltd.,500133,0.3470375
Maharashtra Scooters Ltd.,500266,0.3411825
Container Corpn. Of India Ltd.,531344,0.33545169448288886
AIA Engineering Ltd.,532683,0.33529
Blue Dart Express Ltd.,526612,0.3352875
Sequent Scientific Ltd.,512529,0.33426486314649284
BASF India Ltd.,500042,0.3318674959411709
TVS Srichakra Ltd.,509243,0.3318120000000001
Indoco Remedies Ltd.,532612,0.33136600000000005
Great Eastern Shipping Company Ltd.,500620,0.33042
