Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Varroc Engineering Pvt Ltd.,541578,90,0.40697950980392156,-0.1477389885007534,0.2978387902828057,0.34685276868495774 to 0.5281937946738108
Indiamart Intermesh Ltd.,542726,90,0.3849751219512195,-0.2718239803868023,0.20278468029187804,0.2803296519525444 to 0.4630421789764243
Tube Investments Of India Ltd.,540762,90,0.28990027999999995,-0.198311487393927,0.05552484919845676,0.23240972427728404 to 0.3059969493295904
KPIT Technologies Ltd.,542651,90,0.22093791509433963,-0.15124072065004346,0.39530196154922065,0.18752310559655358 to 0.3082751063117272
AU Small Finance Bank Ltd.,540611,90,0.19249675903824717,-0.5843928905144933,0.11016042113356596,0.08000302160921399 to 0.21370228308074707
Laurus Labs Ltd.,540222,90,0.19233960138888892,-0.3848150283429525,0.16458266122628684,0.11832443222895143 to 0.22399536484467547
Lemon Tree Hotels Ltd.,541233,90,0.16546077734375,-0.15776872996398625,0.2541980973235826,0.13935624064337265 to 0.2075205921262122
Galaxy Surfactants Ltd.,540935,90,0.15795135114503817,-0.11850751442876263,0.11587330258402533,0.13923292912017501 to 0.1762536958498228
Ujjivan Financial Services Ltd.,539874,90,0.15392064176245207,-0.020939231292490527,0.2653866910117055,0.15069766184389952 to 0.19476913155818737
Rail Vikas Nigam Ltd.,542649,90,0.1468715882920956,-0.03920660370833842,0.08012493740235867,0.14111325213391318 to 0.15863966511018476
Orient Electric Ltd.,541301,90,0.1424227684068191,-0.054064482643289086,0.04526094380332901,0.13472275511627946 to 0.14886895732399472
RBL Bank Ltd.,540065,90,0.12687507081545066,-0.2823392175612483,0.18472245028019801,0.09105326259338836 to 0.15031174477595435
Affle (India) Ltd.,542752,90,0.12362766129032259,-0.049377912162094986,0.018736462837904932,0.11752318549032381 to 0.12594400637182582
Avenue Supermarts Ltd.,540376,90,0.11938138249999994,-0.0687140700647126,0.19992549344296262,0.11117820181847268 to 0.1432487643042155
Alok Industries Ltd.,521070,90,0.10770839967110225,-0.9326409850198253,0.291234233947778,0.007255131706936422 to 0.13907677293905682
Sheela Foam Ltd.,540203,90,0.10071611835748792,-0.20580934708898652,0.3189188301395296,0.07998779979699623 to 0.13283638500025238
Endurance Technologies Ltd.,540153,90,0.08777040528634361,-0.0884144136369065,0.559351527063619,0.0800102363682779 to 0.13686491551425264
Dilip Buildcon Ltd.,540047,90,0.08734054468085106,0.08734054468085106,0.5473858884423851,0.08734054468085106 to 0.13514952632802057
Minda Corporation Ltd.,538962,90,0.08687368562874251,-0.0570786139796639,0.1412184817689456,0.08191505606174884 to 0.0991418556189062
IFB Industries Ltd.,505726,90,0.08648398970944311,-0.14126164751955253,0.30007552315824265,0.07426711883902315 to 0.11243571816631633
Aster DM Healthcare Ltd.,540975,90,0.08577999206349206,-0.07448963074359922,0.040082930616936484,0.07939027212949366 to 0.08921830553369438
Chalet Hotel Ltd.,542399,90,0.08496409375,-0.11429527968768248,0.19075856092800605,0.07525309889143326 to 0.10117172200430219
Tata Consultancy Services Ltd.,532540,90,0.08297359363957597,-0.4070366776300025,0.566881953873049,0.049200297753501064 to 0.1300098265218472
TCI Express Ltd.,540212,90,0.07294504398148147,-0.02279914980148362,0.2906903443707798,0.07128195899647186 to 0.0941494639366
PNC Infratech Ltd.,539150,90,0.06664183280254775,-0.15397288107999677,0.08785663169276138,0.05638079780548804 to 0.07249675976241177
Allcargo Logistics Ltd.,532749,90,0.06262318450932164,-0.09342516053762395,0.1653024202029892,0.05677260344316102 to 0.07297494846953084
IRB Infrastructure Developers Ltd.,532947,90,0.060018412531017376,-0.37672166890043046,0.32141622758834243,0.037408175997578 to 0.07930930427257789
Phillips Carbon Black Ltd.,506590,90,0.0587283325,-0.09563592738410129,0.8792055462982657,0.053111793957640645 to 0.1103626081588487
Alkyl Amines Chemicals Ltd.,506767,90,0.05523364713375795,-0.12321865049379817,0.37261354454293893,0.048427831672085656 to 0.07581445217030144
Procter & Gamble Health Ltd.,500126,90,0.05443186137440758,-0.15997033413539613,0.1819325237277773,0.04572437832273203 to 0.06433478728545407
Bharat Dynamics Ltd.,541143,90,0.052696522675986304,-0.044086936272075085,0.11181388591471327,0.05037329443901014 to 0.05858872565058114
Indiabulls Housing Finance Ltd.,535789,90,0.04962193820224719,-0.25088572043804563,0.158133723212748,0.03717250248684422 to 0.05746884004320143
Housing & Urban Development Corpn. Ltd.,540530,90,0.04842045329670329,-0.030770992334874347,0.10725086402711936,0.04693050789945929 to 0.053613588749359495
IFCI Ltd.,500106,90,0.04825027072289157,0.04825027072289157,0.7061090392263927,0.04825027072289157 to 0.08232022302544588
LIC Housing Finance Ltd.,500253,90,0.047171050707547166,-0.06019650432918323,0.40595757707430297,0.04433151834941818 to 0.06632049616083209
Schneider Electric Infrastructure Ltd.,534139,90,0.04623790677966101,-0.11451425008261808,0.17992496112637466,0.04094300755939813 to 0.05455726035955646
L&T Technology Services Ltd.,540115,90,0.04508302145922747,-0.02557911599053208,0.2423159193360985,0.04392983762411824 to 0.05600735525056923
Cipla Ltd.,500087,90,0.04338538207547169,-0.1482463606489077,0.1636506182588793,0.03695365707742066 to 0.050485426675520334
Force Motors Ltd.,500033,90,0.0428529730861244,-0.015732618516609752,0.397008684803849,0.04217878360825786 to 0.05986597557098139
UFLEX Ltd.,500148,90,0.04242767912218268,-0.1366068873015287,0.19639578480059072,0.03663176594187324 to 0.050760296460651375
