Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e
2021-01-01,275.0,280.0,274.6,279.35,278.21451847386555,1108133,7467,308298689.0,190252,17.17,5.4,4.35,1609439400.0,0.09,0.6085555754429928,18389.08,0.4862268512194179,0.14499571001735895,39.681403257562174,5.3410502319855,38.83002350083862,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-04,281.2,283.85,277.95,281.05,281.37021248683567,1372085,9153,386063848.0,185454,13.52,5.9,-0.15,1609698600.0,0.09,0.6085555754429928,18582.91,1.0540494684889046,0.14466844849971588,38.83650595979362,4.2422849812004735,38.145801333834676,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-05,278.7,282.4,277.1,281.75,279.6539174931965,1142427,7451,319484186.0,162405,14.22,5.3,3.05,1609785000.0,0.09,0.24906600249066102,18701.75,0.6395123261103919,0.14266335095885385,38.491570541259975,3.5798788883393278,37.90369272460892,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-06,283.45,289.05,281.4,284.9,285.7207973428855,1726384,11898,493263813.0,251135,14.55,7.65,1.45,1609871400.0,0.09,1.1180124223602483,18658.66,-0.2304062454048461,0.14207924845142908,36.96033696033696,3.819084543048645,36.34051143104877,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-07,289.3,291.8,287.0,287.75,289.0368144907231,2099771,10666,606911121.0,311752,14.85,4.8,-1.55,1609957800.0,0.09,1.0003510003510074,18707.68,0.2627198308988943,0.141720609889064,35.60382276281493,3.547045919109149,35.02388810674428,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-08,289.5,291.45,285.1,286.0,287.6466875300522,3926496,17841,1129443568.0,700797,17.85,6.35,-3.5,1610044200.0,0.08,-0.6081668114682914,18953.86,1.3159301420593073,0.14155401607140977,36.43356643356643,2.2021371899971776,36.053169391667836,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-11,287.7,287.7,279.55,282.35,282.0324085324992,4073742,13827,1148927268.0,662091,16.25,8.15,-5.35,1610303400.0,0.08,-1.2762237762237727,19081.06,0.6711034058497933,0.13882754985991877,38.19727288825925,1.5208274592711346,37.917246342317746,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-12,280.45,293.75,278.05,292.65,286.2938851272819,1746594,11379,500039182.0,751876,43.05,15.7,12.2,1610389800.0,0.09,3.6479546661944307,19169.98,0.4660118463020391,0.13957647136394516,33.33333333333335,1.049922848119822,33.10935068941116,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-13,295.4,308.05,294.6,306.7,300.93556255241674,5580280,51724,1679304701.0,2141036,38.37,13.45,11.3,1610476200.0,0.09,4.800956774303788,19143.46,-0.13834130239051,0.14138075994032395,27.22530159765244,1.189910287899898,26.97979544528297,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-14,306.7,309.25,303.8,307.2,306.99909625547696,2019376,11787,619946607.0,848655,42.03,5.45,0.5,1610562600.0,0.09,0.16302575806976805,19185.93,0.22185122229734236,0.14652542309029915,27.018229166666675,0.9659161687757712,26.79988517944517,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-15,307.4,310.8,301.5,303.8,306.65924357580855,1961492,12848,601509653.0,334218,17.04,9.3,-3.6,1610649000.0,0.09,-1.106770833333326,18968.73,-1.1320796020834023,0.1464616526987296,28.43976300197497,2.1220187118484057,28.052150183122908,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-18,303.25,308.65,292.2,294.1,299.5248129652528,1927984,17737,577479047.0,399520,20.72,16.45,-9.15,1610908200.0,0.09,-3.192890059249498,18713.54,-1.3453193756250317,0.14428839255922807,32.675960557633445,3.5146209642857418,32.09182750357202,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
2021-01-19,297.7,302.5,296.35,298.6,299.0095656596436,1824652,12629,545588402.0,322418,17.67,6.15,0.9,1610994600.0,0.09,1.530091805508338,19049.36,1.7945295224740976,0.14544116037405797,30.676490288010694,1.6897680551997585,30.35381816573309,0,,,,,,2021,273759.3,325970.0,-242615.3,35240.4,60.57,609727.7,717625.4,-547512.3,82621.8,135.22,1313434.9,1573111.0,-1218957.1,183039.5,293.43,
