Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Upper Band,Lower Band,Band Area
2007-01-23,3610.0,3610.0,3570.0,3576.2,3588.4678913244825,6478,591,23246095.0,1279.0,19.74,40.0,-33.8,5.14,-0.28718806635996685,,,nan,-58.832000447402265,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-24,3620.0,3636.0,3560.0,3572.85,3605.581968503936,12700,972,45790891.0,2158.0,16.99,76.0,-47.15,5.13,-0.09367485039986079,,,nan,-58.79340022670977,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-25,3615.0,3618.0,3582.0,3597.45,3597.479985219855,8119,557,29207940.0,2332.0,28.72,36.0,-17.55,5.14,0.6885259666652654,,,nan,-59.075178251261306,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-29,3600.0,3630.0,3580.05,3602.25,3618.1229685807148,7384,489,26716220.0,2998.0,40.6,49.95,2.25,5.14,0.1334278447233439,,,nan,-59.129710597543195,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-31,3625.0,3649.0,3570.1,3620.85,3616.1424495857427,25588,1096,92529853.0,15539.0,60.73,78.9,-4.15,5.12,0.5163439516968626,,,nan,-59.3396578151539,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-01,3649.0,3825.0,3614.0,3802.75,3738.0376986918,49763,4213,186015970.0,10444.0,20.99,211.0,153.75,5.13,5.023682284546438,,,nan,-61.28459667346,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-02,3800.0,3850.0,3726.25,3752.75,3796.5669271966854,52841,3432,200614393.0,8555.0,16.19,123.75,-47.25,5.14,-1.314837946223124,,,nan,-60.76876956898274,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-05,3773.0,3850.0,3753.0,3802.2,3810.3102621566686,38374,2699,146216846.0,8104.0,21.12,97.0,29.2,5.15,1.3177003530744136,,,nan,-61.27899637052232,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-06,3802.2,3865.0,3777.0,3794.6,3817.941341250269,41767,2642,159463956.0,2616.0,6.26,88.0,-7.6,5.14,-0.1998842775235321,,,nan,-61.20144415748696,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-07,3805.0,3825.0,3782.5,3806.35,3810.866216167643,27821,1147,106022109.0,13526.0,48.62,42.5,1.35,5.15,0.30965055605334246,,,nan,-61.32121323577706,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-08,3830.0,3935.5,3803.0,3830.85,3878.910554705741,99368,5152,385439584.0,33804.0,34.02,132.5,0.85,5.16,0.6436612502791483,,,nan,-61.56858138533223,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-09,3890.0,3900.0,3760.0,3836.25,3839.061227216338,52395,3838,201147613.0,6215.0,11.86,140.0,-53.75,5.15,0.14096088335486812,,,nan,-61.62267839687195,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-12,3850.0,3850.0,3670.5,3695.1,3740.6173206327007,34329,2454,128411652.0,8634.0,25.15,179.5,-154.9,5.18,-3.679374389051815,,,nan,-60.15669400016237,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-13,3725.0,3789.0,3640.0,3688.2,3725.359108960608,43814,2440,163222884.0,13177.0,30.07,149.0,-36.8,5.17,-0.18673378257693107,,,nan,-60.08215389620953,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-14,3695.0,3750.0,3642.0,3727.55,3699.684151739544,24173,1660,89432465.0,5747.0,23.77,108.0,32.55,5.16,1.0669161108399772,,,nan,-60.503547906802055,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-15,3750.0,3824.9,3749.9,3800.95,3804.854939871449,38584,1453,146806523.0,19349.0,50.15,75.0,50.95,5.17,1.9691218092312557,,,nan,-61.266262381772975,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-19,4000.0,4000.0,3848.8,3916.7,3896.884769122074,103323,5303,402637825.0,45773.0,44.3,151.2,-83.3,,3.045291308751752,,,nan,-62.41095820461102,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-20,3980.0,3980.0,3810.0,3824.6,3864.982077414868,37383,3069,144484625.0,13789.0,36.89,170.0,-155.4,5.19,-2.3514693491970218,,,nan,-61.50577838205302,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-21,3840.0,3898.0,3802.1,3848.05,3854.822534172372,43383,3268,167233766.0,9763.0,22.5,95.9,8.05,5.18,0.6131360142237252,,,nan,-61.74036200153324,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-22,3850.0,3875.0,3770.0,3795.7,3832.143503984545,16564,1550,63475625.0,6038.0,36.45,105.0,-54.3,5.19,-1.3604293083509966,,,nan,-61.21268804173143,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-23,3810.0,3844.5,3651.1,3707.15,3740.365645636864,41037,2753,153493385.0,17766.0,43.29,193.4,-102.85,5.18,-2.3329030218404934,,,nan,-60.286203687468806,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-26,3700.0,3750.0,3651.0,3691.1,3689.5168050767775,25528,2042,94185985.0,8503.0,33.31,99.0,-8.9,5.19,-0.43294714268373724,,,nan,-60.11351629595514,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-27,3738.0,3738.0,3675.0,3693.15,3701.1244758241432,98011,1460,362750911.0,84601.0,86.32,63.0,-44.85,5.14,0.05553899921433292,,,nan,-60.135656553348774,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-02-28,3650.0,3695.0,3455.0,3623.2,3647.3434014324293,34068,3042,124257695.0,11381.0,33.41,240.0,-26.8,5.16,-1.8940470871749104,,,nan,-59.36603002870391,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-01,3620.0,3655.0,3525.0,3608.1,3582.692655248502,28551,2485,102289458.0,8646.0,30.28,130.0,-11.9,5.15,-0.41675866637226333,,,nan,-59.195975721293756,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-02,3625.0,3685.0,3510.0,3541.55,3614.840658001625,24620,1953,88997377.0,11093.0,45.06,175.0,-83.45,5.12,-1.8444610736952916,,,nan,-58.42921884485607,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-05,3499.0,3499.9,3310.0,3343.2,3373.069573159266,37227,3912,125569261.0,13305.0,35.74,189.9,-155.8,5.1,-5.600655080402661,,,nan,-55.96284996410624,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-06,3400.0,3480.0,3330.0,3359.2,3388.236504709348,24101,2329,81659888.0,6226.0,25.83,150.0,-40.8,5.14,0.4785833931562511,,,nan,-56.172600619195045,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-07,3515.25,3515.25,3220.0,3250.25,3314.879961416168,27991,2490,92786805.0,9277.0,33.14,295.25,-265.0,5.12,-3.2433317456537214,,,nan,-54.7034843473579,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-08,3270.0,3435.0,3190.0,3413.55,3304.03370631846,50851,4260,168013418.0,10234.0,20.13,245.0,143.55,5.1,5.024228905468808,,,nan,-56.870413499143126,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-09,3410.0,3509.9,3358.15,3487.25,3426.8840600126787,28394,2892,97302946.0,4839.0,17.04,151.75,77.25,5.1,2.1590426388949924,,,nan,-57.781919850885366,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-12,3500.0,3640.0,3463.0,3592.65,3549.5426538716083,30220,2777,107267179.0,7369.0,24.38,177.0,92.65,5.09,3.022438884507861,,,nan,-59.0205001878836,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-13,3601.0,3675.0,3556.0,3668.3,3625.164313268797,27478,2326,99612265.0,4849.0,17.65,119.0,67.3,5.09,2.105688001892747,,,nan,-59.86560532126599,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-14,3600.0,3600.0,3495.0,3523.95,3554.0972234991273,21754,1920,77315831.0,7920.0,36.41,105.0,-76.05,5.06,-3.935065289098505,,,nan,-58.221597922785506,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-15,3554.8,3614.0,3460.0,3486.35,3544.350285148701,21217,1611,75200480.0,6009.0,28.32,154.0,-68.45,5.05,-1.066984491834444,,,nan,-57.77102126866207,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-16,3500.0,3520.0,3422.1,3463.75,3468.473333333333,18300,1870,63473062.0,2040.0,11.15,97.9,-36.25,5.04,-0.6482424311959445,,,nan,-57.495488993143276,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-19,3535.0,3558.0,3477.0,3539.65,3514.3580484056856,10412,1125,36591496.0,1964.0,18.86,81.0,4.65,5.06,2.1912666907253797,,,nan,-58.406904637464166,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-20,3545.0,3580.0,3519.0,3530.3,3546.7406853209636,13366,1012,47405736.0,3194.0,23.9,61.0,-14.7,5.06,-0.2641504103513048,,,nan,-58.2967453190947,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-21,3527.0,3554.0,3480.5,3499.05,3500.764066293678,37892,1308,132650952.0,25319.0,66.82,73.5,-27.95,5.05,-0.8851938928702952,,,nan,-57.92429373687145,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-22,3526.0,3615.05,3521.0,3590.2,3577.6071434067358,64983,2790,232483645.0,25543.0,39.31,94.05,64.2,5.06,2.6049927837555886,,,nan,-58.99253523480586,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-23,3594.25,3634.95,3564.0,3599.95,3604.604760774473,29491,2225,106303399.0,5876.0,19.92,70.95,5.7,5.08,0.2715726143390329,,,nan,-59.10359866109252,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-26,3565.0,3640.0,3565.0,3587.4,3598.015429026478,10046,950,36145663.0,1002.0,9.97,75.0,22.4,5.06,-0.34861595299934267,,,nan,-58.960528516474334,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-28,3555.0,3585.0,3545.0,3555.55,3562.712345969704,12741,768,45392518.0,6450.0,50.62,40.0,0.55,5.06,-0.887829625912917,,,nan,-58.592904051412575,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-29,3550.0,3589.0,3475.0,3507.2,3538.966337358215,10932,1069,38687980.0,2686.0,24.57,114.0,-42.8,5.05,-1.3598458747591913,,,nan,-58.02206888686131,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-03-30,3545.0,3570.0,3519.0,3551.0,3540.2036611393846,12182,1125,43126761.0,2228.0,18.29,51.0,6.0,5.04,1.2488594890510907,,,nan,-58.53984793016052,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-04-02,3525.0,3525.0,3381.0,3398.6,3447.2006332951555,14843,1721,51166799.0,5057.0,34.07,144.0,-126.4,5.04,-4.2917488031540385,,,nan,-56.6806920496675,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-04-03,3449.0,3475.0,3390.0,3443.3,3440.5451938199653,10809,1195,37188853.0,2542.0,23.52,85.0,-5.7,5.05,1.3152474548343562,,,nan,-57.243051723637215,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
