Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Upper Band,Lower Band,Band Area
2007-01-02,3735.0,3776.0,3700.0,3714.05,3742.739450554508,21731,1881,81333471.0,2454.0,11.29,76.0,-20.95,5.07,,,,nan,-60.35998438362435,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,3714.05,,
2007-01-03,3710.0,3739.0,3645.0,3653.65,3673.477501678979,28291,1736,103926352.0,9866.0,34.87,94.0,-56.35,5.05,-1.626257050928237,,,nan,-59.70467888276107,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-04,3668.0,3684.0,3625.0,3645.15,3652.2057683361763,19347,1221,70659225.0,7468.0,38.6,59.0,-22.85,5.04,-0.23264406826050132,,,nan,-59.61071560841118,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-05,3650.0,3675.0,3576.2,3592.7,3635.1461906834998,22970,1374,83499308.0,7808.0,33.99,98.8,-57.3,5.05,-1.438898262074273,,,nan,-59.02107050407771,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-08,3600.0,3600.0,3505.0,3554.15,3550.702060085837,23300,1919,82731358.0,4465.0,19.16,95.0,-45.85,5.08,-1.0730091574581713,,,nan,-58.57659355964155,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-09,3570.0,3595.0,3500.0,3535.7,3542.280045687212,23639,1930,83735958.0,3826.0,16.19,95.0,-34.3,5.08,-0.5191114612495329,,,nan,-58.36043781995078,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-10,3545.0,3545.0,3451.0,3472.9,3500.284757778653,17773,1561,62210561.0,4768.0,26.83,94.0,-72.1,5.09,-1.7761687926011738,,,nan,-57.60747502087593,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-11,3475.0,3554.9,3440.0,3539.05,3498.488157025573,21194,1901,74146958.0,2379.0,11.22,114.9,64.05,5.11,1.9047481931526944,,,nan,-58.39985306791371,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-12,3597.0,3650.0,3565.0,3619.25,3618.0549148053938,28699,2127,103834558.0,5698.0,19.85,85.0,22.25,5.09,2.2661448693858555,,,nan,-59.32168266906127,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-15,3638.0,3696.0,3630.0,3644.65,3662.546218692135,82088,2472,300651094.0,41093.0,50.06,66.0,6.65,,0.7018028597085113,,,nan,-59.605174708133845,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-16,3661.0,3689.0,3562.1,3576.35,3609.742387838016,22891,1774,82630613.0,3849.0,16.81,126.9,-84.65,5.11,-1.8739796688296617,,,nan,-58.83372712402309,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-17,3580.0,3655.0,3580.0,3634.4,3630.1310396308363,29472,1555,106987222.0,11898.0,40.37,75.0,54.4,5.12,1.623163280998785,,,nan,-59.49125027514859,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-18,3654.9,3670.0,3575.0,3592.6,3629.8727829340583,20579,1120,74699152.0,5892.0,28.63,95.0,-62.3,5.12,-1.1501210653753091,,,nan,-59.01992985581472,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-19,3600.0,3625.0,3580.0,3599.3,3601.4803404570257,10809,946,38928401.0,2797.0,25.88,45.0,-0.7,5.14,0.18649446083616184,,,nan,-59.09621315255744,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
2007-01-22,3610.0,3634.0,3578.0,3586.5,3600.2172513678797,6214,580,22371750.0,536.0,8.63,56.0,-23.5,5.13,-0.3556247048037142,,,nan,-58.950230029276455,,,0.0,,,,,,2007,31515.870000000003,32312.629999999997,-28058.14,2495.0299999999997,12.77,69189.65000000001,85663.11,-61079.880000000005,5474.139999999999,26.83,132104.07,148760.81,-118649.76000000001,9020.519999999999,43.57,,,,
