Date,Open,High,Low,Close,% Return,% YTD
2007-01-02,5269.98,5328.4,5269.01,5318.06,,265.67958992564957
2007-01-03,5326.74,5354.9,5306.09,5348.41,0.5706968330556617,263.6045104993821
2007-01-04,5358.1,5369.9,5311.66,5319.7,-0.5367950475000938,265.5668552737937
2007-01-05,5298.85,5363.28,5294.2,5311.68,-0.15076038122450175,266.1188173986385
2007-01-08,5312.75,5312.75,5231.1,5247.25,-1.2129872281462784,270.61432178760305
2007-01-09,5248.39,5291.59,5190.16,5214.31,-0.6277573967316097,272.9555780151161
2007-01-10,5211.76,5216.02,5135.19,5142.8,-1.3714182701066946,278.1414793497706
2007-01-11,5140.77,5250.57,5132.87,5240.28,1.895465505172278,271.10726907722494
2007-01-12,5269.13,5376.32,5269.13,5371.94,2.512461166197233,262.01186163657826
2007-01-15,5393.44,5436.43,5393.44,5418.92,0.8745443917839824,258.87335483823347
2007-01-16,5430.15,5450.25,5405.33,5423.56,0.08562591807961262,258.5663291269941
2007-01-17,5432.81,5462.93,5426.25,5444.55,0.3870151708471825,257.1839729637895
2007-01-18,5456.33,5510.76,5435.33,5463.9,0.35540127283244516,255.91903219312218
2007-01-19,5484.06,5499.41,5405.57,5439.81,-0.4408938670180551,257.49520663405525
2007-01-22,5451.55,5468.07,5417.02,5450.28,0.1924699575904132,256.8084575471352
2007-01-23,5455.79,5455.79,5380.23,5386.6,-1.1683803400926118,261.0266216166042
2007-01-24,5396.42,5432.87,5390.55,5415.21,0.5311328110496394,259.11922159990104
2007-01-25,5429.94,5485.31,5426.57,5478.94,1.1768703337451392,254.9420143312393
2007-01-29,5488.14,5498.39,5451.48,5459.54,-0.3540830890646718,256.2032698725534
2007-01-31,5472.09,5479.69,5396.26,5408.71,-0.9310308194463213,259.5507986192641
2007-02-01,5425.12,5469.73,5410.42,5467.41,1.085286510092054,255.690537201344
2007-02-02,5476.68,5539.0,5476.68,5517.89,0.9232890893494439,252.4365291805382
2007-02-05,5528.59,5560.23,5511.2,5557.04,0.7095103381908663,249.95357240545331
2007-02-06,5567.4,5583.09,5543.29,5551.89,-0.0926752371766204,250.27819355210568
2007-02-07,5562.46,5602.38,5558.02,5595.7,0.7891006486079322,247.53578640742
2007-02-08,5611.18,5616.06,5554.47,5592.49,-0.057365477062742976,247.73526640190687
2007-02-09,5602.14,5616.67,5511.35,5526.8,-1.1746109514724101,251.86835058261562
2007-02-12,5515.29,5515.29,5332.17,5346.76,-3.2575812405008286,263.7167181620271
2007-02-13,5339.41,5419.96,5263.91,5310.42,-0.6796639460159071,266.2056861792476
2007-02-14,5277.34,5300.42,5189.66,5289.1,-0.4014748362653031,267.6818362292261
2007-02-15,5321.13,5432.09,5321.13,5428.32,2.6322058573292173,258.2519085094468
2007-02-19,5446.88,5477.68,5429.71,5439.33,0.20282518348218037,257.5267542142139
2007-02-20,5451.98,5460.32,5373.34,5381.43,-1.0644693372161562,261.37346393059096
2007-02-21,5370.07,5409.22,5353.02,5366.5,-0.2774355515169802,262.3788316407342
2007-02-22,5370.76,5401.33,5287.07,5301.6,-1.209354327774148,266.8149237965897
