Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-January-2007,3735.0,3776.0,3700.0,3714.05,3742.739450554508,21731,1881,81333471.0,2454.0,11.29,76.0,-20.95
3-January-2007,3710.0,3739.0,3645.0,3653.65,3673.477501678979,28291,1736,103926352.0,9866.0,34.87,94.0,-56.35
4-January-2007,3668.0,3684.0,3625.0,3645.15,3652.2057683361763,19347,1221,70659225.0,7468.0,38.6,59.0,-22.85
5-January-2007,3650.0,3675.0,3576.2,3592.7,3635.1461906834998,22970,1374,83499308.0,7808.0,33.99,98.8,-57.3
8-January-2007,3600.0,3600.0,3505.0,3554.15,3550.702060085837,23300,1919,82731358.0,4465.0,19.16,95.0,-45.85
9-January-2007,3570.0,3595.0,3500.0,3535.7,3542.280045687212,23639,1930,83735958.0,3826.0,16.19,95.0,-34.3
10-January-2007,3545.0,3545.0,3451.0,3472.9,3500.284757778653,17773,1561,62210561.0,4768.0,26.83,94.0,-72.1
11-January-2007,3475.0,3554.9,3440.0,3539.05,3498.488157025573,21194,1901,74146958.0,2379.0,11.22,114.9,64.05
12-January-2007,3597.0,3650.0,3565.0,3619.25,3618.0549148053938,28699,2127,103834558.0,5698.0,19.85,85.0,22.25
15-January-2007,3638.0,3696.0,3630.0,3644.65,3662.546218692135,82088,2472,300651094.0,41093.0,50.06,66.0,6.65
16-January-2007,3661.0,3689.0,3562.1,3576.35,3609.742387838016,22891,1774,82630613.0,3849.0,16.81,126.9,-84.65
17-January-2007,3580.0,3655.0,3580.0,3634.4,3630.1310396308363,29472,1555,106987222.0,11898.0,40.37,75.0,54.4
18-January-2007,3654.9,3670.0,3575.0,3592.6,3629.8727829340583,20579,1120,74699152.0,5892.0,28.63,95.0,-62.3
19-January-2007,3600.0,3625.0,3580.0,3599.3,3601.4803404570257,10809,946,38928401.0,2797.0,25.88,45.0,-0.7
22-January-2007,3610.0,3634.0,3578.0,3586.5,3600.2172513678797,6214,580,22371750.0,536.0,8.63,56.0,-23.5
23-January-2007,3610.0,3610.0,3570.0,3576.2,3588.4678913244825,6478,591,23246095.0,1279.0,19.74,40.0,-33.8
24-January-2007,3620.0,3636.0,3560.0,3572.85,3605.581968503936,12700,972,45790891.0,2158.0,16.99,76.0,-47.15
25-January-2007,3615.0,3618.0,3582.0,3597.45,3597.479985219855,8119,557,29207940.0,2332.0,28.72,36.0,-17.55
