,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
184,500358,,RAMAPETRO,RAMA PETROCHEMICALS LTD.,Active,XT,10.0,INE783A01013,Finance (including NBFCs),Equity
185,500360,,RAPICUT,RAPICUT CARBIDES LTD.,Active,X ,10.0,INE350D01015,Industrial Machinery,Equity
186,500365,,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,X ,6.0,INE731F01037,Iron & Steel/Interm.Products,Equity
187,500366,,ROLTA,ROLTA INDIA LTD.,Active,B ,10.0,INE293A01013,Internet Software & Services,Equity
188,500367,,RUBFILA,RUBFILA INTERNATIONAL LTD.,Active,X ,5.0,INE642C01025,Auto Tyres & Rubber Products,Equity
189,500368,,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,Active,B ,2.0,INE619A01035,Edible Oils,Equity
190,500370,,SALORAINTL,SALORA INTERNATIONAL LTD.,Active,XT,10.0,INE924A01013,Comm.Trading  & Distribution,Equity
191,500378,,JINDALSAW,JINDAL SAW LTD.,Active,A ,2.0,INE324A01024,Construction & Engineering,Equity
192,500380,,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A ,5.0,INE786A01032,Cement & Cement Products,Equity
193,500387,,SHREECEM,SHREE CEMENT LTD.,Active,A ,10.0,INE070A01015,Cement & Cement Products,Equity
194,500388,,SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,Active,XT,10.0,INE970C01012,Paper & Paper Products,Equity
195,500390,,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,A ,10.0,INE036A01016,Electric Utilities,Equity
196,500400,,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.0,INE245A01021,Electric Utilities,Equity
197,500402,,SPMLINFRA,SPML Infra Limited,Active,B ,2.0,INE937A01023,Construction & Engineering,Equity
198,500403,,SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,A ,1.0,INE387A01021,Auto Parts & Equipment,Equity
199,500404,,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Active,A ,10.0,INE947A01014,Iron & Steel/Interm.Products,Equity
200,500405,,SUPPETRO,SUPREME PETROCHEM LTD.,Active,A ,10.0,INE663A01017,Petrochemicals,Equity
201,500407,,SWARAJENG,SWARAJ ENGINES LTD.,Active,A ,10.0,INE277A01016,Auto Parts & Equipment,Equity
202,500408,,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.0,INE670A01012,IT Software Products,Equity
203,500410,,ACC,ACC LTD.,Active,A ,10.0,INE012A01025,Cement & Cement Products,Equity
204,500411,,THERMAX,THERMAX LTD.,Active,A ,2.0,INE152A01029,Heavy Electrical Equipment,Equity
205,500412,,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,A ,1.0,INE338A01024,Commodity Chemicals,Equity
206,500413,,THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,A ,1.0,INE332A01027,Travel Support Services,Equity
207,500414,,TIMEX,TIMEX GROUP INDIA LTD.-$,Active,X ,1.0,INE064A01026,Other Apparels & Accessories,Equity
208,500418,,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Active,B ,10.0,INE932C01012,Plastic Products,Equity
209,500420,,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,A ,5.0,INE685A01028,Pharmaceuticals,Equity
210,500422,,TRANSCHEM,TRANSCHEM LTD.-$,Active,X ,10.0,INE019B01010,Pharmaceuticals,Equity
211,500425,,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.0,INE079A01024,Cement & Cement Products,Equity
212,500426,,UTLINDS,UTL Industries Limited,Active,XT,1.0,INE184E01024,Realty,Equity
213,500429,,UNIPHOS,UNIPHOS ENTERPRISES LTD.,Active,B ,2.0,INE037A01022,Comm.Trading  & Distribution,Equity
214,500439,,VHL,VARDHMAN HOLDINGS LTD.,Active,B ,10.0,INE701A01023,Finance (including NBFCs),Equity
215,500440,,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.0,INE038A01020,Aluminium,Equity
