DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
15022021,500002,7376,10859316,16647,24689726,44.31
15022021,500003,4733,1405938,13803,4095790,34.29
15022021,500008,53767,49890400,171325,159459806,31.38
15022021,500009,104027,2070138,127057,2540782,81.87
15022021,500010,27351,78234801,101208,288119809,27.02
15022021,500012,102716,5104986,128786,6472867,79.76
15022021,500013,135639,1062054,199103,1546277,68.12
15022021,500014,4561,7800,4561,8156,100.0
15022021,500016,429,2702,429,2702,100.0
15022021,500020,51873,3719295,194313,13992620,26.7
15022021,500023,1137,82433,4740,351118,23.99
15022021,500027,1698,11393411,3767,25731737,45.08
15022021,500028,11198,53870,11198,53870,100.0
15022021,500029,3131,88916,3131,88916,100.0
15022021,500031,111102,118851365,135910,146235321,81.75
15022021,500032,221935,1353804,436417,2677925,50.85
15022021,500033,6082,8238374,10541,14318263,57.7
15022021,500034,19394,112110896,128734,737123672,15.07
15022021,500038,24904,3912419,79819,12672155,31.2
15022021,500039,11008,1736512,20443,3252684,53.85
15022021,500040,5900,2727570,16525,7637518,35.7
15022021,500041,27,41930,31,48609,87.1
15022021,500042,5566,11400838,18139,36666152,30.69
15022021,500043,6519,10122052,40722,63111585,16.01
15022021,500048,4613,4423867,19905,19245385,23.18
15022021,500049,100561,13681325,1063709,145817907,9.45
15022021,500052,12875,1757438,118311,16304374,10.88
15022021,500055,82555,3496205,355836,15196578,23.2
15022021,500058,15561,27076,15561,27076,100.0
15022021,500060,8264,513195,15173,946742,54.47
15022021,500067,614,502836,1191,977483,51.55
15022021,500068,2619,11202773,3431,14635494,76.33
15022021,500069,2253,248619,2256,247898,99.87
15022021,500074,2632,57378,4257,93023,61.83
15022021,500078,3006,1948941,7683,5084878,39.13
15022021,500083,9997,46387,12795,58926,78.13
15022021,500084,2483,1550758,6853,4278909,36.23
15022021,500085,24238,5779552,53822,13009847,45.03
15022021,500086,215309,45688570,396573,84636580,54.29
15022021,500087,25804,21790188,112462,95478093,22.94
15022021,500089,812,318020,2762,1091092,29.4
15022021,500092,6474,13067769,9323,18704415,69.44
15022021,500093,207297,9473473,280244,12776486,73.97
15022021,500096,25910,13662343,67939,36257631,38.14
15022021,500097,3684,523681,5808,827725,63.43
15022021,500101,120407,8500735,296857,21228864,40.56
15022021,500102,1781406,2183633,1781406,2183633,100.0
15022021,500103,379702,14789393,1486770,57818219,25.54
15022021,500104,71957,16003237,204574,45684533,35.17
15022021,500106,561238,4770523,1214594,10354945,46.21
15022021,500108,108681,1363947,163807,2070147,66.35
15022021,500109,50047,1724120,79656,2776815,62.83
15022021,500110,28230,2687496,39973,3798741,70.62
15022021,500111,145229,1459552,316642,3180118,45.87
15022021,500112,2387143,971686559,5056823,2035396312,47.21
15022021,500113,1048054,65660584,2681848,171569146,39.08
15022021,500114,56813,84304811,361566,538505511,15.71
15022021,500116,195413,5657207,1001270,29054434,19.52
15022021,500117,42629,878158,70636,1464012,60.35
15022021,500119,13167,2134371,24038,3919264,54.78
15022021,500120,7031,2215469,8685,2770996,80.96
15022021,500123,4337,13094054,4485,13467687,96.7
15022021,500124,9398,44266460,40448,192096835,23.23
15022021,500125,6892,2165811,10799,3428403,63.82
15022021,500126,162,1206009,257,1916234,63.04
15022021,500128,20913,471589,26948,611650,77.6
15022021,500133,665,1241023,994,1874120,66.9
15022021,500135,14671,3353058,32879,7394878,44.62
15022021,500136,16890,1776828,73039,7737759,23.12
15022021,500142,100,175,100,175,100.0
15022021,500143,3121,64137,3121,64132,100.0
15022021,500144,25708,9919432,59407,23167801,43.27
15022021,500147,254,206007,339,278045,74.93
15022021,500148,5502,1955136,55409,19775653,9.93
15022021,500150,269,339008,334,421416,80.54
15022021,500151,5922,296693,23985,1175421,24.69
15022021,500153,39357,2444070,47884,3009767,82.19
15022021,500159,1789,95712,2566,136333,69.72
15022021,500160,77846,547258,110240,789376,70.62
15022021,500163,1496,1382529,6845,6332989,21.86
15022021,500164,5599,2512272,14309,6449837,39.13
15022021,500165,4360,2574798,9840,5778549,44.31
15022021,500166,8251,1862664,8928,2037295,92.42
15022021,500168,4120,4036158,6081,6042600,67.75
15022021,500171,4842,1016578,11406,2378800,42.45
15022021,500173,6640,613868,9504,875501,69.87
15022021,500174,5100,13566,5600,14097,91.07
15022021,500179,69793,621158,96216,850591,72.54
