DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
11022021,500252,541,3394234,896,5623939,60.38
11022021,500253,25250,10967338,102884,44918940,24.54
11022021,500257,9983,10565509,73232,77629734,13.63
11022021,500259,8165,257115,8165,257115,100.0
11022021,500260,16540,15572410,35687,33565505,46.35
11022021,500264,4753,464131,5671,561233,83.81
11022021,500265,1648,478909,2518,735654,65.45
11022021,500266,103,401664,210,818081,49.05
11022021,500267,4266,479925,4366,493088,97.71
11022021,500268,512031,25268730,1734296,86955398,29.52
11022021,500271,13013,10645936,121128,97507444,10.74
11022021,500277,1012,1447,1012,1447,100.0
11022021,500279,39791,550708,61413,837188,64.79
11022021,500280,1596,394851,2236,555676,71.38
11022021,500284,849,27584,849,27584,100.0
11022021,500285,105374,9241300,285006,25082695,36.97
11022021,500288,626588,19204923,1105860,33936185,56.66
11022021,500290,1249,112505924,7487,704080239,16.68
11022021,500292,8969,2047623,14576,3348836,61.53
11022021,500294,211368,19075962,697755,62463122,30.29
11022021,500295,234211,43984826,661434,123073932,35.41
11022021,500296,1791,142564,3668,293044,48.83
11022021,500298,2126,4140067,3085,6003188,68.91
11022021,500300,60375,74569163,103185,127464328,58.51
11022021,500302,41471,67732511,120541,197587126,34.4
11022021,500304,19290,3733580,25800,4998398,74.77
11022021,500306,95007,1961894,95007,1961894,100.0
11022021,500307,4868,1386894,12909,3675921,37.71
11022021,500312,269022,26754238,760772,75672368,35.36
11022021,500314,3486,83664,3607,86714,96.65
11022021,500317,4313,45675,4976,52930,86.68
11022021,500319,2949,71514,3209,77721,91.9
11022021,500325,925164,1901720861,1942646,3939137149,47.62
11022021,500327,13995,179836,22196,285267,63.05
11022021,500330,29215,9873210,47989,16241610,60.88
11022021,500331,11353,20115814,34660,61610008,32.76
11022021,500333,8730,3306051,11024,4213724,79.19
11022021,500335,5418,4505880,15461,12825184,35.04
11022021,500336,46784,16339312,76501,26290114,61.15
11022021,500337,265,11024,411,17060,64.48
11022021,500338,68727,7728352,154106,17274329,44.6
11022021,500339,32885,4475649,154935,21181430,21.22
11022021,500343,2644,66629,2782,70308,95.04
11022021,500346,457,10146,703,15504,65.01
11022021,500350,1953,305254,2084,321834,93.71
11022021,500354,550,8525,550,8522,100.0
11022021,500355,26615,7047652,42399,11250721,62.77
