,Company,Model,Method,Percentage
0,500112-SBIN,Linear Regression,LinearFIPValue0.05,0.5289532293986637
1,500112-SBIN,Ridge Regression,RidgeFIFValue10,0.5044543429844098
2,500112-SBIN,Lasso Regression,LassoFIFValue100,0.5111358574610245
3,500112-SBIN,Elastic Net Regression,ElasticFIFValue100,0.5033407572383074
4,500180-HDFC Bank Ltd,Linear Regression,LinearFIFValue1,0.4882943143812709
5,500180-HDFC Bank Ltd,Ridge Regression,RidgeFIFValue1,0.4860646599777034
6,500180-HDFC Bank Ltd,Lasso Regression,LassoFIFValue1,0.4882943143812709
7,500180-HDFC Bank Ltd,Elastic Net Regression,ElasticFIFValue1,0.4882943143812709
8,500182-HERO MOTOCORP LTD,Linear Regression,LinearFIBackwardElimination,0.5377777777777778
9,500182-HERO MOTOCORP LTD,Ridge Regression,RidgeFIBackwardElimination,0.5377777777777778
10,500182-HERO MOTOCORP LTD,Lasso Regression,LassoFIBackwardElimination,0.5377777777777778
11,500182-HERO MOTOCORP LTD,Elastic Net Regression,ElasticFIBackwardElimination,0.5377777777777778
12,500209-INFOSYS LTD,Linear Regression,LinearFICoefficients0.1,0.5061179087875417
13,500209-INFOSYS LTD,Ridge Regression,RidgeFIForwardSelection,0.4949944382647386
14,500209-INFOSYS LTD,Lasso Regression,LassoFIFValue1,0.4905450500556173
15,500209-INFOSYS LTD,Elastic Net Regression,ElasticFICoefficients0.1,0.5116796440489433
16,500325-RELIANCE INDUSTRIES LTD,Linear Regression,LinearFIPValue0.05,0.5027808676307007
17,500325-RELIANCE INDUSTRIES LTD,Ridge Regression,RidgeFIBackwardElimination,0.5005561735261401
18,500325-RELIANCE INDUSTRIES LTD,Lasso Regression,LassoFIFValue100,0.4794215795328142
19,500325-RELIANCE INDUSTRIES LTD,Elastic Net Regression,ElasticFIFValue100,0.4794215795328142
20,500680-PFIZER LTD,Linear Regression,LinearFIForwardSelection,0.5397727272727273
21,500680-PFIZER LTD,Ridge Regression,RidgeFIForwardSelection,0.5386363636363637
22,500680-PFIZER LTD,Lasso Regression,LassoFIForwardSelection,0.5397727272727273
23,500680-PFIZER LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5397727272727273
24,507685-WIPRO LTD,Linear Regression,LinearFICoefficients0.1,0.5167410714285714
25,507685-WIPRO LTD,Ridge Regression,RidgeFIFValue100,0.5111607142857143
26,507685-WIPRO LTD,Lasso Regression,LassoFIPValue0.2,0.5178571428571429
27,507685-WIPRO LTD,Elastic Net Regression,ElasticFIFValue100,0.5133928571428571
28,530965-INDIAN OIL CORPORATION LTD,Linear Regression,LinearFIFValue100,0.5162011173184358
29,530965-INDIAN OIL CORPORATION LTD,Ridge Regression,RidgeFIFValue10,0.5251396648044693
30,530965-INDIAN OIL CORPORATION LTD,Lasso Regression,LassoFIPValue0.2,0.5173184357541899
31,530965-INDIAN OIL CORPORATION LTD,Elastic Net Regression,ElasticFIPValue0.2,0.5173184357541899
32,532174-ICICI BANK LTD,Linear Regression,LinearFIBackwardElimination,0.5011135857461024
33,532174-ICICI BANK LTD,Ridge Regression,RidgeFIBackwardElimination,0.5100222717149221
34,532174-ICICI BANK LTD,Lasso Regression,LassoFIFValue1000,0.5144766146993318
35,532174-ICICI BANK LTD,Elastic Net Regression,ElasticFIFValue1000,0.5077951002227171
36,532210-CITY UNION BANK LTD,Linear Regression,LinearFIBackwardElimination,0.48963133640553
37,532210-CITY UNION BANK LTD,Ridge Regression,RidgeFIFValue1,0.5080645161290323
38,532210-CITY UNION BANK LTD,Lasso Regression,LassoFIFValue1,0.4827188940092166
39,532210-CITY UNION BANK LTD,Elastic Net Regression,ElasticFIFValue1,0.4827188940092166
40,532540-TATA CONSULTANCY SERVICES LTD,Linear Regression,LinearFIPValue0.2,0.4939903846153846
41,532540-TATA CONSULTANCY SERVICES LTD,Ridge Regression,RidgeFIPValue0.05,0.4807692307692308
42,532540-TATA CONSULTANCY SERVICES LTD,Lasso Regression,LassoFIFValue100,0.4915865384615384
43,532540-TATA CONSULTANCY SERVICES LTD,Elastic Net Regression,ElasticFIFValue100,0.4891826923076923
44,500112-SBIN,SVR,SVR_FI_FValue_100,0.5044543429844098
45,500180-HDFC Bank Ltd,SVR,SVR_FI_FValue_1000,0.5406911928651059
46,500182-HERO MOTOCORP LTD,SVR,SVR_FI_Coefficients_0.1,0.52
47,500209-INFOSYS LTD,SVR,SVR_FI_Coefficients_0.1,0.5161290322580645
48,500325-RELIANCE INDUSTRIES LTD,SVR,SVR_FI_PValue_0.2,0.4916573971078977
49,500680-PFIZER LTD,SVR,SVR_FI_FValue_1,0.5136363636363637
50,507685-WIPRO LTD,SVR,SVR_FI_PValue_0.2,0.5256696428571429
51,530965-INDIAN OIL CORPORATION LTD,SVR,SVR_FI_BackwardElimination_,0.5184357541899441
52,532174-ICICI BANK LTD,SVR,SVR_FI_FValue_1000,0.5289532293986637
53,532210-CITY UNION BANK LTD,SVR,SVR_FI_FValue_1,0.48847926267281105
54,532540-TATA CONSULTANCY SERVICES LTD,SVR,SVR_FI_FValue_100,0.5444711538461539
