,security code,security name,revenue,income,expenditure,profit,eps,year,quartile
0,500495,ESCORTS,4319.8,4319.8,-163.9,-59.3,-0.71,2007,4
1,500495,ESCORTS,5314.7,5314.8,-159.9,96.8,1.15,2008,1
2,500495,ESCORTS,5428.01,5428.29,-5137.3,93.07,1.08,2008,2
3,500495,ESCORTS,5016.17,4952.64,-4844.53,-3.41,-0.04,2008,4
4,500495,ESCORTS,4916.62,4816.44,-4676.37,78.24,0.86,2009,1
5,500495,ESCORTS,5834.41,5820.03,-5320.69,222.18,2.45,2009,2
6,500495,ESCORTS,6061.27,6002.21,-5638.99,234.0,2.52,2009,4
7,500495,ESCORTS,6755.65,6716.81,-6218.43,414.69,4.4,2010,1
8,500495,ESCORTS,8108.52,8062.13,-7420.92,458.37,4.86,2010,2
9,500495,ESCORTS,8377.42,8277.82,-8038.75,254.91,2.49,2010,4
10,500495,ESCORTS,9018.07,8898.21,-8542.49,732.21,7.16,2011,1
11,500495,ESCORTS,7395.64,7289.65,-7143.55,132.18,1.29,2011,2
12,500495,ESCORTS,8297.73,8230.79,-8061.2,108.65,1.06,2011,4
13,500495,ESCORTS,7950.74,7912.3,-997.57,181.28,1.77,2012,1
14,500495,ESCORTS,8623.65,8588.8,-938.37,268.89,2.63,2012,2
15,500495,ESCORTS,8234.03,46.63,-909.75,188.82,1.58,2012,3
16,500495,ESCORTS,10281.8,10260.03,-1168.57,281.39,2.36,2012,4
17,500495,ESCORTS,10006.42,9971.31,-1116.82,374.75,3.14,2013,1
18,500495,ESCORTS,11759.33,11728.9,-1270.3,583.04,4.89,2013,2
19,500495,ESCORTS,9442.48,9399.68,-1237.13,436.34,3.66,2013,3
20,500495,ESCORTS,11595.88,11544.48,-1342.05,455.57,3.82,2013,4
21,500495,ESCORTS,9829.15,9771.72,-1184.35,317.84,2.67,2014,1
22,500495,ESCORTS,11291.06,11221.09,-1415.21,341.11,2.86,2014,2
23,500495,ESCORTS,9926.3,9866.05,-1432.73,-78.56,-0.66,2014,3
24,500495,ESCORTS,10463.74,10423.36,-1380.68,356.86,2.99,2014,4
25,500495,ESCORTS,8177.19,8112.24,-1211.17,127.69,1.07,2015,1
26,500495,ESCORTS,9777.37,9732.21,-1368.05,362.72,3.04,2015,2
27,500495,ESCORTS,8016.64,7978.32,-1209.03,161.82,1.36,2015,3
28,500495,ESCORTS,8880.81,38.62,-1300.07,204.99,1.72,2015,4
29,500495,ESCORTS,8047.32,39.47,-1098.6,164.29,1.38,2016,1
30,500495,ESCORTS,10514.17,10473.53,-1359.0,469.58,3.94,2016,2
31,500495,ESCORTS,9953.27,9909.88,-1395.99,312.87,2.62,2016,3
32,500495,ESCORTS,10929.31,10899.11,-1327.6,227.11,1.9,2016,4
33,500495,ESCORTS,10439.04,10622.11,-1070.2,594.83,4.98,2017,1
34,500495,ESCORTS,11631.53,11836.5,-1492.23,626.44,5.24,2017,2
35,500495,ESCORTS,12116.85,12198.34,-1278.04,775.6,6.49,2017,3
36,500495,ESCORTS,12050.33,12132.33,-1048.58,919.77,7.7,2017,4
37,500495,ESCORTS,14361.04,14586.64,-1092.6,1125.43,9.42,2018,1
38,500495,ESCORTS,15112.85,15282.63,-1210.57,1206.97,10.1,2018,2
39,500495,ESCORTS,13983.57,14204.77,-1130.41,1027.44,8.6,2018,3
40,500495,ESCORTS,16550.63,16794.77,-1196.09,1401.13,11.72,2018,4
41,500495,ESCORTS,16316.6,16490.0,-1180.3,1213.5,10.15,2019,1
42,500495,ESCORTS,14229.7,14396.7,-1225.7,874.9,7.32,2019,2
43,500495,ESCORTS,13238.6,13449.1,-1847.4,1046.0,8.75,2019,3
44,500495,ESCORTS,16334.4,16601.7,-1966.5,1530.5,12.81,2019,4
45,500495,ESCORTS,13806.8,14084.5,-1975.2,1404.0,11.75,2020,1
46,500495,ESCORTS,10616.3,10914.7,-1030.8,921.6,7.71,2020,2
47,500495,ESCORTS,16397.0,16772.6,-1710.7,2299.1,17.72,2020,3
48,500495,ESCORTS,20174.3,20646.5,-1930.4,2806.5,21.28,2020,4
