,security code,security name,revenue,income,expenditure,profit,eps,year,quartile
0,500940,FINOLEXIND,3264.28,3449.93,-3019.27,239.09,1.93,2007,3
1,500940,FINOLEXIND,4792.15,4845.35,-4483.17,215.72,1.74,2007,4
2,500940,FINOLEXIND,5009.99,5045.92,-4875.35,12.12,0.1,2008,1
3,500940,FINOLEXIND,4845.48,4897.49,-4578.03,117.37,0.95,2008,2
4,500940,FINOLEXIND,3276.31,3330.18,-2914.41,-217.52,-1.75,2008,3
5,500940,FINOLEXIND,4628.81,4616.82,-4854.77,-609.22,-4.91,2008,4
6,500940,FINOLEXIND,4237.36,4228.71,-3549.88,330.42,2.66,2009,1
7,500940,FINOLEXIND,3594.95,3592.18,-2707.18,478.62,3.86,2009,2
8,500940,FINOLEXIND,2930.86,2928.96,-2341.76,134.07,1.08,2009,3
9,500940,FINOLEXIND,4540.92,4532.26,-3995.0,113.39,0.91,2009,4
10,500940,FINOLEXIND,4858.21,4848.9,-4329.62,597.16,4.81,2010,1
11,500940,FINOLEXIND,5308.86,5302.49,-4673.69,159.12,1.28,2010,2
12,500940,FINOLEXIND,3805.37,3802.73,-3598.48,158.95,1.28,2010,3
13,500940,FINOLEXIND,5852.53,5842.76,-5269.58,355.87,2.87,2010,4
14,500940,FINOLEXIND,6949.76,6938.19,-6757.52,87.78,0.71,2011,1
15,500940,FINOLEXIND,5609.55,5604.46,-5185.26,167.0,1.35,2011,2
16,500940,FINOLEXIND,4747.69,4745.61,-4601.02,40.24,0.32,2011,3
17,500940,FINOLEXIND,6279.71,6269.66,-6164.8,-17.62,-0.14,2011,4
18,500940,FINOLEXIND,5930.09,5921.65,-161.83,561.9,4.53,2012,1
19,500940,FINOLEXIND,5198.54,5191.91,-158.04,-137.37,-1.11,2012,2
20,500940,FINOLEXIND,3809.3,3807.8,-183.43,399.19,3.22,2012,3
21,500940,FINOLEXIND,6144.47,6133.12,-167.56,306.09,2.47,2012,4
22,500940,FINOLEXIND,6295.9,6241.85,-211.55,793.46,6.39,2013,1
23,500940,FINOLEXIND,5634.93,5551.32,-167.22,226.47,1.82,2013,2
24,500940,FINOLEXIND,3899.11,3848.95,-174.86,274.18,2.21,2013,3
25,500940,FINOLEXIND,6598.86,6542.54,-546.49,638.9,5.15,2013,4
26,500940,FINOLEXIND,8397.41,8333.23,-180.2,561.92,4.53,2014,1
27,500940,FINOLEXIND,6627.2,6552.23,-190.89,502.03,4.05,2014,2
28,500940,FINOLEXIND,3858.59,3819.39,-173.48,137.11,1.1,2014,3
29,500940,FINOLEXIND,6429.33,6376.81,-172.27,-438.16,-3.53,2014,4
30,500940,FINOLEXIND,7846.38,7768.66,-203.09,276.81,2.23,2015,1
31,500940,FINOLEXIND,6333.83,6283.97,-222.19,702.58,5.66,2015,2
32,500940,FINOLEXIND,4667.4,4618.3,-206.84,418.78,3.37,2015,3
33,500940,FINOLEXIND,5471.58,5408.79,-245.34,429.8,3.46,2015,4
34,500940,FINOLEXIND,8055.5,7992.26,-259.67,784.78,6.32,2016,1
35,500940,FINOLEXIND,6728.62,6659.33,-271.59,980.44,7.9,2016,2
36,500940,FINOLEXIND,5234.0,5202.18,-254.12,513.17,4.14,2016,3
37,500940,FINOLEXIND,6624.32,6575.43,-255.07,719.5,5.8,2016,4
38,500940,FINOLEXIND,10163.51,10257.21,-268.14,1232.6,9.93,2017,1
39,500940,FINOLEXIND,8242.75,8281.18,-832.5,797.65,6.43,2017,2
40,500940,FINOLEXIND,4752.83,4862.05,-838.23,282.84,2.28,2017,3
41,500940,FINOLEXIND,7227.24,7329.77,-943.83,695.5,5.6,2017,4
42,500940,FINOLEXIND,8091.25,8118.82,-1143.21,1209.47,9.75,2018,1
43,500940,FINOLEXIND,8278.47,8415.76,-1015.6,1033.01,8.32,2018,2
44,500940,FINOLEXIND,5426.38,5549.08,-4371.82,764.19,6.16,2018,3
45,500940,FINOLEXIND,7565.93,7738.64,-1113.46,786.92,6.34,2018,4
46,500940,FINOLEXIND,9642.44,9764.93,-1375.77,913.88,7.36,2019,1
47,500940,FINOLEXIND,9438.1,9495.1,-1190.3,724.9,5.84,2019,2
48,500940,FINOLEXIND,5766.7,5940.9,-1111.82,1026.68,8.27,2019,3
49,500940,FINOLEXIND,6994.0,7061.3,-1021.3,933.2,7.52,2019,4
50,500940,FINOLEXIND,7661.1,7670.9,-1203.4,557.1,4.49,2020,1
51,500940,FINOLEXIND,5620.7,5703.9,-566.5,551.1,4.44,2020,2
52,500940,FINOLEXIND,5857.8,6182.4,-867.8,1197.2,9.65,2020,3
53,500940,FINOLEXIND,10668.8,10850.4,-971.2,2558.6,20.62,2020,4
