,security code,security name,revenue,income,expenditure,profit,eps,year,quartile
0,517385,SYMPHONY,14.8,15.33,-27.49,-12.43,-1.78,2007,3
1,517385,SYMPHONY,26.1,26.28,-42.52,-16.53,-2.36,2007,4
2,517385,SYMPHONY,248.37,250.63,-169.17,65.44,9.35,2008,1
3,517385,SYMPHONY,443.15,448.91,-333.16,84.32,16.02,2008,2
4,517385,SYMPHONY,17.56,20.15,-33.44,-13.86,-1.98,2008,3
5,517385,SYMPHONY,154.82,15.13,-139.7,17.53,2.51,2008,4
6,517385,SYMPHONY,405.69,142.36,-263.32,96.87,13.85,2009,1
7,517385,SYMPHONY,668.35,240.54,-427.81,331.93,47.45,2009,2
8,517385,SYMPHONY,72.28,-9.38,-20.7,-5.69,-0.81,2009,3
9,517385,SYMPHONY,256.77,37.85,-218.91,29.05,4.15,2009,4
10,517385,SYMPHONY,696.06,210.66,-485.4,143.71,20.54,2010,1
11,517385,SYMPHONY,875.99,875.99,-16.9,202.26,28.91,2010,2
12,517385,SYMPHONY,232.28,25.28,-44.9,23.79,3.4,2010,3
13,517385,SYMPHONY,535.68,142.36,-25.81,103.08,14.74,2010,4
14,517385,SYMPHONY,985.55,296.16,-26.57,205.25,29.34,2011,1
15,517385,SYMPHONY,287.82,51.52,-236.3,44.09,6.3,2011,3
16,517385,SYMPHONY,561.8,138.9,-40.1,113.0,16.15,2011,4
17,517385,SYMPHONY,796.2,780.3,-42.5,149.6,4.28,2012,1
18,517385,SYMPHONY,900.4,870.6,-38.2,196.7,5.62,2012,2
19,517385,SYMPHONY,275.0,243.1,-20.9,20.5,0.59,2012,3
20,517385,SYMPHONY,921.2,876.7,-46.5,167.3,4.78,2012,4
21,517385,SYMPHONY,878.2,851.8,-51.6,180.0,5.14,2013,1
22,517385,SYMPHONY,1144.2,1111.7,-61.8,259.0,7.41,2013,2
23,517385,SYMPHONY,772.1,720.8,-35.4,143.2,4.09,2013,3
24,517385,SYMPHONY,1192.6,1152.2,-72.6,247.9,7.09,2013,4
25,517385,SYMPHONY,1162.9,30.0,-52.5,270.3,7.73,2014,1
26,517385,SYMPHONY,1527.2,1506.3,-27.7,327.3,9.36,2014,2
27,517385,SYMPHONY,1104.0,1027.1,-62.4,216.3,6.18,2014,3
28,517385,SYMPHONY,1555.4,1514.1,-251.6,360.2,10.3,2014,4
29,517385,SYMPHONY,1462.9,1375.1,-259.1,365.1,10.44,2015,1
30,517385,SYMPHONY,1334.2,1236.8,-435.4,222.6,6.36,2015,2
31,517385,SYMPHONY,1145.1,1144.2,-92.6,287.6,8.22,2015,3
32,517385,SYMPHONY,1624.8,1621.0,-94.3,477.3,13.64,2015,4
33,517385,SYMPHONY,1378.7,1371.5,-101.6,465.2,13.3,2016,1
34,517385,SYMPHONY,1526.0,1521.5,-103.9,311.4,8.9,2016,2
35,517385,SYMPHONY,1504.3,1502.7,-123.4,392.8,5.62,2016,3
36,517385,SYMPHONY,1800.9,1796.8,-117.6,560.6,8.01,2016,4
37,517385,SYMPHONY,1840.5,1991.2,-186.1,466.9,6.67,2017,1
38,517385,SYMPHONY,1297.5,1424.0,-153.6,240.4,3.44,2017,2
39,517385,SYMPHONY,1842.5,1946.8,-171.8,506.7,7.24,2017,3
40,517385,SYMPHONY,2176.3,2256.7,-169.1,663.1,9.48,2017,4
41,517385,SYMPHONY,1553.9,1645.7,-148.4,419.3,5.99,2018,1
42,517385,SYMPHONY,790.0,850.0,-120.0,50.0,0.76,2018,2
43,517385,SYMPHONY,1480.0,1550.0,-140.0,340.0,4.9,2018,3
44,517385,SYMPHONY,1590.0,1690.0,-150.0,430.0,6.02,2018,4
45,517385,SYMPHONY,1380.0,1480.0,-90.0,190.0,2.76,2019,1
46,517385,SYMPHONY,1600.0,1710.0,-150.0,260.0,3.76,2019,2
47,517385,SYMPHONY,1950.0,2060.0,-150.0,570.0,8.02,2019,3
48,517385,SYMPHONY,2070.0,2180.0,-180.0,580.0,8.31,2019,4
49,517385,SYMPHONY,1540.0,1680.0,-170.0,450.0,6.48,2020,1
50,517385,SYMPHONY,400.0,500.0,-70.0,10.0,0.21,2020,2
51,517385,SYMPHONY,1120.0,1200.0,-110.0,270.0,3.83,2020,3
52,517385,SYMPHONY,1240.0,1340.0,-120.0,350.0,4.92,2020,4
