,security code,security name,revenue,income,expenditure,profit,eps,year,quartile
0,523457,LINDEINDIA,975.3,990.3,-5.1,70.8,1.44,2007,3
1,523457,LINDEINDIA,1028.9,1031.5,-120.7,514.5,0.86,2007,4
2,523457,LINDEINDIA,1311.2,1331.7,-214.7,257.8,1.78,2008,1
3,523457,LINDEINDIA,1361.2,1396.5,-193.2,169.3,1.99,2008,2
4,523457,LINDEINDIA,1361.8,1379.6,-15.1,218.7,2.56,2008,3
5,523457,LINDEINDIA,1416.3,84.0,-219.3,154.5,1.81,2008,4
6,523457,LINDEINDIA,1598.3,1581.6,-359.3,50.4,0.59,2009,1
7,523457,LINDEINDIA,2132.8,2.0,-91.1,97.2,1.14,2009,2
8,523457,LINDEINDIA,2175.8,2144.9,-8.3,125.4,1.47,2009,3
9,523457,LINDEINDIA,2187.5,4.2,-305.9,259.3,3.04,2009,4
10,523457,LINDEINDIA,2564.3,2552.8,-355.8,238.3,2.79,2010,1
11,523457,LINDEINDIA,2488.0,3.5,-124.8,242.1,2.84,2010,2
12,523457,LINDEINDIA,2368.8,3.0,-355.2,262.6,3.08,2010,3
13,523457,LINDEINDIA,2500.2,45.8,-264.4,193.3,2.27,2010,4
14,523457,LINDEINDIA,2239.8,2236.8,-133.9,267.2,3.13,2011,1
15,523457,LINDEINDIA,2504.6,6.1,-227.2,269.7,3.16,2011,2
16,523457,LINDEINDIA,3114.6,3111.9,-427.4,173.3,2.03,2011,3
17,523457,LINDEINDIA,3757.29,3414.38,-157.77,506.22,5.95,2011,4
18,523457,LINDEINDIA,3012.07,4.9,-172.13,178.53,2.09,2012,1
19,523457,LINDEINDIA,3469.77,3423.63,-595.93,203.19,2.38,2012,2
20,523457,LINDEINDIA,3449.07,3442.86,-96.36,59.29,0.7,2012,3
21,523457,LINDEINDIA,3281.88,21.67,-154.29,453.79,5.32,2012,4
22,523457,LINDEINDIA,3310.21,3203.11,-149.45,58.57,0.69,2013,1
23,523457,LINDEINDIA,3311.3,3248.09,-229.17,59.4,0.7,2013,2
24,523457,LINDEINDIA,3260.05,3207.66,-157.04,99.9,1.17,2013,3
25,523457,LINDEINDIA,4403.04,40.23,-99.84,555.41,6.52,2013,4
26,523457,LINDEINDIA,3468.97,22.02,-80.5,-4.99,-0.06,2014,1
27,523457,LINDEINDIA,3569.22,53.77,-93.94,-16.87,-0.2,2014,2
28,523457,LINDEINDIA,3746.74,3730.41,-77.91,10.59,0.12,2014,3
29,523457,LINDEINDIA,4128.53,114.0,-53.73,65.27,0.78,2014,4
30,523457,LINDEINDIA,3720.97,3602.34,-49.35,143.87,1.69,2015,1
31,523457,LINDEINDIA,3752.09,3731.11,-81.31,39.41,0.46,2015,2
32,523457,LINDEINDIA,4048.02,4018.54,-61.42,3.38,0.04,2015,3
33,523457,LINDEINDIA,4198.08,4188.91,-92.43,47.91,0.56,2015,4
34,523457,LINDEINDIA,4164.97,4057.84,-84.56,81.98,0.96,2016,1
35,523457,LINDEINDIA,4303.38,4285.25,-75.43,-24.66,-0.29,2016,2
36,523457,LINDEINDIA,4668.35,218.73,-137.25,-54.84,,2016,3
37,523457,LINDEINDIA,5233.76,201.57,-115.41,90.92,,2016,4
38,523457,LINDEINDIA,5580.33,5588.19,-511.8,13.68,0.16,2017,1
39,523457,LINDEINDIA,5352.95,5359.11,-305.78,-21.82,-0.26,2017,2
40,523457,LINDEINDIA,5069.51,5086.81,-419.72,102.33,1.2,2017,3
41,523457,LINDEINDIA,5181.32,5305.34,-474.67,95.19,1.12,2017,4
42,523457,LINDEINDIA,5276.39,5352.92,-564.49,23.76,0.28,2018,1
43,523457,LINDEINDIA,5496.0,5507.53,-496.51,52.49,0.62,2018,2
44,523457,LINDEINDIA,5516.22,5584.54,-535.59,104.39,1.22,2018,3
45,523457,LINDEINDIA,5627.92,5702.05,-706.09,154.17,1.81,2018,4
46,523457,LINDEINDIA,4410.89,4460.22,-470.12,355.73,4.17,2019,1
47,523457,LINDEINDIA,4982.12,5006.5,-644.24,201.63,2.36,2019,2
48,523457,LINDEINDIA,4096.69,4192.94,-457.16,369.38,4.33,2019,3
49,523457,LINDEINDIA,4128.16,4146.36,-489.39,6345.0,74.4,2019,4
50,523457,LINDEINDIA,3772.62,3937.94,-510.51,390.31,4.58,2020,1
51,523457,LINDEINDIA,2481.34,2510.44,-160.0,194.95,2.29,2020,2
52,523457,LINDEINDIA,3702.95,3809.76,-520.45,347.22,4.07,2020,3
53,523457,LINDEINDIA,4754.33,4779.49,-543.19,622.89,7.3,2020,4
