,security code,security name,revenue,income,expenditure,profit,eps,year,quartile
0,501425,BBTC,558.28,633.54,-562.49,27.72,1.99,2007,3
1,501425,BBTC,568.42,612.63,-554.4,9.69,0.69,2007,4
2,501425,BBTC,613.3,681.5,-554.9,34.6,2.48,2008,1
3,501425,BBTC,687.76,727.0,-627.73,-94.45,-6.77,2008,2
4,501425,BBTC,760.1,766.93,-668.78,-149.81,-10.74,2008,3
5,501425,BBTC,618.39,575.58,-557.41,-53.02,-3.8,2008,4
6,501425,BBTC,767.38,582.7,-598.67,158.53,11.36,2009,1
7,501425,BBTC,701.76,671.29,-0.38,8.66,0.62,2009,2
8,501425,BBTC,788.43,742.38,-697.52,3.35,0.24,2009,3
9,501425,BBTC,782.29,744.51,-682.28,49.33,3.54,2009,4
10,501425,BBTC,836.79,780.63,-747.42,75.21,5.39,2010,1
11,501425,BBTC,808.48,779.49,-686.67,99.02,7.1,2010,2
12,501425,BBTC,846.24,767.22,-726.65,66.39,4.76,2010,3
13,501425,BBTC,804.76,44.39,-716.08,33.2,2.38,2010,4
14,501425,BBTC,1506.32,787.46,-733.21,566.81,40.62,2011,1
15,501425,BBTC,861.09,810.66,-768.58,35.98,2.58,2011,2
16,501425,BBTC,865.31,814.62,-780.9,13.28,0.95,2011,3
17,501425,BBTC,599.5,572.7,-555.02,1298.07,93.02,2011,4
18,501425,BBTC,404.72,305.08,-165.39,17.57,1.26,2012,1
19,501425,BBTC,415.78,386.44,-126.22,5.5,0.39,2012,2
20,501425,BBTC,673.3,631.4,-139.45,89.72,6.43,2012,3
21,501425,BBTC,550.38,521.53,-191.99,21.31,0.31,2012,4
22,501425,BBTC,596.06,548.22,-207.35,48.35,0.69,2013,1
23,501425,BBTC,677.82,664.41,-180.5,33.27,0.48,2013,2
24,501425,BBTC,654.16,610.95,-181.96,15.27,0.22,2013,3
25,501425,BBTC,694.74,673.69,-191.1,1.32,0.02,2013,4
26,501425,BBTC,757.97,34.81,-225.55,1.42,0.02,2014,1
27,501425,BBTC,629.6,615.65,-183.92,-8.85,-0.13,2014,2
28,501425,BBTC,644.23,598.51,-157.24,-8.18,-0.12,2014,3
29,501425,BBTC,524.58,508.75,-157.55,-20.82,-0.3,2014,4
30,501425,BBTC,801.16,609.48,-277.08,108.14,1.55,2015,1
31,501425,BBTC,669.81,657.14,-212.43,-8.57,-0.12,2015,2
32,501425,BBTC,643.55,604.02,-161.78,-57.23,-0.82,2015,3
33,501425,BBTC,540.59,531.75,-173.58,-103.25,-1.48,2015,4
34,501425,BBTC,597.6,570.19,-268.63,-162.39,-2.33,2016,1
35,501425,BBTC,651.61,633.81,-197.32,-36.72,-0.53,2016,2
36,501425,BBTC,735.43,47.19,-180.92,-99.78,-1.43,2016,3
37,501425,BBTC,667.95,23.43,-179.27,53.84,0.77,2016,4
38,501425,BBTC,643.5,813.0,-222.7,50.4,0.72,2017,1
39,501425,BBTC,541.12,598.62,-199.34,-16.94,-0.24,2017,2
40,501425,BBTC,523.64,610.52,-171.38,-110.28,-1.58,2017,3
41,501425,BBTC,499.11,678.04,-177.27,-6.96,-0.1,2017,4
42,501425,BBTC,524.29,570.63,-186.4,-124.13,-1.78,2018,1
43,501425,BBTC,589.54,630.9,-191.69,-60.29,-0.86,2018,2
44,501425,BBTC,585.14,667.06,-158.31,-87.36,-1.25,2018,3
45,501425,BBTC,549.06,584.27,-198.4,-116.44,-1.67,2018,4
46,501425,BBTC,695.85,885.58,-215.48,67.13,0.96,2019,1
47,501425,BBTC,597.78,633.8,-158.96,-94.72,-1.36,2019,2
48,501425,BBTC,569.4,654.1,-169.62,-172.94,-2.48,2019,3
49,501425,BBTC,497.07,1023.25,-169.47,276.91,3.97,2019,4
50,501425,BBTC,474.79,516.96,-225.44,-179.52,-2.57,2020,1
51,501425,BBTC,309.88,969.46,-95.62,376.41,5.39,2020,2
52,501425,BBTC,564.91,719.64,-190.7,-161.86,-2.32,2020,3
53,501425,BBTC,568.88,777.11,-181.65,-81.44,-1.17,2020,4
