Actual Values,Predicted Values
37.2,28.322253238235135
63.65,57.303502714145
63.45,134.0206067986437
2476.5,2497.7505499538966
41.95,19.727453458472155
1698.0,1616.1858512014733
44.25,168.613588659151
2108.0,1970.655857241596
191.8,147.72247035009786
44.95,48.40444475709228
191.8,140.6747677559615
1945.0,2041.5273712923517
63.65,58.46324382623425
1761.75,1398.2347192165325
37.2,43.08129554026527
47.7,47.67805061180843
61.1,169.39207116607577
43.5,98.17880868021166
96.5,98.34814449591795
566.5,610.4279337697662
65.15,32.701241819770075
43.5,126.82777340267785
69.65,63.53318116709124
43.5,8.369986137084197
109.3,492.2150856203516
191.8,266.5629724563332
2405.75,2221.7492001102073
1761.75,1393.809625738184
2011.75,1867.5480345756514
43.15,-17.14860086335102
83.7,101.97002891730517
2476.5,2662.0762513097143
83.95,80.71137317962712
37.2,81.36568113171961
63.65,61.01450309139909
674.75,1090.8671735999524
52.8,105.34255917766131
2011.75,1983.4168161560665
86.1,46.71186584793031
109.8,93.94626408611657
37.2,53.10079752089223
2408.25,2563.5029665505863
1253.25,1369.0670268207323
59.7,127.12943468254525
86.1,55.380415689374786
61.0,12.06318975915201
83.95,74.55363604880404
847.75,1069.0759680164047
54.4,-4.086313015897758
43.15,-64.2502722760546
2914.25,2894.6815409771516
101.4,98.84505652432563
2914.25,3131.1308604262886
2467.25,2035.4377040946274
199.95,242.8652680037776
101.4,118.03715818584897
2011.75,2156.3859128741315
63.65,76.97214820393128
3240.25,3038.409233030048
2914.25,2746.6444508162094
957.25,1196.5307280248962
101.4,119.20395964611089
82.35,127.74914186564274
184.15,271.09020046371734
1253.25,1241.457909978344
68.0,85.69784277462168
71.55,85.23412167985225
109.3,189.50961010996252
63.65,59.41971538349753
40.2,120.304681909387
1487.0,1648.793621156481
67.0,120.33654116617981
1014.5,878.0508334002225
45.3,7.617539525672328
2604.0,2754.5261434246204
191.8,258.6341569246724
1253.25,1310.0329062163364
2108.0,1928.244575564051
2664.75,2506.893874476431
109.3,433.6587363955914
39.05,-86.83667159243487
2555.0,2729.0996825145558
61.0,8.652975313190836
2555.0,2614.523903728754
2555.0,2550.8355229199515
1455.5,1530.742532619508
69.65,251.87755198497325
59.7,106.97128806466935
191.8,267.2525907806121
191.8,303.8042893752572
2748.0,2743.5611549011664
1761.75,1430.7295852768002
67.0,89.70304400171153
2011.75,1905.3824174207984
215.35,171.7469394952641
2076.75,2047.1236921299715
1455.5,1640.738744741655
104.85,71.82966003433103
59.1,151.20149443973787
54.35,129.50777045433642
2108.0,1907.234909904364
753.75,1034.4861929818871
110.4,204.07383586879587
191.8,151.08969523163978
83.95,129.5019000278553
709.0,649.9008394221892
199.95,224.83728719688952
966.75,892.5149345804239
44.95,62.084439392900094
43.5,139.32289171637967
63.65,132.68844666640507
2076.75,2120.1930563928327
746.0,735.1618557236507
63.45,66.96104506554548
41.95,18.27486358548049
2914.25,2777.8714106048574
40.2,-42.672304363921285
65.15,-1.9346066152211279
1487.0,1708.7940981647698
43.5,36.67907272634329
1484.25,1544.6738612943445
40.2,165.62899691576604
63.65,73.14628739125328
746.0,724.9176026685745
59.1,-8.34633372927783
2555.0,2402.404449432972
39.05,-181.5630462685367
215.35,169.39141031564213
1641.0,1572.6683121357346
40.35,-7.4725142605020665
63.65,72.2696886533522
41.95,95.63000975176692
48.6,79.15629872953286
1534.5,1531.289129679033
237.2,183.86847606668016
1014.5,906.1453702338622
47.35,73.10475407697959
59.7,-66.81245924031828
109.8,95.1512419792125
2405.75,2174.3731952047674
66.15,8.902552838146221
184.15,105.33718437037896
68.9,77.70683697186178
1569.0,1605.2222539818613
69.05,31.512325013172813
46.8,-738.9937656617258
2476.5,2642.4712272269535
1698.0,1743.3618394189398
1253.25,1399.8450968076359
1455.5,1405.3170120748691
61.0,17.30323391017737
1641.0,1535.1493831747212
109.8,115.60333381063538
43.15,105.93245980405482
2914.25,2777.663329415431
709.0,696.2051547183655
2505.5,2722.142626051558
215.35,147.50352496112464
199.95,219.6981692862464
1761.75,1420.1985827924218
2560.0,2636.584389566153
566.5,570.590539056051
39.05,173.12652961269487
39.05,157.04851503972895
66.15,-0.00283866940299049
52.25,49.478704366774764
199.95,233.07416363654193
82.35,36.461515715694986
1641.0,1552.1838411233039
43.5,-37.47852508712094
39.05,-94.23284749436425
2476.5,2482.427566975355
109.3,455.09368287876714
1455.5,1610.789927715552
2476.5,2633.135854041495
59.7,-45.886502696201205
2620.75,2659.8645337321796
2555.0,2492.093621485401
2405.75,2147.3151856276672
2011.75,2143.5160578865325
59.0,26.4457846902078
44.25,187.46479529113276
82.35,60.89418503828347
106.1,156.39636629470624
1761.75,1839.5859906842816
2405.75,2574.7923501702026
1641.0,1523.5156136708683
1487.0,1745.433279677527
109.3,183.4141132888035
1484.25,1495.657421341166
2555.0,2409.159267917974
2405.75,2126.8987446651445
566.5,548.2813872842235
65.15,40.46295473270584
39.05,-102.74034492578357
69.65,115.18035539163975
37.2,36.70778300258098
110.4,181.69086319534108
69.65,95.68111582251731
1698.0,1697.9536487145815
59.0,55.32387016736902
43.15,-48.758036878716666
746.0,812.1431875181734
1052.5,933.4194684812101
109.8,116.88359877455514
2555.0,2626.1895230028895
1698.0,1601.458832084143
68.0,41.916859308141284
63.65,85.81070756964618
215.35,156.48616823909106
48.6,23.387539242452476
2555.0,2616.4105673209997
63.45,-11.013210667355452
2405.75,2276.6901246736525
41.95,18.68385402794229
2979.0,2878.8540340001346
2491.5,2522.876952690305
39.05,-89.47380920033902
69.65,119.36290723941056
