Actual Values,Predicted Values
3.4,3.4995984606172215
1.39,1.569486556735967
7.13,6.976268273534629
1.73,1.348025125048423
5.7,6.103356743921665
7.89,7.803245820428401
3.31,3.0441861680579905
2.02,2.474721609475637
5.5,5.691397006391242
2.69,-15.7837711715581
6.6,6.7220214930904945
5.5,5.927973649915202
6.6,6.934887208865348
2.45,1.745662000216214
6.7,6.965910270235952
3.4,3.7182321104249922
7.51,7.1891397276783096
7.09,6.941087003397627
2.69,2.654863866495532
9.35,8.519987865830387
5.7,5.871973777210599
7.15,6.715925840220621
6.3,6.402621468173436
2.79,3.035277240323637
1.73,1.6597892893946096
3.66,3.727375655989647
7.76,7.253849097432351
6.3,6.164132563605335
2.8,2.7196242099760184
6.25,6.365688774927605
7.54,6.886014142261672
7.85,7.960677419303863
5.35,5.358120589706743
9.35,8.469352713505543
4.94,5.041473841654351
9.4,9.87148274391103
2.8,2.744335218331969
2.83,2.5973556903628605
6.25,6.3441042541723505
7.0,6.492536411086689
5.7,5.875012403646565
7.89,7.607962956695587
3.4,3.2949984394419403
7.54,6.881677706389951
1.53,1.1954490586699649
1.6,1.852974685654715
1.6,1.5173443503487647
1.39,1.4133854944673772
7.54,6.898327735015698
8.53,8.157366541101624
5.0,5.25002516297036
3.66,3.756301592780858
2.35,2.5700589494705923
1.64,1.5774311338018379
7.13,8.128622731649955
6.52,6.947465357641079
2.8,2.706195458310674
8.53,8.129841350435584
7.86,7.853007270451371
5.42,6.518603082583013
2.35,2.5685661495364798
1.6,1.6756441084077665
5.84,5.4379517575343925
1.66,2.023836347423355
2.97,2.746297686686603
2.8,2.731886678764738
3.01,2.823466425698541
3.4,3.4240267323950775
1.6,1.7559901159409605
2.1,1.5531852426016144
7.89,8.216308202733956
3.4,3.5901513935537537
3.25,2.8449653242753925
3.25,2.9130524405582037
9.47,9.311091037678068
3.07,3.5026139597944734
3.08,3.0640325384358675
2.8,2.608953994425974
6.53,7.357113551160637
2.8,2.7023172682773975
5.42,5.62589465351067
6.52,6.952364560509068
2.76,2.8057100107974975
1.6,1.6724356570836676
2.83,2.7708060304246374
1.6,1.8128797608600848
2.87,2.773363641399044
6.25,6.080100487409027
3.18,3.381853840224778
2.09,1.9685879032651314
7.31,7.0808801603582765
1.39,1.6182713969641327
5.6,5.411517507308986
7.92,6.955252336150579
1.6,1.759053912772174
3.25,3.153217268505557
5.7,5.526427679841447
7.88,7.2302847017822955
3.0,2.1936737898266188
1.82,2.0693612980693956
2.09,2.3317777564014364
3.4,3.464139610492566
9.47,9.362363013739753
5.6,5.4100159059687485
6.73,5.983021338666617
9.4,9.626608998392214
6.6,6.845635654519526
7.89,7.723706147801465
6.6,6.374263032379076
3.07,3.2892314807443768
1.73,1.320082433425739
9.35,8.709273661571785
7.51,7.344400792019826
9.35,8.694823197187873
3.08,3.040329315802012
2.72,2.6497149954872157
2.93,2.888533838980038
5.6,5.574441384020986
7.69,7.138229072975207
6.13,5.72164569607105
6.9,6.681810213520237
3.4,3.302023644939709
1.61,2.0782935369552433
7.86,7.590721016721375
7.15,6.729780043040478
9.47,9.132081655598824
3.3,2.957528245500498
7.89,7.429893442342745
6.72,6.6520503959634425
1.51,1.3294576844434687
3.01,2.988653330849729
4.7,4.469546462957396
7.14,6.644094684101958
2.91,2.9978079849306027
4.47,3.968841626223764
3.51,3.8816382565577783
6.72,6.622461157535099
2.06,2.135547544754729
3.25,2.704456319376675
4.85,5.012405871877377
1.6,1.5986429867107859
3.68,3.0486354247215104
6.77,7.371365808598853
2.35,2.510013764230166
3.4,3.4165015706880126
1.6,1.891033510480156
7.86,7.6770960632644005
5.23,5.285203051309111
1.82,2.172833528746878
8.41,8.064168908117836
1.32,1.5906422172253656
6.52,6.133783143453854
1.51,1.8801101333785937
7.13,7.524710831324512
7.42,7.130095076965176
1.6,1.8016063470909671
7.75,7.2715051557505035
1.64,0.8941129659505123
7.18,6.842572770886477
1.39,1.8900526388652565
2.7,3.0256235924197767
3.29,3.0812380707925513
7.39,6.580778116462966
5.6,5.511152732100243
5.7,5.935837831185722
2.69,2.7762323711327213
7.54,7.674404811512147
2.1,1.7993421626788972
1.9,1.9545828852433829
4.3,4.551163620065438
1.73,1.972546193357232
6.9,6.819135705030931
3.07,3.6472986188312575
6.55,6.291651262420373
5.42,5.353689456927043
1.73,1.2700000793765867
6.72,6.815775087979148
2.83,3.0965464118543196
5.4,5.379435678279549
1.73,1.4674428109624955
2.69,2.800715652486474
5.4,5.244596839182975
2.06,2.0579771499068897
7.88,7.04075018770817
2.83,2.963489248657538
3.07,4.083873447684255
3.07,4.275718921489727
2.91,3.063644761466776
2.09,1.668950701130541
2.91,2.9899322839137312
7.06,6.491240180198872
1.73,1.158946031645769
1.98,1.8448268077182775
5.42,5.939622197892845
5.6,5.452135716485941
3.01,2.3971866135947835
1.73,2.013420114743383
7.89,7.61230744414928
9.47,9.381923610883632
3.31,3.1202239160554086
6.6,6.653239133033594
9.47,9.443870343326807
1.8,1.7228802906415694
7.92,6.889738517796673
6.55,6.335030787372659
3.66,3.794401169762068
3.68,3.1089813767031274
8.53,8.098445806565223
2.69,3.038395746230151
7.54,7.587616826151418
1.6,1.7229271507783892
2.87,2.8066912745425725
2.8,2.762192778129588
3.25,3.6225594110539987
6.86,7.434608839182033
4.1,4.652642677504616
3.31,3.2700352780503295
1.68,2.1441352450454474
5.4,5.2530526597512335
6.52,6.488064530395491
7.15,6.7576999522335655
6.71,6.79968459435139
3.01,2.3255652661630393
7.13,7.476623928145614
2.8,2.684778826913089
3.4,3.5816828886430585
5.42,5.265717164585567
9.35,8.696313204301248
1.95,2.0340467240599764
3.4,3.4891059023137814
3.4,3.752061850434359
2.94,3.014503531712876
7.86,7.969614329997512
6.25,6.043608373287157
1.39,1.9569751386334246
7.54,7.25797955367733
2.31,1.6758595834813264
7.09,6.896053231705878
2.09,1.6909296883891898
7.51,7.6877269745399985
7.13,7.125179716478044
5.42,5.912471058839287
7.13,5.98378580354705
3.4,3.4012947785740835
2.31,1.6184266598645536
3.26,2.9864862584251455
2.94,3.3054680689896827
3.18,2.9763662793601497
8.85,7.963552739592615
3.25,3.676667698289748
5.23,5.356094910124398
2.4,3.6118767546181516
7.13,7.643287477523074
1.9,1.356782221008416
9.4,9.762712536416188
6.71,6.984065652843697
6.52,6.16846597950223
2.06,2.0530461204714356
8.53,8.086778649278585
6.9,6.825031369116857
1.39,1.9711358626764195
2.4,2.6223588387698555
1.72,2.0734380099340797
5.4,5.268175466078333
5.4,5.828263939476756
7.88,7.127086554013545
3.21,3.3525863806024176
1.76,1.8316578202279175
4.7,4.2400281216743
5.15,5.201485725267673
7.89,7.529753143710593
1.43,1.5595810820453835
7.13,6.947592141524922
9.47,9.8493863859631
2.09,2.6089527192928585
6.72,6.263353313924938
2.91,3.1446118385818522
1.51,1.8348415578711865
1.51,1.8668209904960804
7.31,7.610551706066872
3.26,3.092557305396724
6.9,6.785878622697339
7.72,7.243672121449492
6.72,6.360115928408106
6.6,6.474879372556018
3.66,3.6884512561449583
7.88,7.44810188633619
4.92,4.387500618581498
3.01,2.784690719849209
5.4,5.203811618777138
7.02,6.269667721674693
2.09,2.5230578395056114
7.13,6.915543452819179
1.51,1.6761078275476393
6.52,6.374808593514956
1.65,2.169026242344671
7.32,7.937339054927634
7.02,6.326737488831498
8.53,8.187428600687497
1.32,1.2222569847000386
7.13,7.245670672616029
7.1,6.635966843583731
1.53,0.9143242642156792
3.25,3.587084277926806
2.69,2.6683885159334295
1.79,2.203611709923166
3.29,3.2142519125769127
5.4,5.4840987995019645
3.07,3.198795582213961
6.71,6.800618493120169
2.83,3.1062972653970746
7.54,7.103103519724073
2.06,2.067627360113022
6.72,6.482943576524349
6.52,6.305112533672002
2.15,2.65856704442092
3.29,3.028636173197924
6.9,6.845698991626648
3.4,3.346556080312382
1.73,1.9687409677343908
3.4,3.294825903885908
1.53,1.7232304811867607
4.7,4.309285477546325
1.6,1.7214173726594026
3.42,2.820524475155196
7.96,7.007679405974386
5.23,5.194784194505985
7.86,8.314347897492496
3.07,3.4371809634056945
2.35,2.578818839002736
6.65,6.782909180591332
9.35,8.84479074453867
1.86,1.8956691650508901
1.73,1.912781051593754
7.55,7.162597560813936
3.3,2.8265782200126637
8.09,8.615919490398994
3.4,3.425524947587519
6.52,6.475784444090209
6.13,5.874827126736591
7.31,7.294322950834612
2.7,2.922883201660852
3.25,3.107507355595658
1.82,2.1540051110055174
5.4,5.525834467915956
3.07,3.339114406612282
3.4,3.304934427299372
7.02,6.1451772133446525
2.09,1.5804822090583457
9.47,8.910135818811227
6.6,6.854348259265862
5.7,7.549171964054267
1.73,1.973588182160995
1.39,1.628412971493276
2.06,1.9158643911450781
9.1,8.05244949793854
7.1,6.977114662317206
7.0,6.60101653751218
7.31,7.542550323863168
3.63,4.067044686487975
2.06,1.9972013332287588
3.07,3.3174717070453426
2.91,3.1883280995712084
3.26,3.0295673505574996
1.73,1.899747873014178
7.13,6.943675106712988
3.01,2.90331778069708
2.35,2.473025653350419
7.31,7.674958051532542
3.34,3.2217313736519486
7.86,7.421624749078774
2.69,2.85904403427719
7.09,6.840840322542533
9.73,8.928926141940565
2.83,2.921634545025313
3.07,3.3439991765436616
7.31,7.486324272909883
7.86,7.774163666730942
2.66,2.5948782387968663
6.52,6.350301684865485
2.75,3.1297429611161647
7.88,7.314846453022085
2.83,2.843127883295267
2.7,2.7457695855043767
4.0,4.325245837734315
3.4,3.3121410864459904
5.7,7.414596821539078
2.06,2.032205509288872
3.4,3.314563256168242
9.24,9.670606964425872
1.73,1.3631157498923585
2.69,2.908370428403657
4.7,4.039517402437525
5.7,5.950810043763568
7.54,7.957352861481638
1.76,1.8640828876610271
2.91,3.1296364956988327
3.4,3.2320129686391397
5.4,4.6753900970547875
5.42,5.779507240205817
2.15,2.348625423267549
3.25,3.2793124136132406
6.25,6.309567363171141
3.25,2.876445410937322
7.89,7.694006318930462
2.06,2.0814735229202483
6.6,6.379811492852639
6.52,7.166972749608192
4.21,3.927902508650277
7.81,7.842190044539393
6.52,5.926688304083086
2.83,2.421306293072689
2.69,-16.468620580204288
1.73,2.009896795352631
2.7,2.98961769187963
2.35,2.4938230792744207
2.91,3.2258456630752335
2.02,2.5232894845437954
7.31,7.293449400469797
4.7,4.352668764517034
7.89,7.581266941641616
1.73,1.6586846636860741
2.94,3.1316312568992544
2.83,2.9362275417157093
8.41,7.08579442102814
1.6,1.8497145112052635
3.25,3.2605755471596467
1.53,0.7767094882221954
3.21,3.4872830548475235
8.85,8.427488589219593
5.4,5.326040126365456
2.69,2.7767937368564617
8.41,7.992967515122359
3.72,3.1601522977736636
1.6,1.882150680201903
1.39,1.6568397927119918
6.9,7.006191064747327
9.47,9.44425133668733
2.91,3.0045879628734156
6.9,6.905931880748824
2.09,1.7677783584265967
1.32,1.1618925695937605
1.72,2.1042482999238814
9.47,9.681170606039245
3.42,2.920800579130571
7.13,7.113539100562662
3.25,3.7095496043491494
1.51,1.8641359045780064
7.51,7.202639746235093
3.01,2.942183432652257
3.42,2.972175431366395
5.4,5.523832326750835
2.4,3.3100650656658104
9.35,8.741701836771597
2.17,2.6332237786628525
1.73,2.0104302002420127
2.94,3.0527731892261727
5.42,5.550341191792029
2.83,2.8222041496598536
3.4,3.4853365523608204
2.87,2.9366026604345734
8.92,8.23851477171894
5.7,5.737440913302123
6.9,6.87884099662358
6.87,6.230122888555911
7.51,7.756721638182398
6.52,6.490439670766932
7.96,7.2013752849309185
2.94,3.143662885014237
3.31,2.8442939223394887
6.52,7.381896679186923
4.92,4.352987075877877
7.02,6.464658231683643
2.66,2.618199274206461
9.47,10.04914571355198
7.89,7.7215434615749245
4.1,4.74148640469906
1.73,1.3982627617465937
1.79,2.036155997993717
3.18,3.2694840600099155
4.94,4.33608747784416
5.4,5.250539243570131
4.94,4.424007498398396
2.91,3.266972670405437
6.25,6.505186642812021
6.9,6.901497555062008
3.19,3.26079766754782
9.4,10.36398867464419
1.32,1.7928501357002915
5.5,5.708909666306624
6.52,5.929824803230531
4.47,4.63049571126254
2.8,2.692740213877471
1.53,1.5129757691913142
5.42,5.573228418405904
7.89,7.707886430695908
6.52,6.671535129091012
1.6,2.8297616997820683
9.25,8.276737344089781
5.4,5.512870917340194
2.06,2.2238868034860957
5.4,5.425093805357619
1.73,1.4152198737131698
1.64,1.7502062379665517
5.42,5.722044210234344
3.07,3.417537661540166
1.73,2.0080554983411503
3.56,3.4203004744190366
1.53,1.455344346107836
1.32,0.9092393670915726
6.15,7.458829626114891
2.91,3.1523543417046085
1.79,2.0637793742267263
2.06,2.1138186381867285
1.39,2.0028558841938775
2.83,2.8228059758363315
3.07,3.3469709395045584
7.54,7.924718817622988
7.92,6.894827558311022
1.62,1.3050335426963215
3.07,3.4250820733641945
2.26,1.7892794397540683
2.06,1.9800275648057664
5.86,6.967305285987209
1.62,1.0408455070730724
6.3,5.8395500008253975
5.7,5.798456648190552
5.23,5.263997347231282
9.35,8.55541245120304
7.4,7.233377473844769
7.13,7.377933307430908
1.73,1.2038174080805675
2.91,2.8812581972405837
3.4,3.3871350775328324
1.53,1.5414664265641704
6.25,6.367009001698989
6.9,6.803536104354578
3.4,3.549375735840158
1.73,2.091386839916254
7.89,7.663350314407467
2.69,3.159101167198571
3.4,3.4023884979247896
1.73,1.9766486636895024
3.31,3.26588306355211
9.47,9.157180735042857
6.3,5.923926177078499
2.1,1.5072164868905134
1.53,1.4213054911930953
1.6,1.7078846717909641
7.31,7.13680431704239
2.72,2.648069745977125
6.3,6.127605898722948
7.0,6.479875971409342
4.7,4.351133503806466
1.65,1.308885485455619
1.51,1.8780107456765904
3.31,3.3551806796580195
7.54,8.03729906088364
7.88,7.275936139336011
4.94,5.24133100341777
6.13,5.9227310030473745
5.42,5.52885588101924
7.31,7.388729112189026
1.32,1.4034747428066225
5.6,5.451356187940519
1.64,1.5542770664453656
1.39,1.695734180132547
1.55,1.0082899427676466
