Actual Values,Predicted Values
37.2,29.47328503866447
63.65,118.7027633775433
63.45,119.88686553027947
2476.5,2498.738439389912
41.95,37.57940143882297
1698.0,1662.503431393241
44.25,155.19113852689043
2108.0,1999.6605857100221
191.8,163.20672930625733
44.95,66.49950630025705
191.8,182.83650315075647
1945.0,2020.8262219654862
63.65,41.27192913219915
1761.75,1379.2667243589822
37.2,64.99394972011214
47.7,92.77377257138141
61.1,206.607955287589
43.5,101.6089400765486
96.5,101.97182978098863
566.5,590.8205637937644
65.15,33.445392157678725
43.5,137.67122027478763
69.65,27.651463234098628
43.5,-31.813751692912774
109.3,472.33726345727337
191.8,207.60943362489343
2405.75,2221.034190746286
1761.75,1355.279324383213
2011.75,1814.0091476511734
43.15,-67.54856197466142
83.7,109.15729559247848
2476.5,2678.3408548800217
83.95,107.33601770806126
37.2,65.13933390509919
63.65,116.08206678944407
674.75,1067.9664942970558
52.8,94.62365425413009
2011.75,1923.9156374726736
86.1,43.37719449814176
109.8,88.07145109481644
37.2,18.184827506745933
2408.25,2573.747364995681
1253.25,1368.9865971266117
59.7,71.57397091688472
86.1,52.20784306782298
61.0,-26.459399540675804
83.95,78.40271393812145
847.75,1065.9024350882974
54.4,-3.3644585548026953
43.15,-105.92914982532966
2914.25,2739.193026035384
101.4,79.44165298849111
2914.25,3191.4777245594596
2467.25,2052.3022280792648
199.95,296.1956256213307
101.4,98.20578719727928
2011.75,2161.526047495514
63.65,142.7536710408458
3240.25,2990.981959673547
2914.25,2723.8234953500214
957.25,1218.2509805858717
101.4,118.64901834828197
82.35,110.42137153155636
184.15,252.18483299494255
1253.25,1203.7137850879517
68.0,92.34190819406649
71.55,79.40465903095901
109.3,220.07904731557937
63.65,78.95371586913825
40.2,171.56898476515198
1487.0,1599.6376270818291
67.0,107.39899415613036
1014.5,888.4781810328423
45.3,20.54222579902853
2604.0,2787.9334190191585
191.8,193.84209906301112
1253.25,1309.6505754797836
2108.0,1925.7257140729052
2664.75,2478.785919073038
109.3,423.3838917099929
39.05,-113.86655612045433
2555.0,2807.1642408663465
61.0,-27.082804177101934
2555.0,2626.4931077173387
2555.0,2622.577649066545
1455.5,1562.3334923521616
69.65,268.35944185598055
59.7,54.70695047726622
191.8,237.1899654326553
191.8,273.40754508654936
2748.0,2772.1044720811187
1761.75,1427.53957914692
67.0,100.12602098818752
2011.75,1860.9477422217315
215.35,184.44522927462822
2076.75,2024.5612909105548
1455.5,1627.969696699758
104.85,77.14128819908365
59.1,108.41191485445597
54.35,153.04479692844325
2108.0,1940.9782054287207
753.75,1039.2446519737423
110.4,-8.601174207578879
191.8,174.62908009404782
83.95,145.8261557574151
709.0,623.6569529747067
199.95,265.0497435632569
966.75,907.3809348128561
44.95,87.44534489139915
43.5,35.48421108329785
63.65,71.49307309981668
2076.75,2116.0526611805253
746.0,766.7388720606687
63.45,78.82283763113082
41.95,3.6060413526720367
2914.25,2738.3548079483735
40.2,16.884710618905956
65.15,-2.7566109628241975
1487.0,1650.6632037741656
43.5,-32.191641032201005
1484.25,1528.8827610364242
40.2,208.34113519763923
63.65,93.06447752870736
746.0,749.5972686768218
59.1,-27.73492358677322
2555.0,2446.4138240163156
39.05,-162.15442499244818
215.35,185.71620140070445
1641.0,1638.098815538804
40.35,-27.25079959744471
63.65,94.14773756536306
41.95,107.5116862054856
48.6,79.94664548218134
1534.5,1563.150255389657
237.2,202.41232179445797
1014.5,904.8731676736206
47.35,77.45988489000592
59.7,-22.88650427624816
109.8,75.51898316046572
2405.75,2141.1408412502205
66.15,-2.293464171147207
184.15,109.04755336060771
68.9,106.15760509084794
1569.0,1592.0816342453181
69.05,18.165548551187385
46.8,-7153.8713745342975
2476.5,2692.908702842804
1698.0,1818.6483087153174
1253.25,1382.1332138733706
1455.5,1447.6823304114223
61.0,-24.368193602364045
1641.0,1559.470611656492
109.8,119.22513959009666
43.15,155.7950930056686
2914.25,2830.979694576672
709.0,669.7636565209541
2505.5,2756.5438515865535
215.35,159.60567686578725
199.95,258.9029908791126
1761.75,1391.2780144493736
2560.0,2589.6626897214446
566.5,536.4380557018449
39.05,138.15143986602197
39.05,166.1014049796213
66.15,-10.407802170462674
52.25,68.22156482641003
199.95,291.98651847196743
82.35,42.3750787480094
1641.0,1564.878821209073
43.5,-120.62743102264358
39.05,-105.07111239380902
2476.5,2405.0230553452275
109.3,437.71608460330754
1455.5,1641.7351106019923
2476.5,2679.1765167895355
59.7,19.243343316134997
2620.75,2572.6396876159706
2555.0,2498.327505131223
2405.75,2142.571980697714
2011.75,2130.2428020745574
59.0,45.899207561975345
44.25,163.50557126232889
82.35,75.433707906981
106.1,153.37038853456033
1761.75,1835.2074592387944
2405.75,2580.8194232677924
1641.0,1618.0448153761972
1487.0,1672.5876200761995
109.3,194.2567598290625
1484.25,1514.301016392099
2555.0,2470.376237302844
2405.75,2135.6172184363822
566.5,527.251202483807
65.15,26.839931346446974
39.05,-150.2597517974209
69.65,135.62233780528186
37.2,65.53837662001024
110.4,193.8007040936791
69.65,131.31747314915992
1698.0,1671.448856353236
59.0,75.75561060130713
43.15,-85.50652119447477
746.0,872.5757776552637
1052.5,975.4105668088014
109.8,73.11912298083189
2555.0,2651.0046162748768
1698.0,1642.2007563768711
68.0,52.267435272427974
63.65,143.80636358860647
215.35,168.4053138749441
48.6,61.90759664188954
2555.0,2612.197230994934
63.45,-42.91278630134184
2405.75,2250.7448251861497
41.95,18.43547514855163
2979.0,2818.017854043981
2491.5,2497.7240005182393
39.05,-109.11288028620766
69.65,133.08507855571224
