Actual Values,Predicted Values
7.23,7.85799781671858
6.9,6.624522001141486
6.1,6.172877053407774
5.95,5.386935419492147
6.1,6.2586245280808726
4.58,4.954667323637295
7.36,7.332604947397158
4.58,4.858132992586889
4.58,5.239686625983268
5.45,6.019574050495976
9.86,10.008419385963407
8.46,8.058079986801204
8.89,8.74580054620128
6.51,5.33776182918109
5.45,6.0275365479651555
7.3,7.684253609132156
7.4,7.217007636848848
6.86,7.18323761640022
6.1,5.9421358827517
7.36,7.482946028279457
8.89,8.687431510716578
7.36,7.293713978949654
7.3,7.6471754305898685
6.51,6.384564187525939
6.1,6.037961226435527
4.58,5.541109817719644
6.51,6.304945040471921
9.86,10.041309272924536
5.55,5.0727527833819295
9.86,9.6575351230249
3.49,3.6392754464641257
3.49,3.447702619128904
8.68,8.712915759392217
6.86,7.035999524497129
3.49,3.6361782873041193
8.46,7.8971441201629204
7.23,7.379654720866256
6.1,6.293660280465701
4.58,5.625309500861022
7.23,7.730137578756967
7.36,7.385883568637837
7.08,7.230851721672934
6.9,6.681642833965725
6.51,6.208006916191607
4.58,4.873847863427727
3.28,3.58548994477178
6.86,7.383715410121113
4.58,5.557028596521832
6.51,6.3220562586075175
3.49,3.413910883051358
9.03,8.669499992514375
6.9,6.670451224774297
9.32,9.385238404394386
3.49,3.5965756296459404
6.36,5.4652395267007705
3.49,3.5036425647017495
6.86,7.448796617807147
9.82,10.059487990577964
6.85,6.555161410652545
6.01,5.436770919549417
8.46,7.8065636427863865
5.36,5.563941009516839
7.09,7.248132459712451
5.45,6.020699038052044
8.46,7.923089584197442
8.89,8.799880005468822
6.1,5.955152692076354
6.86,6.810215558512937
9.86,9.283247613010644
9.86,9.428494483731356
3.28,3.33009646913888
5.45,5.917589914460677
8.68,8.715255508840983
4.58,5.156212118096846
6.1,6.022277129913618
7.36,7.386323105029987
8.18,9.394452925570022
3.49,3.6158598045108192
3.49,3.4758307826459713
6.1,6.002887687379825
4.58,5.221948348665137
3.49,3.7285964344628155
3.49,3.409128221917399
6.1,6.136261418876984
8.46,8.68431572152258
6.1,6.416985611777818
6.51,5.335695458891223
6.86,6.622407254924383
6.86,6.852206131166895
6.25,6.567339183496188
9.86,9.935061826853598
4.58,5.257821137316114
6.1,6.007155592504205
7.86,7.391222547526013
9.32,9.519488530195758
6.1,6.096752572133937
4.58,5.20634343098709
9.86,9.430407744676813
7.23,7.130639571971187
6.51,6.225709810516946
6.51,6.342777116803063
8.68,8.746435647595263
4.58,5.528298551658736
6.86,6.887857232121405
9.86,9.979362153882448
5.39,5.566779812400455
6.1,5.903466567907344
4.58,5.530776677392623
4.58,5.459443119035768
3.28,3.279872218501623
6.51,6.2464602136988105
4.58,5.477307446774375
6.86,7.076585616142438
6.86,7.287926604083623
9.86,10.00018971711961
6.51,6.285278549290069
3.49,3.274707920153105
6.1,5.972303209687652
6.9,6.572770316450715
6.25,6.501833060594436
9.86,9.590059040736833
6.1,6.240398554487001
6.86,6.805160367712688
7.36,7.362226979012576
3.28,3.346192985320158
6.1,6.521850049331988
7.3,7.708754297343148
6.86,7.284272500653515
8.89,8.561565467121
3.28,3.1981787670893027
7.23,7.73052787018969
6.51,5.3622635414958495
9.86,9.719985472785993
4.58,5.459512541523509
5.95,5.316606712324756
5.8,5.231615788910403
7.36,7.351393767025911
6.1,6.06252711596062
8.86,8.718077242748677
6.86,6.897468172384379
6.9,6.566644637586705
7.23,7.171040891211305
6.86,6.894061145835167
8.46,7.875029333443308
4.95,5.57629410267873
6.86,6.952909027363603
7.34,7.279319878801289
6.17,5.46371774553063
6.86,6.820270392734983
6.51,6.194916953299071
3.28,3.559381287629094
6.1,5.8325339300281485
6.86,6.841760844683904
9.86,9.681469586032563
4.58,5.170199137083728
4.58,5.034649811521376
6.9,6.621562660965992
8.46,7.882676087252548
5.95,5.325916226372101
3.28,3.822953038853939
3.28,3.1750201193503926
6.86,6.669634556304118
4.58,5.250462790561869
9.86,10.052814761003901
8.46,7.955567322791467
3.28,3.3077399275225616
4.58,5.456582880148289
8.46,7.988830649761439
6.1,6.203152524018151
7.36,7.270503642079802
7.23,7.253837432449927
5.45,6.01848945077154
7.36,7.402553334903132
5.45,4.497937088939125
6.1,6.313122173441116
6.12,6.5087515047544
3.49,3.843717145713981
6.86,7.173935699521735
3.49,3.6418813030745696
6.51,6.313559422628259
3.49,3.6969678574350837
9.86,10.091983003008863
7.09,7.2911367129531754
8.68,8.586230354373129
9.97,10.284142276546845
6.86,6.823897437609048
7.36,7.419027967131115
3.49,3.5459791488983683
6.13,6.086120858071354
6.25,6.548013731440278
3.28,3.067657172982763
3.49,3.5726544708518304
8.89,8.734109889654064
5.45,4.513401127238922
6.86,6.828183218314734
6.12,6.492731100377114
7.23,7.148609943051724
3.49,3.4350921823001954
3.28,3.939641114706774
7.23,7.715718241257491
6.51,5.420452175328137
3.28,3.0464927516777607
5.95,5.344249914038301
5.8,5.069617979747363
6.15,6.024615784123853
