Company,Y-Column,Model,Method,RMSE,MAE,MSE,n_neighbors,weights,metric,r2_score
500002-ABB India Limited,LowerBandInLast12Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,65.80241274767367,49.111393912281656,4329.957523415207,96,distance,manhattan,0.9430973537715264
500002-ABB India Limited,LowerBandInLast24Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,28.079516730410482,12.292762089517494,788.4592598134021,6,distance,manhattan,0.9897338084011544
500002-ABB India Limited,LowerBandInLast36Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,25.139436583003107,13.41953677203738,631.991271710835,21,distance,manhattan,0.990931808135094
500002-ABB India Limited,LowerBandInLast3Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,42.58558253811366,28.65739538599742,1813.5318401104912,5,distance,manhattan,0.9775152749315733
500002-ABB India Limited,LowerBandInLast6Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,40.11005300735866,22.881788435975214,1608.816352253121,4,distance,manhattan,0.9797859667027926
500002-ABB India Limited,UpperBandInLast12Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,33.83951976687239,15.659709409374804,1145.1130980525475,5,distance,manhattan,0.9896224318325858
500002-ABB India Limited,UpperBandInLast24Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,70.25113935682343,44.98384927096167,4935.222580931825,96,distance,manhattan,0.9484533775325801
500002-ABB India Limited,UpperBandInLast36Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,72.14790770944498,46.906885701483745,5205.320586850589,96,distance,manhattan,0.936061408946172
500002-ABB India Limited,UpperBandInLast3Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,52.79835181651236,32.19534500219475,2787.665954540214,5,distance,manhattan,0.9732938925898077
500002-ABB India Limited,UpperBandInLast6Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,47.73827638027253,25.423768626559088,2278.943031759286,5,distance,manhattan,0.979213901411719
500003-AEGIS LOGISTICS LTD.,LowerBandInLast12Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,70.48625902880967,22.56098513745292,4968.312711876452,2,distance,manhattan,0.9851972302934315
500003-AEGIS LOGISTICS LTD.,LowerBandInLast24Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,23.349893831505806,6.267732691501887,545.2175419425929,4,distance,manhattan,0.9965172422591005
500003-AEGIS LOGISTICS LTD.,LowerBandInLast36Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,18.927674964990572,5.0162001054881475,358.25687958033086,4,distance,manhattan,0.9974869281774881
500003-AEGIS LOGISTICS LTD.,LowerBandInLast3Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,181.84959319473413,65.92351839076676,33069.27454509029,2,distance,manhattan,0.9747839408668161
500003-AEGIS LOGISTICS LTD.,LowerBandInLast6Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,106.9104811652345,42.064307896112226,11429.85098298196,2,distance,manhattan,0.9856396341765057
500003-AEGIS LOGISTICS LTD.,UpperBandInLast12Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,602.9682306666443,131.07059573262885,363570.68719326355,6,distance,manhattan,0.9505687099339926
500003-AEGIS LOGISTICS LTD.,UpperBandInLast24Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,613.1790760519898,115.02391615346357,375988.5793079719,6,distance,manhattan,0.9598478153154799
500003-AEGIS LOGISTICS LTD.,UpperBandInLast36Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,655.8101766764031,243.795335636733,430086.987832335,71,distance,manhattan,0.9583578214550079
500003-AEGIS LOGISTICS LTD.,UpperBandInLast3Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,625.4316375849959,139.78015755988605,391164.7332922496,3,distance,manhattan,0.9030109466855303
500003-AEGIS LOGISTICS LTD.,UpperBandInLast6Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,536.4858869810503,152.16667204179907,287817.1069298442,6,distance,manhattan,0.9455816449240506
