,Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
1089,500002-ABB India Limited,LowerBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,47.68707422306357,28.766681939154346,2274.0570479559738,0.9701152117535917
1088,500002-ABB India Limited,LowerBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,47.68819512768485,28.769812018780346,2274.163954536145,0.9701138068281905
1091,500002-ABB India Limited,LowerBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,74.11888731904307,44.47018410790443,5493.609457413003,0.9278050849732105
1090,500002-ABB India Limited,LowerBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,74.33293151269459,45.695426576318226,5525.384707270944,0.9273875067887339
1092,500002-ABB India Limited,LowerBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,39.59037384457081,27.594466312547613,1567.3977011528768,0.979591583317274
1093,500002-ABB India Limited,LowerBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,70.81019560833326,42.0802681368981,5014.083802090419,0.934713754243801
1094,500002-ABB India Limited,LowerBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,82.56932765816404,54.32912695826906,6817.693869921253,0.9112297171226689
1095,500002-ABB India Limited,LowerBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,83.01167580942659,54.10485075986832,6890.938320689341,0.9102760323814746
1096,500002-ABB India Limited,LowerBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,30.685031830903778,22.435317523759956,941.571178463578,0.9864897689525686
1099,500002-ABB India Limited,LowerBandInLast36Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,49.00678214795671,36.54950816012409,2401.664696497289,0.9655394667017276
1098,500002-ABB India Limited,LowerBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,49.16869266923035,36.55964663109925,2417.5603388012264,0.9653113864406857
