Actual Values,Predicted Values
258.5,1624.6530108219013
29401.5,8409.624665766023
204.3,-2061.0673783132806
18892.0,20740.143258207478
27321.5,25992.338886564597
18395.5,21999.466079355218
13612.0,13541.503109613433
13612.0,10509.165065450594
27552.5,23573.10297483951
337.4,1269.8968046540394
15926.0,17914.73875633534
24652.5,23408.99565622676
27011.0,26269.607989965938
34895.5,31008.582397361286
296.7,-1056.1884428616613
312.55,2726.5802265312523
291.8,4645.44232148584
348.95,2705.5707363002
26490.5,26751.866473386064
19569.5,18868.055697563104
24246.0,23074.699461250566
25392.0,23797.333046806045
19095.0,18773.02955107484
287.65,1200.5018745427951
215.75,294.07408868614584
291.8,4269.126626612619
209.55,-1906.7712412616238
24652.5,21572.811239678413
343.65,1560.0179128237069
24652.5,23721.158163687214
217.4,-1045.9053104473278
23448.0,23246.59998926148
296.4,-1304.624182159081
17699.0,20890.00550040044
22322.0,23220.02540861629
203.35,-547.1576143531129
18860.0,19657.87544381898
298.8,-71.16173622384667
348.95,-168.7934408178553
23050.5,22914.219834464602
31641.5,29241.116059090942
21375.0,22313.087273306213
298.8,-1158.6890012128279
22322.0,22992.114714780822
27552.5,23537.034561704844
24848.0,24015.498402029276
272.25,-2163.2379121370614
250.45,227.5887737609446
29401.5,13339.518357844092
24652.5,21284.99021534901
312.55,-398.57819188572466
276.1,-406.7177527155727
312.55,2177.5326706450433
15926.0,13602.740579390898
291.8,4382.071879808791
267.95,911.192653763108
24652.5,24043.857881178148
337.4,1000.2490577474236
26256.0,29085.677867377177
231.75,1473.9175502825528
287.65,847.122788887471
21725.5,22076.285894479603
332.25,4.358983516693115
23448.0,22979.219573738053
329.5,134.33735948149115
13612.0,9261.733021182008
267.95,2606.7948761470616
288.25,4073.6953492723405
29401.5,12458.436132577248
34895.5,35701.25843486283
328.25,-1568.5942535279319
27011.0,26247.563421434723
17059.5,16129.794345910661
372.15,1129.1802331740037
277.65,948.8213439891115
316.45,1285.2253639651462
13669.5,15994.522088001482
302.75,4317.550061803311
27552.5,25441.084329079837
24366.0,25208.370464974083
27552.5,25579.22627434414
334.45,4299.862152821384
305.1,-21.63960917852819
