Predicted Values,Actual Values
[-0.00110284],[0.01547525]
[-0.00108126],[0.01045821]
[-0.00110212],[-0.00516351]
[-0.00103919],[0.02355952]
[-0.00109791],[0.01996928]
[-0.00110191],[-0.01615013]
[-0.00108104],[0.01932135]
[-0.00109612],[-0.04399314]
[-0.00110828],[0.01129905]
[-0.00109783],[0.01223944]
[-0.00110377],[-0.01168443]
[-0.00109696],[-0.00824364]
[-0.00110182],[-0.04725584]
[-0.00107889],[0.02034651]
[-0.00109826],[0.00898771]
[-0.00109542],[-0.00143274]
[-0.00110186],[-0.02035173]
[-0.00109361],[0.00961176]
[-0.00112292],[0.00023641]
[-0.00110207],[0.00233465]
[-0.00110225],[-0.02522771]
[-0.00109994],[4.89524182e-05]
[-0.00110701],[0.00605897]
[-0.00110532],[0.00094262]
[-0.00110202],[-0.01771]
[-0.00108087],[-0.02224309]
[-0.00108926],[-0.01603962]
[-0.00109619],[0.0049643]
[-0.00107869],[0.00407507]
[-0.00117579],[-0.0636066]
[-0.00110653],[-0.04308482]
[-0.0010901],[-0.0296252]
[-0.0011299],[0.02121855]
[-0.00109875],[-0.002808]
[-0.00110191],[0.01637327]
[-0.00113532],[-0.00992647]
[-0.00110344],[-0.00558578]
[-0.00110215],[-0.01295752]
[-0.00110771],[0.00425755]
[-0.00110194],[-0.01170373]
[-0.00110807],[0.00926885]
[-0.00110328],[-0.01557687]
[-0.00109445],[-0.00122272]
[-0.00109739],[-0.02704999]
[-0.00109914],[0.00348506]
[-0.00109356],[-0.00590117]
[-0.00110144],[0.00986402]
[-0.00109547],[0.01605565]
[-0.00113703],[-0.06778679]
[-0.00111235],[-0.01018585]
[-0.00111065],[-0.00213265]
[-0.00109736],[-0.00985093]
[-0.00110895],[-0.00165133]
[-0.00109348],[0.01703189]
[-0.00109917],[-0.00785175]
[-0.00108927],[0.0220549]
[-0.00107886],[0.01039045]
[-0.00110074],[-0.02440641]
[-0.00108822],[-0.01022853]
[-0.00110323],[-0.01179262]
[-0.00110475],[-0.01371217]
[-0.00109007],[0.00977547]
[-0.00111979],[-0.00145281]
[-0.0011003],[-0.00169477]
[-0.00109362],[-4.47627574e-05]
[-0.0011105],[-0.02500515]
[-0.00110574],[-0.03668414]
[-0.0011029],[-0.00300829]
[-0.00110964],[0.00163373]
[-0.00109942],[-0.01035771]
[-0.00110388],[0.00523493]
[-0.00110673],[0.0207569]
[-0.00110146],[0.00135908]
[-0.00111287],[-0.0161173]
[-0.00111254],[-0.0118325]
[-0.00110354],[-0.00846214]
[-0.00110249],[0.00605249]
[-0.00111399],[-0.02898746]
[-0.0011051],[-0.00566028]
[-0.00109341],[0.0141524]
[-0.00109949],[0.0066341]
[-0.00109674],[-0.00095105]
[-0.00110629],[-0.00974863]
[-0.00108922],[-3.88812566e-05]
[-0.00110009],[0.00250467]
[-0.00108465],[0.03694277]
[-0.00109911],[0.00497706]
[-0.00102575],[0.00684021]
[-0.00109942],[0.008633]
[-0.00110686],[-0.00023723]
[-0.00108894],[0.01190634]
[-0.00109876],[0.01091988]
[-0.00110711],[0.01234176]
[-0.00109439],[-0.00138387]
[-0.00110934],[0.0255023]
[-0.00113671],[-0.03047984]
[-0.00110113],[-0.00542483]
[-0.00110181],[0.00674308]
[-0.00110264],[0.00039149]
[-0.00109897],[0.03456658]
[-0.00111744],[0.00217702]
[-0.00111427],[-0.00305156]
[-0.00111751],[-0.00100085]
[-0.00110403],[0.01832562]
[-0.0011014],[0.02160976]
[-0.0011112],[0.01560603]
[-0.00110101],[-0.00980379]
[-0.00110075],[-0.0047051]
[-0.00109936],[-0.00935017]
[-0.00110561],[0.00858358]
[-0.00104705],[0.06908844]
[-0.0010928],[-0.01389205]
[-0.001101],[0.00054864]
[-0.00110886],[0.00282742]
[-0.00108617],[0.01557738]
[-0.001097],[-0.02186966]
[-0.00110453],[-0.00997579]
[-0.00113511],[-0.01580924]
[-0.00109892],[-0.00074634]
[-0.00110468],[-0.04473842]
[-0.00112532],[-0.01723912]
[-0.00110131],[0.00897975]
[-0.00107453],[-0.05319407]
[-0.0010904],[0.02117303]
[-0.00109841],[0.02976382]
[-0.00110338],[0.03300259]
[-0.00110325],[-0.05677873]
[-0.0011009],[-0.0488112]
[-0.00110401],[-0.02191863]
[-0.00108943],[0.00206458]
[-0.00110616],[-0.02575156]
[-0.00110665],[-0.02941736]
[-0.00110627],[-0.01166053]
[-0.00109425],[-0.00316075]
[-0.00111273],[-0.00670362]
[-0.00108618],[0.01428699]
[-0.00109641],[0.02016186]
[-0.00115349],[0.05461949]
[-0.00110222],[0.00423554]
[-0.00110461],[0.00983641]
[-0.00110497],[-0.00492453]
[-0.00110242],[0.0052331]
[-0.00109899],[-0.01362689]
[-0.0010966],[-0.01119704]
[-0.0011035],[0.03152388]
[-0.0011081],[0.00382919]
[-0.00109492],[-0.01981522]
[-0.00110354],[0.00855708]
[-0.001103],[0.06099733]
[-0.00109926],[0.01047441]
[-0.00110391],[0.00815325]
[-0.00110322],[-0.01493697]
[-0.00110345],[-0.03353983]
[-0.00109363],[-0.00673457]
[-0.00110146],[0.04307457]
[-0.00110485],[0.01013582]
[-0.00109789],[-2.18765724e-05]
[-0.00107498],[-0.01426489]
[-0.00110147],[0.00773219]
[-0.00110738],[-0.00099046]
[-0.00110419],[0.01326414]
[-0.00108007],[0.05438792]
[-0.00110445],[-0.00062621]
[-0.00110215],[-0.01355864]
[-0.00110186],[0.02765227]
[-0.00112734],[0.00923063]
[-0.00110021],[0.00287563]
[-0.00108892],[-0.00142785]
[-0.00110044],[0.00572091]
[-0.00104861],[0.00025657]
[-0.00109527],[-0.0107339]
[-0.00110057],[0.02047735]
[-0.00109836],[0.00490892]
[-0.0011036],[0.00854521]
[-0.00103458],[-0.01393181]
[-0.00108904],[0.01186729]
[-0.00110033],[-0.00759192]
[-0.00110022],[0.00549492]
[-0.00108362],[0.00169095]
[-0.00111249],[0.01337932]
[-0.00109979],[-0.01776354]
[-0.00110829],[-0.0052785]
[-0.00110887],[-0.00735666]
[-0.00110079],[-0.0068943]
