Company,Model,Method,Percentage
500790-NESTLE INDIA LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.489432703003337
500825-BRITANNIA INDUSTRIES LTD,Elastic Net Regression,ElasticFICoefficients0.1,0.5140939597315436
500825-BRITANNIA INDUSTRIES LTD,Linear Regression,LinearFIPValue0.2,0.512751677852349
500825-BRITANNIA INDUSTRIES LTD,Lasso Regression,LassoFIFValue1000,0.512751677852349
500825-BRITANNIA INDUSTRIES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.508724832214765
500825-BRITANNIA INDUSTRIES LTD,Ridge Regression,RidgeFIFValue1000,0.5033557046979866
500825-BRITANNIA INDUSTRIES LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.49798657718120803
501425-BOMBAY BURMAH TRADING CORP.LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5270618556701031
501425-BOMBAY BURMAH TRADING CORP.LTD,Lasso Regression,LassoFIFValue100,0.5257731958762887
501425-BOMBAY BURMAH TRADING CORP.LTD,Elastic Net Regression,ElasticFIFValue100,0.5257731958762887
501425-BOMBAY BURMAH TRADING CORP.LTD,Linear Regression,LinearFICoefficients0.1,0.5193298969072165
501425-BOMBAY BURMAH TRADING CORP.LTD,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5180412371134021
501425-BOMBAY BURMAH TRADING CORP.LTD,Ridge Regression,RidgeFIPValue0.2,0.5025773195876289
506395-COROMANDEL iNTERNATIONAL LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5345982142857143
506395-COROMANDEL iNTERNATIONAL LTD,Linear Regression,LinearFIFValue10,0.5301339285714286
506395-COROMANDEL iNTERNATIONAL LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5223214285714286
506395-COROMANDEL iNTERNATIONAL LTD,Ridge Regression,RidgeFIFValue10,0.5145089285714286
506395-COROMANDEL iNTERNATIONAL LTD,Lasso Regression,LassoFIFValue100,0.4866071428571428
506395-COROMANDEL iNTERNATIONAL LTD,Elastic Net Regression,ElasticFIFValue100,0.4866071428571428
507685-WIPRO LTD,Lasso Regression,LassoFIPValue0.2,0.5178571428571429
507685-WIPRO LTD,Linear Regression,LinearFICoefficients0.1,0.5167410714285714
507685-WIPRO LTD,Elastic Net Regression,ElasticFIFValue100,0.5133928571428571
507685-WIPRO LTD,Ridge Regression,RidgeFIFValue100,0.5111607142857143
507685-WIPRO LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5066964285714286
507685-WIPRO LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.4899553571428571
524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Linear Regression,LinearFIFValue1,0.5311778290993071
524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Lasso Regression,LassoFIFValue1,0.5311778290993071
524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Ridge Regression,RidgeFIFValue1,0.5265588914549654
524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Elastic Net Regression,ElasticFIFValue1,0.5254041570438799
524715-SUN PHARMACEUTICAL INDUSTRIES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5207852193995381
524715-SUN PHARMACEUTICAL INDUSTRIES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5161662817551963
530965-INDIAN OIL CORPORATION LTD,Ridge Regression,RidgeFIFValue10,0.5251396648044693
530965-INDIAN OIL CORPORATION LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5251396648044693
530965-INDIAN OIL CORPORATION LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5206703910614525
530965-INDIAN OIL CORPORATION LTD,Lasso Regression,LassoFIPValue0.2,0.5173184357541899
530965-INDIAN OIL CORPORATION LTD,Elastic Net Regression,ElasticFIPValue0.2,0.5173184357541899
530965-INDIAN OIL CORPORATION LTD,Linear Regression,LinearFIFValue100,0.5162011173184358
532163-SAREGAMA INDIA LTD,Lasso Regression,LassoFIFValue1,0.535632183908046
532163-SAREGAMA INDIA LTD,Elastic Net Regression,ElasticFIFValue1,0.535632183908046
532163-SAREGAMA INDIA LTD,Linear Regression,LinearFIBackwardElimination,0.5022988505747127
532163-SAREGAMA INDIA LTD,Ridge Regression,RidgeFIFValue1,0.4988505747126436
532163-SAREGAMA INDIA LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.4954022988505747
532163-SAREGAMA INDIA LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.46551724137931033
532174-ICICI BANK LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5167037861915368
532174-ICICI BANK LTD,Lasso Regression,LassoFIFValue1000,0.5144766146993318
532174-ICICI BANK LTD,Ridge Regression,RidgeFIBackwardElimination,0.5100222717149221
532174-ICICI BANK LTD,Elastic Net Regression,ElasticFIFValue1000,0.5077951002227171
532174-ICICI BANK LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5044543429844098
532174-ICICI BANK LTD,Linear Regression,LinearFIBackwardElimination,0.5011135857461024
532210-CITY UNION BANK LTD,Ridge Regression,RidgeFIFValue1,0.5080645161290323
532210-CITY UNION BANK LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5011520737327189
532210-CITY UNION BANK LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.4988479262672811
532210-CITY UNION BANK LTD,Linear Regression,LinearFIBackwardElimination,0.4896313364055299
532210-CITY UNION BANK LTD,Lasso Regression,LassoFIFValue1,0.4827188940092166
532210-CITY UNION BANK LTD,Elastic Net Regression,ElasticFIFValue1,0.4827188940092166
532488-DIVI'S LABORATORIES LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5317460317460317
532488-DIVI'S LABORATORIES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5260770975056689
532488-DIVI'S LABORATORIES LTD,Ridge Regression,RidgeFIFValue100,0.5136054421768708
532488-DIVI'S LABORATORIES LTD,Linear Regression,LinearFIFValue1,0.5102040816326531
532488-DIVI'S LABORATORIES LTD,Lasso Regression,LassoFIFValue1,0.5102040816326531
532488-DIVI'S LABORATORIES LTD,Elastic Net Regression,ElasticFIFValue100,0.5102040816326531
532538-ULTRATECH CEMENT LTD,Ridge Regression,RidgeFIPValue0.1,0.5439377085650723
532538-ULTRATECH CEMENT LTD,Elastic Net Regression,ElasticFIPValue0.1,0.542825361512792
532538-ULTRATECH CEMENT LTD,Linear Regression,LinearFIBackwardElimination,0.5417130144605117
532538-ULTRATECH CEMENT LTD,Lasso Regression,LassoFIBackwardElimination,0.5417130144605117
532538-ULTRATECH CEMENT LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5350389321468298
532538-ULTRATECH CEMENT LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5205784204671857
532540-TATA CONSULTANCY SERVICES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.515625
