Predicted Values,Actual Values
[-0.00024606],[-0.00516351]
[0.00051586],[0.02355952]
[-0.0002798],[0.01996928]
[-0.0002021],[-0.01615013]
[0.00135215],[0.01932135]
[-0.00030803],[-0.04399314]
[-0.00064371],[0.01129905]
[0.00116058],[0.01223944]
[-0.00459935],[-0.01168443]
[9.30107e-05],[-0.00824364]
[-0.00061729],[-0.04725584]
[-0.00556873],[0.02034651]
[-0.00040905],[0.00898771]
[-0.00279734],[-0.00143274]
[-0.00119183],[-0.02035173]
[4.9486644e-05],[0.00961176]
[-5.6119017e-05],[0.00023641]
[7.605508e-05],[0.00233465]
[-0.00333716],[-0.02522771]
[-0.00141799],[4.89524182e-05]
[-0.00081764],[0.00605897]
[-0.00206123],[0.00094262]
[-0.0010721],[-0.01771]
[2.4709005e-05],[-0.02224309]
[-0.00139337],[-0.01603962]
[0.00055037],[0.0049643]
[-0.00208981],[0.00407507]
[-0.00148468],[-0.0636066]
[0.00085548],[-0.04308482]
[-2.4107228e-06],[-0.0296252]
[-0.00183842],[0.02121855]
[-0.00693217],[-0.002808]
[-0.00327123],[0.01637327]
[-0.00333458],[-0.00992647]
[-0.00038994],[-0.00558578]
[0.00052892],[-0.01295752]
[-0.00016029],[0.00425755]
[-0.00311458],[-0.01170373]
[9.39139e-05],[0.00926885]
[0.00100731],[-0.01557687]
[-0.00201453],[-0.00122272]
[0.00064253],[-0.02704999]
[-0.00148491],[0.00348506]
[8.369728e-05],[-0.00590117]
[0.0004115],[0.00986402]
[0.00025979],[0.01605565]
[0.00062464],[-0.06778679]
[-0.00146808],[-0.01018585]
[0.00112249],[-0.00213265]
[-0.00125397],[-0.00985093]
[-0.00082157],[-0.00165133]
[-0.00168498],[0.01703189]
[0.00092508],[-0.00785175]
[-0.00454943],[0.0220549]
[-0.01023729],[0.01039045]
[-0.00355112],[-0.02440641]
[-0.00448942],[-0.01022853]
[-0.00484337],[-0.01179262]
[0.00027579],[-0.01371217]
[-0.00154172],[0.00977547]
[-0.00215836],[-0.00145281]
[0.00023694],[-0.00169477]
[-0.00214748],[-4.47627574e-05]
[-0.00099743],[-0.02500515]
[-0.00082228],[-0.03668414]
[-0.00180097],[-0.00300829]
[-0.00281342],[0.00163373]
[0.00032518],[-0.01035771]
[0.00138274],[0.00523493]
[-0.0030416],[0.0207569]
[-0.00123752],[0.00135908]
[-0.00043397],[-0.0161173]
[-0.00121439],[-0.0118325]
[-0.00176335],[-0.00846214]
[-0.00214212],[0.00605249]
[-0.00063467],[-0.02898746]
[-0.00130281],[-0.00566028]
[-0.0009193],[0.0141524]
[0.00417976],[0.0066341]
[-0.00028473],[-0.00095105]
[0.00121267],[-0.00974863]
[-0.0011155],[-3.88812566e-05]
[-0.00028789],[0.00250467]
[0.00061417],[0.03694277]
[-0.00086805],[0.00497706]
[-0.00016496],[0.00684021]
[-0.00853494],[0.008633]
[-0.00151945],[-0.00023723]
[-0.00077266],[0.01190634]
[-0.00178037],[0.01091988]
[-0.00038204],[0.01234176]
[-0.00186991],[-0.00138387]
[-0.00176938],[0.0255023]
[2.602701e-05],[-0.03047984]
[8.195343e-05],[-0.00542483]
[0.00093702],[0.00674308]
[0.00034682],[0.00039149]
[-0.00168165],[0.03456658]
[-0.00285645],[0.00217702]
[1.6590564e-05],[-0.00305156]
[-0.00031664],[-0.00100085]
[-0.0006309],[0.01832562]
[-0.000597],[0.02160976]
[-0.00158335],[0.01560603]
[0.00120983],[-0.00980379]
[5.1931675e-05],[-0.0047051]
[-0.00605298],[-0.00935017]
[-0.00159863],[0.00858358]
[-0.00085148],[0.06908844]
[0.00027895],[-0.01389205]
[-0.00025452],[0.00054864]
[-0.00208037],[0.00282742]
[-0.00017318],[0.01557738]
[0.001019],[-0.02186966]
[0.00163543],[-0.00997579]
[-0.00044967],[-0.01580924]
[0.00026397],[-0.00074634]
[-0.00136561],[-0.04473842]
[-0.0006371],[-0.01723912]
[-0.00390216],[0.00897975]
[-0.00696226],[-0.05319407]
[0.00068677],[0.02117303]
[0.00095024],[0.02976382]
[0.00033773],[0.03300259]
[0.00502738],[-0.05677873]
[-0.00446569],[-0.0488112]
[-0.00114274],[-0.02191863]
[-0.00383361],[0.00206458]
[0.00172371],[-0.02575156]
[0.00077071],[-0.02941736]
[-0.00024817],[-0.01166053]
[0.00010862],[-0.00316075]
[-0.00175658],[-0.00670362]
[7.34166e-05],[0.01428699]
[-0.00095071],[0.02016186]
[-0.001126],[0.05461949]
[0.00189601],[0.00423554]
[-0.00144335],[0.00983641]
[-0.00297605],[-0.00492453]
[-0.00373214],[0.0052331]
[-0.00143436],[-0.01362689]
[-0.00712614],[-0.01119704]
[0.00608221],[0.03152388]
[-0.00167537],[0.00382919]
[0.00114209],[-0.01981522]
[-0.00193547],[0.00855708]
[-0.00840924],[0.06099733]
[-0.00429672],[0.01047441]
[-0.00066594],[0.00815325]
[-0.0003504],[-0.01493697]
[0.00297202],[-0.03353983]
[-0.0003112],[-0.00673457]
[-7.105533e-05],[0.04307457]
[-0.00028703],[0.01013582]
[-0.00117677],[-2.18765724e-05]
[-0.00028797],[-0.01426489]
