,Company,Model,Method,Percentage
0,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5244498777506112
1,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,Ridge Regression,RidgeFIFValue1,0.5061124694376528
2,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,Linear Regression,LinearFIBackwardElimination,0.5012224938875306
3,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,Lasso Regression,LassoFIFValue10,0.4975550122249388
4,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,Elastic Net Regression,ElasticFIFValue10,0.4975550122249388
3,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.306,0.4975550122249388
3,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.4975550122249388
5,500085-CHAMBAL FERTILISERS & CHEMICALS LTD,SVR,SVR_FI_FValue_1,0.4951100244498777
5,500112-SBIN,Linear Regression,LinearFIPValue0.05,0.5289532293986637
6,500112-SBIN,Lasso Regression,LassoFIFValue100,0.5111358574610245
7,500112-SBIN,Ridge Regression,RidgeFIFValue10,0.5044543429844098
9,500112-SBIN,SVR,SVR_FI_FValue_100,0.5044543429844098
8,500112-SBIN,Elastic Net Regression,ElasticFIFValue100,0.5033407572383074
9,500112-SBIN,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5011135857461024
11,500112-SBIN,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.4933184855233853
11,500112-SBIN,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.4888641425389755
10,500124-DR.REDDY'S LABORATORIES LTD,Linear Regression,LinearFICoefficients0.1,0.5317460317460317
11,500124-DR.REDDY'S LABORATORIES LTD,Ridge Regression,RidgeFICoefficients0.1,0.5158730158730159
12,500124-DR.REDDY'S LABORATORIES LTD,Lasso Regression,LassoFIFValue1,0.5158730158730159
13,500124-DR.REDDY'S LABORATORIES LTD,Elastic Net Regression,ElasticFIFValue1,0.5158730158730159
16,500124-DR.REDDY'S LABORATORIES LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5136054421768708
16,500124-DR.REDDY'S LABORATORIES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.999,0.5045351473922902
16,500124-DR.REDDY'S LABORATORIES LTD,SVR,SVR_FI_PValue_0.02,0.5011337868480725
14,500124-DR.REDDY'S LABORATORIES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.4943310657596372
15,500180-HDFC Bank Ltd,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5496098104793757
19,500180-HDFC Bank Ltd,SVR,SVR_FI_FValue_1000,0.5406911928651059
19,500180-HDFC Bank Ltd,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5217391304347826
16,500180-HDFC Bank Ltd,Linear Regression,LinearFIFValue1,0.4882943143812709
17,500180-HDFC Bank Ltd,Lasso Regression,LassoFIFValue1,0.4882943143812709
18,500180-HDFC Bank Ltd,Elastic Net Regression,ElasticFIFValue1,0.4882943143812709
19,500180-HDFC Bank Ltd,Ridge Regression,RidgeFIFValue1,0.4860646599777034
23,500180-HDFC Bank Ltd,GRNN,GRNN_FI_ForwardSelection_stds_0.01,0.4403567447045708
20,500182-HERO MOTOCORP LTD,Linear Regression,LinearFIBackwardElimination,0.5377777777777778
21,500182-HERO MOTOCORP LTD,Ridge Regression,RidgeFIBackwardElimination,0.5377777777777778
22,500182-HERO MOTOCORP LTD,Lasso Regression,LassoFIBackwardElimination,0.5377777777777778
23,500182-HERO MOTOCORP LTD,Elastic Net Regression,ElasticFIBackwardElimination,0.5377777777777778
