Company,Model,Method,Percentage
500002-ABB India Limited,Linear Regression,LinearFIFValue1,0.5417130144605117
500002-ABB India Limited,Ridge Regression,RidgeFIFValue1,0.5406006674082313
500002-ABB India Limited,Lasso Regression,LassoFIFValue1,0.5372636262513905
500002-ABB India Limited,Elastic Net Regression,ElasticFIFValue1,0.5361512791991101
500002-ABB India Limited,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5172413793103449
500003-AEGIS LOGISTICS LTD.,Lasso Regression,LassoFIFValue1000,0.5392986698911729
500003-AEGIS LOGISTICS LTD.,Elastic Net Regression,ElasticFIFValue1000,0.5392986698911729
500003-AEGIS LOGISTICS LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5308343409915357
500003-AEGIS LOGISTICS LTD.,Linear Regression,LinearFIFValue100,0.528415961305925
500003-AEGIS LOGISTICS LTD.,Ridge Regression,RidgeFIFValue1000,0.5211608222490931
500008-AMARA RAJA BATTERIES LTD.,Linear Regression,LinearFIBackwardElimination,0.5307262569832403
500008-AMARA RAJA BATTERIES LTD.,Ridge Regression,RidgeFIPValue0.2,0.5195530726256983
500008-AMARA RAJA BATTERIES LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5139664804469274
500008-AMARA RAJA BATTERIES LTD.,Elastic Net Regression,ElasticFIForwardSelection,0.4916201117318435
500008-AMARA RAJA BATTERIES LTD.,Lasso Regression,LassoFIFValue1000,0.4893854748603352
500009-AMBALAL SARABHAI ENTERPRISES LTD.,Ridge Regression,RidgeFIFValue1,0.526829268292683
500009-AMBALAL SARABHAI ENTERPRISES LTD.,Linear Regression,LinearFIFValue1,0.5170731707317073
500009-AMBALAL SARABHAI ENTERPRISES LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5024390243902439
500009-AMBALAL SARABHAI ENTERPRISES LTD.,Lasso Regression,LassoFIPValue0.2,0.4682926829268293
500009-AMBALAL SARABHAI ENTERPRISES LTD.,Elastic Net Regression,ElasticFIPValue0.2,0.4682926829268293
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,Lasso Regression,LassoFIFValue1000,0.5425257731958762
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,Elastic Net Regression,ElasticFIFValue1000,0.5425257731958762
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,Linear Regression,LinearFIFValue1000,0.5412371134020618
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,Ridge Regression,RidgeFIFValue100,0.5412371134020618
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.49226804123711343
500012-ANDHRA PETROCHEMICALS LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5532407407407407
500012-ANDHRA PETROCHEMICALS LTD.,Elastic Net Regression,ElasticFIFValue1,0.5393518518518519
500012-ANDHRA PETROCHEMICALS LTD.,Linear Regression,LinearFIPValue0.1,0.5370370370370371
500012-ANDHRA PETROCHEMICALS LTD.,Lasso Regression,LassoFIPValue0.1,0.5370370370370371
500012-ANDHRA PETROCHEMICALS LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5277777777777778
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5503597122302158
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Elastic Net Regression,ElasticFIBackwardElimination,0.5431654676258992
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Linear Regression,LinearFIPValue0.05,0.5419664268585132
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Lasso Regression,LassoFIPValue0.05,0.5419664268585132
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.4988009592326139
500020-BOMBAY DYEING & MFG.CO.LTD.,Linear Regression,LinearFIFValue10,0.5446327683615819
500020-BOMBAY DYEING & MFG.CO.LTD.,Ridge Regression,RidgeFIForwardSelection,0.5435028248587571
500020-BOMBAY DYEING & MFG.CO.LTD.,Elastic Net Regression,ElasticFIFValue1,0.536723163841808
500020-BOMBAY DYEING & MFG.CO.LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5299435028248588
500020-BOMBAY DYEING & MFG.CO.LTD.,Lasso Regression,LassoFIFValue1000,0.5016949152542373
500023-Asian Hotels (North) Limited,Ridge Regression,RidgeFIFValue10,0.5836298932384342
500023-Asian Hotels (North) Limited,Elastic Net Regression,ElasticFIFValue10,0.5824436536180309
500023-Asian Hotels (North) Limited,Linear Regression,LinearFIFValue10,0.5729537366548043
500023-Asian Hotels (North) Limited,Lasso Regression,LassoFIFValue10,0.5729537366548043
500023-Asian Hotels (North) Limited,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5373665480427047
500027-ATUL LTD.,Linear Regression,LinearFIPValue0.1,0.5464725643896976
500027-ATUL LTD.,Ridge Regression,RidgeFIPValue0.1,0.5464725643896976
500027-ATUL LTD.,Lasso Regression,LassoFIPValue0.1,0.5464725643896976
500027-ATUL LTD.,Elastic Net Regression,ElasticFIPValue0.1,0.5464725643896976
500027-ATUL LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5151175811870101
500028-ATV PROJECTS INDIA LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5711974110032363
500028-ATV PROJECTS INDIA LTD.,Linear Regression,LinearFIBackwardElimination,0.5631067961165048
500028-ATV PROJECTS INDIA LTD.,Lasso Regression,LassoFIFValue1,0.5469255663430421
500028-ATV PROJECTS INDIA LTD.,Elastic Net Regression,ElasticFIFValue1,0.5469255663430421
500028-ATV PROJECTS INDIA LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5258899676375405
500031-BAJAJ ELECTRICALS LTD.-$,Lasso Regression,LassoFIFValue100,0.5239179954441914
500031-BAJAJ ELECTRICALS LTD.-$,Elastic Net Regression,ElasticFIFValue100,0.5239179954441914
500031-BAJAJ ELECTRICALS LTD.-$,Linear Regression,LinearFIFValue100,0.5193621867881549
500031-BAJAJ ELECTRICALS LTD.-$,Ridge Regression,RidgeFICoefficients0.1,0.5170842824601367
500031-BAJAJ ELECTRICALS LTD.-$,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5022779043280182
500032-Bajaj Hindusthan Sugar Limited,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5416149068322982
500032-Bajaj Hindusthan Sugar Limited,Linear Regression,LinearFIForwardSelection,0.5366459627329192
500032-Bajaj Hindusthan Sugar Limited,Ridge Regression,RidgeFIForwardSelection,0.5366459627329192
500032-Bajaj Hindusthan Sugar Limited,Lasso Regression,LassoFIForwardSelection,0.5366459627329192
500032-Bajaj Hindusthan Sugar Limited,Elastic Net Regression,ElasticFIForwardSelection,0.5366459627329192
500033-FORCE MOTORS LTD.-$,Elastic Net Regression,ElasticFIFValue1,0.50472334682861
500033-FORCE MOTORS LTD.-$,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5006747638326585
500033-FORCE MOTORS LTD.-$,Linear Regression,LinearFIFValue10,0.4979757085020243
500033-FORCE MOTORS LTD.-$,Ridge Regression,RidgeFIFValue1,0.4979757085020243
500033-FORCE MOTORS LTD.-$,Lasso Regression,LassoFIFValue10,0.4979757085020243
500034-Bajaj Finance Limited,Ridge Regression,RidgeFIPValue0.05,0.5579268292682927
500034-Bajaj Finance Limited,Linear Regression,LinearFIPValue0.05,0.5548780487804879
500034-Bajaj Finance Limited,Lasso Regression,LassoFIPValue0.05,0.5548780487804879
500034-Bajaj Finance Limited,Elastic Net Regression,ElasticFIPValue0.05,0.5548780487804879
