,Company,Model,Method,Percentage
87,501425-BOMBAY BURMAH TRADING CORP.LTD,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5219072164948454
88,501425-BOMBAY BURMAH TRADING CORP.LTD,Linear Regression,LinearFICoefficients0.1,0.5193298969072165
89,501425-BOMBAY BURMAH TRADING CORP.LTD,SVR,SVR_FI_PValue_0.2,0.5154639175257731
90,501425-BOMBAY BURMAH TRADING CORP.LTD,Ridge Regression,RidgeFIPValue0.2,0.5025773195876289
65,506395-COROMANDEL iNTERNATIONAL LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9988839285714286
91,506395-COROMANDEL iNTERNATIONAL LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5357142857142857
92,506395-COROMANDEL iNTERNATIONAL LTD,SVR,SVR_FI_BackwardElimination_,0.5323660714285714
93,506395-COROMANDEL iNTERNATIONAL LTD,Linear Regression,LinearFIFValue10,0.5301339285714286
94,506395-COROMANDEL iNTERNATIONAL LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5212053571428571
95,506395-COROMANDEL iNTERNATIONAL LTD,Ridge Regression,RidgeFIFValue10,0.5145089285714286
96,506395-COROMANDEL iNTERNATIONAL LTD,Lasso Regression,LassoFIFValue100,0.4866071428571428
97,506395-COROMANDEL iNTERNATIONAL LTD,Elastic Net Regression,ElasticFIFValue100,0.4866071428571428
70,507685-WIPRO LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9921875
98,507685-WIPRO LTD,SVR,SVR_FI_PValue_0.2,0.5200892857142857
99,507685-WIPRO LTD,Lasso Regression,LassoFIPValue0.2,0.5178571428571429
100,507685-WIPRO LTD,Linear Regression,LinearFICoefficients0.1,0.5167410714285714
101,507685-WIPRO LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.515625
102,507685-WIPRO LTD,Elastic Net Regression,ElasticFIFValue100,0.5133928571428571
103,507685-WIPRO LTD,Ridge Regression,RidgeFIFValue100,0.5111607142857143
104,507685-WIPRO LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.4944196428571428
75,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9919168591224018
105,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,SVR,SVR_FI_PValue_0.02,0.5381062355658198
106,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Linear Regression,LinearFIFValue1,0.5311778290993071
107,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Lasso Regression,LassoFIFValue1,0.5311778290993071
108,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Ridge Regression,RidgeFIFValue1,0.5265588914549654
109,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Elastic Net Regression,ElasticFIFValue1,0.5254041570438799
110,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5184757505773672
111,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5173210161662818
80,530965-INDIAN OIL CORPORATION LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9955307262569832
112,530965-INDIAN OIL CORPORATION LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5363128491620112
113,530965-INDIAN OIL CORPORATION LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5307262569832403
114,530965-INDIAN OIL CORPORATION LTD,Ridge Regression,RidgeFIFValue10,0.5251396648044693
115,530965-INDIAN OIL CORPORATION LTD,Lasso Regression,LassoFIPValue0.2,0.5173184357541899
116,530965-INDIAN OIL CORPORATION LTD,Elastic Net Regression,ElasticFIPValue0.2,0.5173184357541899
117,530965-INDIAN OIL CORPORATION LTD,Linear Regression,LinearFIFValue100,0.5162011173184358
118,530965-INDIAN OIL CORPORATION LTD,SVR,SVR_FI_BackwardElimination_,0.5150837988826815
85,532163-SAREGAMA INDIA LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9919540229885058
119,532163-SAREGAMA INDIA LTD,SVR,SVR_FI_PValue_0.1,0.5471264367816092
120,532163-SAREGAMA INDIA LTD,Lasso Regression,LassoFIFValue1,0.535632183908046
121,532163-SAREGAMA INDIA LTD,Elastic Net Regression,ElasticFIFValue1,0.535632183908046
122,532163-SAREGAMA INDIA LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.503448275862069
123,532163-SAREGAMA INDIA LTD,Linear Regression,LinearFIBackwardElimination,0.5022988505747127
124,532163-SAREGAMA INDIA LTD,Ridge Regression,RidgeFIFValue1,0.4988505747126436
125,532163-SAREGAMA INDIA LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.4804597701149425
90,532174-ICICI BANK LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9732739420935412
126,532174-ICICI BANK LTD,SVR,SVR_FI_FValue_1000,0.5289532293986637
127,532174-ICICI BANK LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5178173719376392
128,532174-ICICI BANK LTD,Lasso Regression,LassoFIFValue1000,0.5144766146993318
129,532174-ICICI BANK LTD,Ridge Regression,RidgeFIBackwardElimination,0.5100222717149221
130,532174-ICICI BANK LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5100222717149221
131,532174-ICICI BANK LTD,Elastic Net Regression,ElasticFIFValue1000,0.5077951002227171
132,532174-ICICI BANK LTD,Linear Regression,LinearFIBackwardElimination,0.5011135857461024
95,532210-CITY UNION BANK LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9930875576036866
133,532210-CITY UNION BANK LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5380184331797235
134,532210-CITY UNION BANK LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.533410138248848
135,532210-CITY UNION BANK LTD,Ridge Regression,RidgeFIFValue1,0.5080645161290323
136,532210-CITY UNION BANK LTD,Linear Regression,LinearFIBackwardElimination,0.4896313364055299
137,532210-CITY UNION BANK LTD,Lasso Regression,LassoFIFValue1,0.4827188940092166
138,532210-CITY UNION BANK LTD,Elastic Net Regression,ElasticFIFValue1,0.4827188940092166
139,532210-CITY UNION BANK LTD,SVR,SVR_FI_PValue_0.2,0.4827188940092166
100,532488-DIVI'S LABORATORIES LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9943310657596371
140,532488-DIVI'S LABORATORIES LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5328798185941043
141,532488-DIVI'S LABORATORIES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5192743764172335
142,532488-DIVI'S LABORATORIES LTD,SVR,SVR_FI_PValue_0.2,0.518140589569161
143,532488-DIVI'S LABORATORIES LTD,Ridge Regression,RidgeFIFValue100,0.5136054421768708
144,532488-DIVI'S LABORATORIES LTD,Linear Regression,LinearFIFValue1,0.5102040816326531
145,532488-DIVI'S LABORATORIES LTD,Lasso Regression,LassoFIFValue1,0.5102040816326531
146,532488-DIVI'S LABORATORIES LTD,Elastic Net Regression,ElasticFIFValue100,0.5102040816326531
105,532538-ULTRATECH CEMENT LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9888765294771968
147,532538-ULTRATECH CEMENT LTD,SVR,SVR_FI_FValue_1,0.5494994438264739
148,532538-ULTRATECH CEMENT LTD,Ridge Regression,RidgeFIPValue0.1,0.5439377085650723
149,532538-ULTRATECH CEMENT LTD,Elastic Net Regression,ElasticFIPValue0.1,0.542825361512792
150,532538-ULTRATECH CEMENT LTD,Linear Regression,LinearFIBackwardElimination,0.5417130144605117
151,532538-ULTRATECH CEMENT LTD,Lasso Regression,LassoFIBackwardElimination,0.5417130144605117
152,532538-ULTRATECH CEMENT LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5205784204671857
153,532538-ULTRATECH CEMENT LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5094549499443827
110,532540-TATA CONSULTANCY SERVICES LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9807692307692308
154,532540-TATA CONSULTANCY SERVICES LTD,SVR,SVR_FI_FValue_100,0.5444711538461539
155,532540-TATA CONSULTANCY SERVICES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5168269230769231
156,532540-TATA CONSULTANCY SERVICES LTD,Linear Regression,LinearFIPValue0.2,0.4939903846153846
157,532540-TATA CONSULTANCY SERVICES LTD,Lasso Regression,LassoFIFValue100,0.4915865384615384
158,532540-TATA CONSULTANCY SERVICES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.4903846153846153
159,532540-TATA CONSULTANCY SERVICES LTD,Elastic Net Regression,ElasticFIFValue100,0.4891826923076923
160,532540-TATA CONSULTANCY SERVICES LTD,Ridge Regression,RidgeFIPValue0.05,0.4807692307692308
115,532689-PVR LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9971098265895952
161,532689-PVR LTD,Lasso Regression,LassoFIFValue1,0.5476878612716763
162,532689-PVR LTD,Ridge Regression,RidgeFIFValue10,0.546242774566474
163,532689-PVR LTD,Linear Regression,LinearFIFValue10,0.541907514450867
164,532689-PVR LTD,Elastic Net Regression,ElasticFIFValue1,0.5404624277456648
165,532689-PVR LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5173410404624278
166,532689-PVR LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5101156069364162
167,532689-PVR LTD,SVR,SVR_FI_FValue_1,0.4884393063583815
120,532706-INOX LEISURE LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9902912621359224
168,532706-INOX LEISURE LTD,SVR,SVR_FI_BackwardElimination_,0.5364077669902912
169,532706-INOX LEISURE LTD,Linear Regression,LinearFIFValue1,0.5048543689320388
170,532706-INOX LEISURE LTD,Ridge Regression,RidgeFIFValue1,0.5024271844660194
171,532706-INOX LEISURE LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5
172,532706-INOX LEISURE LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.4939320388349514
173,532706-INOX LEISURE LTD,Elastic Net Regression,ElasticFIFValue1,0.4757281553398058
174,532706-INOX LEISURE LTD,Lasso Regression,LassoFIFValue1,0.4684466019417476
125,532899-KAVERI SEED COMPANY LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9948586118251928
175,532899-KAVERI SEED COMPANY LTD,Ridge Regression,RidgeFIFValue1,0.5269922879177378
176,532899-KAVERI SEED COMPANY LTD,Linear Regression,LinearFIBackwardElimination,0.5154241645244216
177,532899-KAVERI SEED COMPANY LTD,SVR,SVR_FI_FValue_100,0.5154241645244216
